Name1,Name2,Name3,Address1,Address2,Address3,City,State,ZIP_Code,Contact,Website,Note,Keys,ID,Longitude,Latitude,Match Score
Northwest Alabama Treatment Center,,,4204 Edmonton Drive,,,Bessemer,AL,35022,(205)425-1200 Hotline: (205)805-3381,,Methadone Clients Only,SA/TX/DT/MM/DM/OP/CO/HV/PW/WN/BC/SF/PI/AH/,8772AL35022,-86.93995821612879,33.368655188646365,100.0
Birmingham Metro Treatment Center,Limited Partnership,,151 Industrial Drive,,,Birmingham,AL,35211,(205)941-1799 Intake: (407)351-7080,www.methadonetreatment.com,Methadone Clients Only,SA/TX/DT/MM/DM/OP/SF/,3700AL35211,-86.85061106777306,33.44878773365579,100.0
Tri County Treatment Center,,,1101 East Park Drive,,,Birmingham,AL,35235,(205)836-3345 Intake: (407)351-7080,www.methadonetreatment.com,Methadone Clients Only,SA/TX/DT/MM/DM/OP/SF/,6133AL35235,-86.68089638775254,33.58759385235036,100.0
University of Alabama at Birmingham,(UAB)/Substance Abuse Programs,,401 Beacon Parkway West,Suite 270,,Birmingham,AL,35209,(205)917-3784,,,SA/TX/MM/OP/AD/PW/WN/SF/MD/SS/AH/,2643AL35209,-86.82401847412059,33.474769999028396,100.0
Cullman County Treatment Center,,,1912 Commerce Avenue,,,Cullman,AL,35055,(256)739-5595 Intake: (256)739-5573,,Methadone Clients Only,SA/TX/DT/MM/OP/HV/GL/PW/WN/SF/AH/,2781AL35055,-86.87567756831436,34.2048932352126,100.0
Gadsden Treatment Center Inc,,,1107 West Meighan Boulevard,,,Gadsden,AL,35901,(256)549-0807,www.bitchandgripe.com/Wisconsin.htm,Methadone Clients Only,SA/TX/MM/OP/HV/PW/WN/MN/SF/PI/AH/,7491AL35901,-86.01800955180912,34.02036605590047,100.0
Gulf Coast Treatment,,,Interchange Road,,,Grand Bay,AL,36541,(251)865-0123,,Methadone Clients Only,SA/TX/MM/OP/SF/AH/,1102AL36541,-88.32891143959391,30.49813972049453,97.4
Marion County Treatment Center,,,1879 Military Street South,,,Hamilton,AL,35570,(205)921-3799,,Methadone Clients Only,SA/TX/MM/OP/CO/HV/SE/PW/WN/MN/SF/PI/AH/,5447AL35570,-87.98942506591645,34.11666921240657,100.0
Huntsville Metro Treatment Center,,,2227 Drake Avenue,Suite 10-D,,Huntsville,AL,35805,(256)881-1311 Intake: (407)351-7080,www.methadonetreatment.com,Methadone Clients Only,SA/TX/DT/MM/DM/OP/SF/,0408AL35805,-86.60357727045357,34.699692947184474,99.55
Walker Recovery Center Inc,,,2195 North Airport Road,,,Jasper,AL,35504,(205)221-1799 Intake: (205)221-1796,,Methadone Clients Only,SA/TX/DT/MM/DM/OP/PW/WN/SF/PI/,5511AL35504,-87.2675299762368,33.873530970424305,100.0
