Name1,Name2,Name3,Address1,Address2,Address3,City,State,ZIP_Code,Contact,Keys,ID,Longitude,Latitude,Match Score
UNIV OF ALABAMA IN BIRMINGHAM,UAB SUBSTANCE ABUSE PROGRAMS,,3015 7TH AVENUE SOUTH,,,BIRMINGHAM,AL,35233,(205)934-2118,AD/AM/W/Y/CU/IV/TX/PV/MM/OT/,6036AL35233,-86.78563183625263,33.512554730491125,100.0
MOBILE MENTAL HEALTH CENTER INC,GATEHAY SUBSTANCE ABUSE CENTER,,2400 GORDON SMITH DRIVE,,,MOBILE,AL,36617,(054)3-4423,DA/AM/W/B/HV/IV/PG/TX/MM/,9244AL36617,-88.09579568171024,30.704894763116545,100.0
MOBILE MENTAL HEALTH CENTER INC,SUBSTANCE ABUSE SERVICES,,2400 GORDON SMITH DRIVE,,,MOBILE,AL,36617,(205)473-4423,AD/RR/AM/IV/EA/TX/PV/MM/,9244AL36617,-88.09579568171024,30.704894763116545,100.0
NARCOTIC DRUG TREATMENT CENTER INC,CENTER FOR DRUG PROBLEMS,,520 EAST 4TH AVENUE,SUITE 102,,ANCHORAGE,AK,99501,(907)276-6430,AD/AM/W/B/H/AI/HV/CU/IV/PG/CI/PV/MM/,5954AK99501,-149.87406602589138,61.21851252448672,100.0
SALVATION ARMY,DRUG ABUSE TREATMENT PROGRAM,,117 FIRST AVENUE,,,FAIRBANKS,AK,99707,(907)452-5005,AD/AM/A/AI/HV/IV/TX/MM/,2778AK99707,-147.70783121125206,64.84412448240634,99.51
NORTHERN AZ METHADONE MAINTENANCE AND AND DETOX IFICATION CLINIC,,,425 SOUTH SAN FRANCISCO STREET,,,FLAGSTAFF,AZ,86001,(602)774-1611,DA/AM/IV/MM/,9271AZ86001,-111.65037650075355,35.19244403567567,100.0
NE H HOPE BEHAVIORAL HEALTH CENTER INC,,,215 SOUTH PO HER ROAD,SUITE 113,,MESA,AZ,85208,(602)881-1022,AD/AM/W/A/H/HV/CU/IV/PG/MM/,7779AZ85208,-111.65791459999996,33.40073720000004,85.0
COMMUNITY CARE NETHORK ICCNJ,INTENSIVE TREATMENT SYSTEMS SERVS PROG,,550 NEST INDIAN SCHOOL ROAD,ROOM 100,,PHOENIX,AZ,85013,(602)248-0550,DA/AM/W/A/B/HV/CU/IV/PG/MM/,6767AZ85013,-112.0807439610738,33.49488753056852,93.22
DRUG AND ALCOHOL TREATMENT INSTITUTE,CLARENCE LANSON FOUNDATION,,2230 NORTH 24TH STREET,,,PHOENIX,AZ,85008,(602)275-3233,DA/AM/TX/MM/,6154AZ85008,-112.03026746959908,33.47233400841817,100.0
HOHOKAM ROOM,,,525 NORTH 18TH STREET,SUITE 406,,PHOENIX,AZ,85006,(602)253-6553,DA/AM/IV/MM/,0146AZ85006,-112.043347094228,33.4541200070894,100.0
SAINT LUKES BEHAVIORAL HEALTH CENTER,CHEMICAL DEPENDENCY TREATMENT,,1800 EAST VAN BUREN STREET,,,PHOENIX,AZ,85006,(602)251-8484,AD/DT/RR/AM/W/Y/A/HV/CU/IV/TX/CI/PV/MM/,2430AZ85006,-112.0433012222332,33.451488699210145,100.0
VALLE DEL SOL INC,BEHAVIORAL HEALlH PROGRAM,,1209 SOUTH FIRST AVENUE,,,PHOENIX,AZ,85003,(602)258-6797,DA/AM/Y/A/B/H/HV/IV/PG/TX/PV/MM/,3335AZ85003,-112.07508123110743,33.43560467634146,100.0
VALLE DEL SOL INC,BEHAVIORAL HEALTH PROGRAM HEST,,3320 NORTH 35TH AVENUE,SUITE l,,PHOENIX,AZ,85019,(602)939-9470,DA/AM/A/B/H/HV/IV/PG/MM/,7419AZ85019,-112.13434748916642,33.48708200896489,99.52
44TH STREET DRUG ABUSE PROGRAM,LARKSPUR MEDICAL CENTER,,12426 NORTH 28TH DRIVE,,,PHOENIX,AZ,85029,(602)866-9378,DA/AM/W/A/B/H/HV/CU/IV/PG/MM/,5207AZ85029,-112.11983720478395,33.59853273351808,100.0
44TH STREET DRUG ABUSE PROGRAM,,,44TH STREET UNIT,4909 NORTH 44TH STREET,SUITE A,PHOENIX,AZ,85018,(602)840-0088,DA/AM/W/A/B/HV/CU/IV/PG/MM/,9525AZ85018,-111.98687988891588,33.50195917040311,90.88
CENTER FOR BEHAVIORAL HEALTH,,,2123 EAST SOUTHERN AVENUE,SUITE 2,,TEMPE,AZ,85282,(602)897-7044,AD/AM/CU/IV/MM/,5628AZ85282,-111.8954739775022,33.39296254021708,100.0
SAINT LUKES HOSPITAL/TEMPE,CHEMICAL DEPENDENCY SERVICES,,1500 SOUTH MILL AVENUE,,,TEMPE,AZ,85281,(602)784-5600,AD/OT/IV/TX/CI/PV/MM/,1210AZ85281,-111.9399263951651,33.41240612483229,100.0
VALLE DEL SOL INC,EAST CLINIC,,509 SOUTH ROCKFORD DRIVE,,,TEMPE,AZ,85281,(602)966-1414,DA/AM/A/B/H/HV/IV/PG/MM/,8333AZ85281,-111.896965025709,33.42555782782975,100.0
CODAC BEHAVIORAL HEALTH SERVICES OF,PIMA COUNTY INC/STRATFORD CENTER,,2530 EAST BROADHAY,SUITE C,,TUCSON,AZ,85716,(602)327-4505,DA/AM/H/IV/TX/MM/,7330AZ85716,-110.93417596581119,32.22152246265726,96.21
LA FRONTERA CENTER,HOPE CENTER,,260 SOUTH SCOTT STREET,,,TUCSON,AZ,85701,(602)884-8470,DA/AM/IV/TX/CI/PV/MM/,3152AZ85701,-110.96962797966307,32.21828851486476,98.06
COMMUNITY HEALTH PROJECTS/ATASCADERO,,,6500 MORRO ROAD,SUITE D,,ATASCADERO,CA,93422,(805)461-5212,DA/AM/H/IV/TX/CI/PV/MM/,2192CA93422,-120.66561182060549,35.483589235452754,100.0
COMMUNITY HEALTH PROJECTS,BALDHIN PARK,,14418 EAST PACIFIC AVENUE,,,BALDWIN PARK,CA,91706,(818)962-8797,DA/AM/IV/MM/,6583CA91706,-117.96026221855959,34.08503491638863,98.87
BERKELEY ADDICTION TREATMENT SERVICES,OUTPATIENT METHADONE MAINTENANCE SERVS,,2975 SACRAMENTO STREET,,,BERKELEY,CA,94702,(415)644-0200,DA/AM/A/HV/IV/PG/MM/,7277CA94702,-122.27903371782922,37.853748084909185,100.0
VETERANS AFFAIRS MEDICAL CENTER,BERKELEY OUTPATIENT CLINIC,,841 FOLGER AVENUE,,,BERKELEY,CA,94710,(415)486-3902,AD/AM/A/HV/IV/TX/CI/PV/MM/,7599CA94710,-122.29122385489346,37.849980167974785,100.0
IMPERIAL VALLEY METHADONE CLINIC,,,535 HEST RAILROAD BOULEVARD,,,CALEXICO,CA,92231,(619)357-6566,DA/AM/IV/CI/PV/MM/,1660CA92231,-115.50220885858333,32.670215432665856,93.49
CALIFORNIA INSTITUTION FOR HOMEN,SUBSTANCE ABUSE PROGRAM,,16756 CHINO-CORONA ROAD,,,CORONA,CA,91720,"(714)597-1771T,EX418",DA/RR/W/A/B/H/AI/HV/PG/TX/CI/PV/MM/,3957CA91720,-117.6380888454792,33.94769172833681,98.48
SAN DIEGO HEALTH ALLIANCE,EAST OFFICE,,190 NORTH ORANGE AVENUE,SUITE A,,EL CAJON,CA,92020,(619)579-8373,DA/AM/H/IV/MM/,6586CA92020,-117.0052200207045,32.79763003010193,96.91
COMMUNITY HEALTH PROJECTS MED GROUP,EL MONTE,,11041 VALLEY BOULEVARD,,,EL MONTE,CA,91731,(818)442-4177,DA/AM/IV/TX/MM/,3928CA91731,-118.03385574279064,34.074309176800014,100.0
