Name1,Address1,City,State,ZIP_Code,Geocoded_Address,Longitude,Latitude,Match Score
MOBILE MENTAL HEALTH CENTER INC GATEWAY SUBSTANCE ABUSE CENTER,2400 GORDON SMITH DRIVE,MOBILE,AL,36617,"2400 GORDON SMITH DRIVE, MOBILE, AL 36617, US",-88.09676747,30.70524737,100
VALLE DEL SOL INC BEHAVIORAL HEALTH PROGRAM WEST,4859 WEST GLENDALE AVENUE,GLENDALE,AZ,85301,"4859 WEST GLENDALE AVENUE, GLENDALE, AZ 85301, US",-112.164579,33.53842247,100
LA FRONTERA CENTER INC HOPE CENTER,260 SOUTH SCOTT AVENUE,TUCSON,AZ,85701,"260 SOUTH SCOTT AVENUE, TUCSON, AZ 85701, US",-110.9696288,32.21829652,100
UNIV OF ALABAMA IN BIRNINGHAM SUBSTANCE ABUSE CLIIC,3015 7TH AVENUE SOUTH,BIRNINGHAN,AL,35233,"3015 7TH AVENUE SOUTH, BIRNINGHAN, AL 35233, US",-86.78562629,33.51256463,98.16
COMMUNITY HEALTH PROJECTS INC BALDWIN PADK,14418 EAST PACIFIC AVENUE,BALDWIN PARK,CA,91706,"14418 EAST PACIFIC AVENUE, BALDWIN PARK, CA 91706, US",-117.9602721,34.08504162,98.87
UNIVERSITY HOSPITAL INPATI ET UNIT,619 19TH STREET SOUTH,BIRIhGHAM,AL,35294,"619 19TH STREET SOUTH, BIRIhGHAM, AL 35294, US",-86.80184465,33.50616938,97.16
BERKELEY ADDICTION TRT SERVICES INC,2975 SACRAMENTO STREET,BERKELEY,CA,94702,"2975 SACRAMENTO STREET, BERKELEY, CA 94702, US",-122.2790365,37.8537594,100
GOOD SAMADITAN MEDICAL CENTER COlMUNITY TREATMENT PROGRAM,4831 NORTM 11TH STREET,PHOENIX,AZ,85014,"4831 NORTM 11TH STREET, PHOENIX, AZ 85014, US",-112.0584225,33.508545,89.59
IMPERIAL VALLEY METHADONE CLINIC INC,535 RIVER ROAD,CALEXICO,CA,92231,"535 RIVER ROAD, CALEXICO, CA 92231, US",-115.51417,32.68495502,90.91
SAN DIEGO HEALTH ALLIANCE EL CAJON UNIT,190 NORTH ORANGE AVENUE SUITE A,EL CAJONI,CA,92021,"190 NORTH ORANGE AVENUE SUITE A, EL CAJONI, CA 92021, US",-116.96362,32.79392592,88.13
BREA HOSPITAL PSYCHIATRIC CENTER SUBSTANCE ABUSE PROGRAM,875 NORTH BREA BOULEVADD,BREA,CA,92621,"875 NORTH BREA BOULEVADD, BREA, CA 92621, US",-117.8932973,33.93429627,81.44
BAADT/VAN NESS MAINTENANCE CLINIC,539 NORTH VAN NESS STREET,FRESNO,CA,93728,"539 NORTH VAN NESS STREET, FRESNO, CA 93728, US",-119.7989276,36.75116199,98.06
CALIFORNIA DETOX PROGRAMS INC SOUTH ORANGE CLINIC,2851 SOUTH ORANGE AVENUE,FRESNO,CA,93725,"2851 SOUTH ORANGE AVENUE, FRESNO, CA 93725, US",-119.7636858,36.69706011,100
CALIFORNIA DETDX PROGRAMS INC VAN NESS CLINIC,539 NORTH VAN NESS STREET,FRESNO,CA,93728,"539 NORTH VAN NESS STREET, FRESNO, CA 93728, US",-119.7989276,36.75116199,98.06
