Name1,Name2,Name3,Address1,Address2,Address3,City,State,ZIP_Code,Contact,Note,Keys,ID,Longitude,Latitude,Match Score
Shelby County Treatment Center,,,750 Highway 31 South,,,Alabaster,AL,35007,(205)216-0200,,SAF/SA/MM/MMW/BUM/BMW/RPN/BU/DSF/ACM/MPD/NXN/VTRL/METH/OTPA/OTP/CBT/DBT/SACA/TRC/REBT/TWFA/BIA/CMI/MOTI/ANG/MXM/RELP/SMPD/OP/OMB/OIT/ORT/PVT/STAG/STMH/CARF/SF/MD/PI/SS/CO/GL/VET/ADM/MF/CJ/SE/PW/WN/MN/HV/TRMA/XA/DV/TAY/CM/PEER/HEOH/HS/NRT/NSC/STU/TCC/SSA/SMHD/CSAA/CMHA/OPC/ISC/BABA/DAUT/SHB/SHC/HIVT/STDT/TBS/DP/ACC/SSD/AOSS/EMP/DVFP/EIH/HAEC/TAEC/SAE/MHS/ACU/SHG/ADD/TGD/TID/ICO/GCO/FCO/MCO/YAD/ADLT/FEM/MALE/BMO/DU/AH/SP/,4041AL35007,-86.78738528247351,33.21345712673533,100.0
Northwest Alabama Treatment Center,,,4204 Edmonton Drive,,,Bessemer,AL,35022,(205)425-1200,,SAF/SA/DT/MM/MMW/DM/METH/OTPA/OTP/CBT/DBT/SACA/TRC/REBT/TWFA/BIA/CMI/MOTI/ANG/MXM/RELP/SMPD/OP/OMB/ORT/PVT/STAG/STMH/CARF/SF/MD/CO/GL/VET/ADM/MF/CJ/SE/PW/WN/MN/HV/TRMA/XA/DV/TAY/CM/PEER/HEOH/HS/SSA/SMHD/CSAA/CMHA/OPC/ISC/DAUT/STDT/TBS/DP/ACC/SSD/AOSS/EMP/DVFP/EIH/HAEC/TAEC/SAE/MHS/SHG/ICO/GCO/FCO/MCO/YAD/ADLT/FEM/MALE/MO/,8772AL35022,-86.93995821612879,33.368655188646365,100.0
Birmingham Metro Treatment Center,,,151 Industrial Drive,,,Birmingham,AL,35211,(205)941-1799,,SAF/SA/DT/MM/MMW/DM/BUM/BMW/DB/BU/METH/OTPA/OTP/CBT/DBT/SACA/TRC/REBT/TWFA/BIA/CMI/MOTI/ANG/MXM/RELP/SMPD/OP/OD/OMB/PVT/STAG/STMH/CARF/SF/MD/CM/PEER/HEOH/HS/SSA/CSAA/OPC/BABA/DAUT/STDT/TBS/DP/ACC/SSD/AOSS/HAEC/TAEC/SAE/TA/MHS/ODTX/ICO/GCO/FCO/YAD/ADLT/FEM/MALE/BMO/,3700AL35211,-86.85061106777306,33.44878773365579,100.0
Tri County Treatment Center,,,5605 Clifford Circle,,,Birmingham,AL,35210,(205)836-3345,,SAF/SA/DT/MM/MMW/DM/BUM/BMW/DB/BU/METH/OTPA/OTP/CBT/SACA/REBT/BIA/MOTI/RELP/SMPD/OP/OD/OMB/ORT/PVT/STAG/CARF/SF/MD/CM/PEER/HEOH/HS/TCC/SSA/CSAA/OPC/ISC/BABA/DAUT/TBS/DP/ACC/SSD/AOSS/EMP/HAEC/SAE/SHG/ODTX/ICO/GCO/FCO/MCO/YAD/ADLT/FEM/MALE/BMO/,3235AL35210,-86.63393643993608,33.583067121721314,100.0
Chilton County Treatment Center,,,2100 Holiday Inn Drive,,,Clanton,AL,35046,(205)755-4300,,SAF/SA/DT/MM/MMW/DM/BUM/BMW/DB/RPN/BU/DSF/ACM/MPD/NXN/VTRL/METH/OTPA/OTP/CBT/SACA/TRC/REBT/TWFA/BIA/CMI/MOTI/ANG/MXM/CRV/RELP/SMPD/OP/OMB/ODT/ORT/CT/PVT/STAG/STMH/CARF/SF/MD/CO/CJ/PW/HV/XA/PEER/HEOH/HS/NRT/NSC/STU/TCC/SSA/SMHD/CSAA/CMHA/OPC/BABA/DAUT/SHB/SHC/HIVT/STDT/TBS/DP/ACC/SSD/AOSS/EMP/DVFP/EIH/HAEC/TAEC/SAE/MHS/SHG/ADTX/BDTX/CDTX/MDTX/ODTX/ICO/GCO/FCO/MCO/YAD/ADLT/FEM/MALE/BMO/DU/AH/SP/,4113AL35046,-86.57907667258397,32.80903284317124,100.0
Cullman County Treatment Center,,,1912 Commerce Avenue NW,,,Cullman,AL,35056,(256)739-5595,,SAF/SA/MM/METH/OTPA/OTP/CBT/DBT/SACA/TRC/TWFA/BIA/CMI/MOTI/RELP/SMPD/OP/OMB/ORT/PVT/STAG/STMH/CARF/SF/PW/CM/PEER/HEOH/HS/TCC/SSA/CSAA/OPC/DAUT/TBS/DP/ACC/SSD/EMP/HAEC/TAEC/SAE/ICO/GCO/FCO/MCO/YAD/ADLT/FEM/MALE/MO/AH/,4471AL35056,-86.87574698347733,34.203834348523365,99.52
Gadsden Treatment Center,,,1117 Gardner Street,,,Gadsden,AL,35901,(256)549-0807,,SAF/SA/MM/METH/OTPA/OTP/CBT/SACA/REBT/TWFA/BIA/CMI/MOTI/ANG/RELP/SMPD/OP/OMB/PVT/STAG/STMH/CARF/SF/MD/PW/WN/MN/CM/PEER/HEOH/HS/SSA/CSAA/OPC/BABA/DAUT/STDT/TBS/DP/ACC/SSD/AOSS/DVFP/HAEC/TAEC/SAE/SHG/ICO/GCO/FCO/MCO/YAD/ADLT/FEM/MALE/MO/,9461AL35901,-86.01766086463705,34.02090647910768,100.0
Gulf Coast Treatment Center,,,12271 Interchange Road,,,Grand Bay,AL,36541,(251)865-0123,,SAF/SA/MM/METH/OTPA/OTP/CBT/SACA/TRC/TWFA/BIA/ANG/RELP/SMPD/OP/OMB/PVT/STAG/STMH/CARF/SF/PW/CM/PEER/HEOH/STU/TCC/SSA/SMHD/CSAA/OPC/BABA/DAUT/HIVT/STDT/TBS/DP/SSD/HAEC/TAEC/SAE/MHS/SHG/ICO/GCO/FCO/MCO/YAD/ADLT/FEM/MALE/MO/AH/SP/,6549AL36541,-88.33302599765966,30.500168097438287,98.04
Marion County Treatment Center,,,1879 Military Street South,,,Hamilton,AL,35570,(205)921-3799,,SAF/SA/MM/METH/OTPA/OTP/CBT/DBT/SACA/TRC/REBT/TWFA/BIA/CMI/ANG/MXM/RELP/SMPD/OP/OMB/PVT/STAG/STMH/CARF/SF/PI/PW/WN/MN/SSA/BABA/DAUT/TBS/DP/ACC/HAEC/TAEC/SAE/ICO/GCO/FCO/MCO/YAD/ADLT/FEM/MALE/MO/AH/,5447AL35570,-87.98942506591645,34.11666921240657,100.0
Huntsville Metro Treatment Center,,,2227 Drake Avenue,Suite 19,,Huntsville,AL,35805,(256)881-1311,,SAF/SA/DT/MM/DM/BUM/DB/BU/METH/OTPA/OTP/CBT/DBT/SACA/TRC/TWFA/BIA/CMI/MOTI/ANG/RELP/SMPD/OP/OD/OMB/ORT/CT/PVT/STAG/STMH/CARF/SF/CO/GL/VET/ADM/MF/CJ/SE/PW/WN/MN/HV/TRMA/XA/DV/TAY/CM/PEER/HEOH/HS/SSA/SMHD/CSAA/OPC/BABA/DAUT/STDT/TBS/DP/ACC/SSD/AOSS/EMP/HAEC/SAE/SHG/ICO/GCO/FCO/MCO/YAD/ADLT/FEM/MALE/BMO/,0408AL35805,-86.60357727045357,34.699692947184474,99.55
