Name1,Name2,Name3,Address1,Address2,Address3,City,State,ZIP_Code,Contact,Note,Keys,loc_ID,Longitude,Latitude,Match Score
SpectraCare,Henry County/IOP,,219 Dothan Road,,,Abbeville,AL,36310,(334)673-2143,,MHF/SA/OP/ORT/SF/MD/SI/PI/MI/SS/PA/AH/YAD/ADLT/FEM/MALE/,7363AL36310,-85.25288822373967,31.55342455560036,100.0
Shelby County Treatment Center,,,750 Highway 31 South,,,Alabaster,AL,35007,(205)216-0200,,SAF/SA/MM/BU/NXN/VTRL/OP/OMB/OIT/ORT/CT/SF/MD/PI/SS/AH/SP/CO/DU/GL/VET/ADM/MF/CJ/SE/PW/WN/MN/TRMA/XA/DV/YAD/ADLT/FEM/MALE/,4041AL35007,-86.78738528247351,33.21345712673533,100.0
Lighthouse of Tallapoosa County Inc,Substance Abuse Rehab Program/Resid,,36 Franklin Street,,,Alexander City,AL,35010,(256)234-4894,,SAF/SA/HH/RES/RL/SF/MD/AH/MN/YAD/ADLT/MALE/,6152AL35010,-85.95092163698332,32.94535931336939,100.0
South Central Alabama CMHC,Covington Cnty Adult SA OP,,205 Academy Drive,,,Andalusia,AL,36420,(334)428-5050 Intake: (334)428-5040,,SAF/SA/OP/ORT/SF/MD/MC/PI/MI/SS/AH/YAD/ADLT/FEM/MALE/,1086AL36420,-86.4468278020838,31.308620428344533,100.0
South Central Alabama CMHC,First Step,,205 Academy Drive,,,Andalusia,AL,36420,(334)428-5002 Intake: (334)428-5050,,SAF/SA/RES/RS/SF/MD/MC/PI/MI/SS/AH/YAD/ADLT/MALE/,1086AL36420,-86.4468278020838,31.308620428344533,100.0
Anniston Fellowship House Inc,,,106 East 22nd Street,,,Anniston,AL,36201,(256)236-7229,,SAF/SA/HH/RES/RL/CT/SF/CO/MN/YAD/ADLT/MALE/,3680AL36201,-85.82789030197445,33.672922506776054,100.0
Health Services Center Inc,CORE Calhoun County,,1302 Noble Street,Suite 1-F,,Anniston,AL,36201,(256)237-5993 Intake: (256)237-5994,,SAF/SA/OP/OIT/ORT/NP/CJ/YAD/ADLT/FEM/MALE/,6724AL36201,-85.82981326113949,33.661200856991236,100.0
Family Life Center,,,410 South Jefferson Street,,,Athens,AL,35611,(256)216-3917,,SAF/SA/OP/OIT/SF/PI/SS/YAD/ADLT/FEM/MALE/,5022AL35611,-86.97242258441298,34.79948159996398,100.0
Family Life Center,,,677 West Covington Avenue,,,Attalla,AL,35954,(256)538-7458 Intake: (256)459-4494,,SAF/SA/OP/OIT/SF/PI/SS/YAD/ADLT/FEM/MALE/,9874AL35954,-86.09978683576895,34.0043399827575,100.0
Rapha Treatment Center,,,677 West Covington Avenue,,,Attalla,AL,35954,(256)538-7458,,SAF/SA/HH/RES/RS/RL/SF/YAD/ADLT/MALE/,9874AL35954,-86.09978683576895,34.0043399827575,100.0
