"","Name","Hospital.Type","Address","Address_2","City","State","Zipcode","County","Latitude","Longitude","Staffed.All.Beds","Staffed.ICU.Beds","Licensed.All.Beds","All.Bed.Occupancy.Rate","ICU.Bed.Occupancy.Rate","Staffed.All.Beds...SOURCE","Staffed.ICU.Beds...SOURCE","Licensed.All.Beds...SOURCE","All.Bed.Occupancy.Rate...SOURCE","ICU.Bed.Occupancy.Rate...SOURCE","CCM_ID","DH.ID","HCRIS.ID","HIFLD.ID"
"1","IU HEALTH UNIVERSITY HOSPITAL","GENERAL ACUTE CARE","550 UNIVERSITY BLVD","","INDIANAPOLIS","IN",46202,"MARION",39.7752833260001,-86.176561615,NA,NA,NA,NA,NA,"None","None","","None","None",100,NA,NA,100
"2","HEALTHSOUTH NEW ENGLAND REHABILIATION AT BEVERLY","REHABILITATION","800 CUMMINGS CENTER, 1ST FL, UNIT147","","BEVERLY","MA",1915,"ESSEX",42.560986872,-70.8872356269999,NA,NA,20,NA,NA,"None","None","HIFLD-BEDS","None","None",10001915,NA,NA,10001915
"3","ST. JOSEPH'S HOSPITAL","CRITICAL ACCESS","12886 TROXLER AVENUE","","HIGHLAND","IL",62249,"MADISON",38.754583745,-89.667598384,NA,NA,NA,NA,NA,"None","None","","None","None",100062249,NA,NA,100062249
"4","HOSP SAN CARLOS BORROMEO","GENERAL ACUTE CARE","550 CONCEPCION VERA AYALA","","MOCA","PR",676,"MOCA",18.390194351,-67.10996904,106,7,106,0.49,0.73,"HCRIS-Total Staffed Beds","HCRIS-ICU Total Staffed Beds","DH-NUM_LICENS","HCRIS-Total Bed Occupancy Rate","HCRIS-ICU Occupancy Rate",1000676,4294,400111,1000676
"5","RIVERVIEW MEDICAL CENTER","GENERAL ACUTE CARE","1 RIVERVIEW PLAZA","","RED BANK","NJ",7701,"MONMOUTH",40.353981806,-74.0638426789999,274,27,468,0.59,0.42,"HCRIS-Total Staffed Beds","HCRIS-ICU Total Staffed Beds","DH-NUM_LICENS","HCRIS-Total Bed Occupancy Rate","HCRIS-ICU Occupancy Rate",10007701,2512,310034,10007701
"6","HELEN HAYES HOSPITAL","REHABILITATION","51 NORTH ROUTE 9W","","WEST HARVESTRAW","NY",10993,"ROCKLAND",41.214307232,-73.988344716,155,NA,155,NA,NA,"DH-NUM_STAFFE","None","DH-NUM_STAFFE","None","None",10010993,2695,330405,10010993
"7","VA MEDICAL CENTER - BATH","MILITARY","76 VETERANS AVE","","BATH","NY",14810,"STEUBEN",42.344052413,-77.3475091889999,NA,NA,NA,NA,NA,"None","None","","None","None",10014810,2705,NA,10014810
"8","MOSES TAYLOR HOSPITAL","GENERAL ACUTE CARE","700 QUINCY AVENUE","","SCRANTON","PA",18510,"LACKAWANNA",41.410694955,-75.650568144,161,11,213,0.59,0.52,"HCRIS-Total Staffed Beds","HCRIS-ICU Total Staffed Beds","DH-NUM_LICENS","HCRIS-Total Bed Occupancy Rate","HCRIS-ICU Occupancy Rate",10018510,3269,390119,10018510
"9","TUFTS MEDICAL CENTER","GENERAL ACUTE CARE","800 WASHINGTON STREET","","BOSTON","MA",2111,"SUFFOLK",42.3499,-71.064,364,98,415,0.67,0.7,"HCRIS-Total Staffed Beds","HCRIS-ICU Total Staffed Beds","DH-NUM_LICENS","HCRIS-Total Bed Occupancy Rate","HCRIS-ICU Occupancy Rate",1002111,1829,220116,1002111
"10","HEALTHSOUTH REHABILITATION HOSPITAL OF VIRGINIA","REHABILITATION","5700 FITZHUGH AVENUE","","RICHMOND","VA",23226,"HENRICO",37.5859439810001,-77.506712642,40,0,40,0.637534246575342,0,"HCRIS-Total Staffed Beds","HCRIS-ICU Total Staffed Beds","DH-NUM_LICENS","HCRIS-Total Bed Occupancy Rate","HCRIS-ICU Occupancy Rate",10023226,5653,493028,10023226
