Name1,Name2,Name3,Address1,Address2,Address3,City,State,ZIP_Code,Contact,Website,Note,Keys,ID
Lighthouse of Tallapoosa County Inc,Substance Abuse Rehab Program/Resid,,36 Franklin Street,,,Alexander City,AL,35010,(256)234-4894,,,SA/TX/HH/RL/MN/SF/,9238AL35010
Anniston Fellowship House Inc,,,106 East 22nd Street,,,Anniston,AL,36201,(256)236-7229,,,SA/TX/HH/RL/MN/SF/,4683AL36201
Bridge Inc,Recovery Center for Teens/Ashville,,474 10th Street,,,Ashville,AL,35953,(205)594-3111,www.bridgeinc.org,,SA/TX/OP/PH/AD/CJ/SF/MD/SI/PI/MI/SS/PA/AH/,6445AL35953
Northwest Alabama Treatment Center,,,4204 Edmonton Drive,,,Bessemer,AL,35022,(205)425-1200,www.nwatc.net,Methadone Clients Only,SA/TX/DT/MM/DM/OP/SF/,8137AL35022
Alcohol and Drug Abuse Trt Centers Inc,,,2701 Jefferson Avenue SW,,,Birmingham,AL,35211,(205)923-6552,,,MH-SA/TX/DT/RS/OP/PH/CO/PW/WN/MN/SF/MD/MC/,7254AL35211
Aletheia House,,,201 Finley Avenue West,,,Birmingham,AL,35204,(205)324-6502,,,SA/TX/OP/SF/MD/,8294AL35204
Aletheia House,Men Only,,135 Finley Avenue West,,,Birmingham,AL,35204,(205)328-3600 Intake: (205)324-6502,,,SA/TX/RL/HV/MN/CJ/SF/MD/,0847AL35204
Aletheia House,Transitional Housing and Men of Honor,,1001 22nd Avenue West,,,Birmingham,AL,35204,(205)801-9669 Intake: (205)324-6502x10,,,SA/TX/HH/OP/HV/MN/CJ/SF/,0473AL35204
Birmingham Healthcare,,,712 25th Street North,,,Birmingham,AL,35203,(205)323-5311,www.birminghamhealthcare.org,,TX/OP/CO/SF/MD/MC/SI/PI/SS/PA/,4451AL35203
Birmingham Metro Treatment Center,Limited Partnership,,151 Industrial Drive,,,Birmingham,AL,35211,(205)941-1799,www.methadonetreatment.com,Methadone Clients Only,SA/TX/DT/MM/DM/OP/SF/,6213AL35211
Bradford Health Services,Birmingham Regional Office Jefferson,,631 Beacon Parkway West,Suite 211,,Birmingham,AL,35209,(800)293-7191 Intake: (205)942-3200 Hotlines: (800)293-7191 (800)333-1865,www.bradfordhealth.com,,SA/TX/OP/AD/SF/SI/PI/MI/,4046AL35209
Department of Veterans Affairs,Medical Center,,700 South 19th Street,,,Birmingham,AL,35233,(205)933-8101x6136 Intake: (205)933-8101x5510,,,GH/TX/OP/CO/SF/PI/MI/PA/SP/,7990AL35233
Hill Crest Behavioral Health Services,Chemical Dependency Track,,6869 5th Avenue South,,,Birmingham,AL,35212,(205)833-9000 Intake: (205)833-9000x2050 Hotline: (800)292-8553,,,MH/DT/HI/AD/CO/HV/GL/SE/PW/WN/MN/SF/MD/MC/PI/MI/,6785AL35212
Jefferson County Economic Opportunity,Community Substance Abuse Program,,228 2nd Avenue North,,,Birmingham,AL,35204,(205)787-3040 Intake: (205)787-3040x221,,,SA/TX/OP/SF/MD/,5044AL35204
