Year,Page,Center_name,Street_address,City,State,Postal_code,Phone,Keys
2017,886,Saint Martins Hospitality Center Behavioral Health Program,1201 3rd Street NW,Albuquerque,NM,87108,(505) 764-8231 Intake: (505) 764-8231x208,MHSAF SA DSF ACM MPD NXN MOA CBT DBT SACA TRC REBT BIA CMI MOTI ANG MXM RELP SMPD OP OIT ORT PVT STMH STDH MD ATR FSA SS PA CO GL VET CJ SE PW WN MN HV TRMA XA DV TAY CM PEER HEOH HS STU SSA SMHD CSAA CMHA OPC ISC BABA DAUT DP ACC SSD AOSS EMP DVFP HAEC TAEC SAE TA MHS SHG ICO GCO FCO MCO YAD ADLT FEM MALE AH N23 SP
2017,886,Samaritan Counseling Center,1101 Medical Arts Avenue NE Building 3,Albuquerque,NM,87102,(505) 842-5300x216,MHSAF SA NOOP CBT SACA TRC BIA MOTI ANG SMON OP ORT PVT SF MD MC SI PI MI STU SSA SMHD CSAA CMHA DP ACC SSD DVFP SAE MHS ADD TGD TID ICO GCO FCO MCO CHLD YAD ADLT FEM MALE SP
2017,886,Shadow Mountain Recovery Center,5400 Gibson Boulevard SE,Albuquerque,NM,87108,(505) 345-9512,SAF SA DT DB RPN BU DSF MPD NXN VTRL UBN OTPA CBT DBT SACA TRC REBT TWFA BIA CMI MOTI ANG RELP SMPD RES OP RS RD OD OMB OIT PVT SF PI CO WN MN TAY CM PEER HEOH HS NRT NSC STU TCC SSA SMHD CSAA CMHA OPC BABA DAUT SHB SHC HIVT STDT TBS DP ACC SSD AOSS HAEC TAEC SAE TA MHS ACU SHG ADTX BDTX CDTX MDTX ODTX ICO GCO FCO MCO YAD ADLT FEM MALE
2017,886,Southwest Fam Guidance Ctr and Inst,2221 Rio Grande Boulevard NW,Albuquerque,NM,87104,(505) 830-1871,MHSAF SA NOOP CBT SACA TRC CMI MOTI ANG RELP SMON OP OIT ORT PVT STMH SF MD PI FSA CO GL VET CJ AD WN MN TRMA XA DV TAY CM PEER HS STU SSA SMHD CSAA CMHA OPC ISC DP ACC SSD AOSS EMP DVFP MHS ICO GCO FCO MCO CHLD ADLT FEM MALE SP
2017,886,Streetwise Inc,3232 Candelaria Road NE,Albuquerque,NM,87107,(505) 323-3785,MHSAF SA MOA CBT SACA TRC BIA CMI MOTI ANG MXM RELP SMON OP OIT ORT CT PVT STMH STDH SF MD MC SI PI FSA SS PA CO GL CJ AD WN MN TAY CM PEER HEOH TCC SSA SMHD CSAA BABA DAUT DP ACC SSD AOSS EMP DVFP HAEC TAEC SAE MHS ADD TGD TID ICO GCO FCO MCO CHLD ADLT FEM MALE SP
2017,886,Susans Legacy,11005 Spain Road NE Suite 22,Albuquerque,NM,87111,(505) 843-8450,MHSAF SA MOA CBT SACA TRC BIA CMI MOTI ANG RELP SMPD OP ORT PVT NP FSA PA CO GL VET ADM MF CJ PW WN HV TRMA XA DV CM PEER HS SSA SMHD CSAA CMHA ISC DAUT DP ACC SSD AOSS SAE TA MHS ADD TGD ICO GCO FCO YAD ADLT FEM SP
2017,886,Turning Point Recovery Center Inc,9201 Montgomery Boulevard Building 5,Albuquerque,NM,87111,(505) 217-1717,SAF SA DT RPN ACM MPD NXN VTRL PAIN UBN CBT DBT SACA TRC TWFA BIA CMI MOTI ANG MXM RELP SMPD HI OP OD OMB OIT ORT HID HIT PVT SF MD SI PI CO WN MN TRMA TAY CM PEER HEOH HS SSA CSAA CMHA ISC BABA DAUT DP ACC SAE ACU ADTX BDTX CDTX MDTX ODTX ICO GCO FCO MCO YAD ADLT FEM MALE
2017,886,University of New Mexico Hospital Addictions and Substance Abuse Prog,2600 Yale Boulevard SE,Albuquerque,NM,87106,(505) 994-7999,SAF SA DT MM DM BUM DB RPN BU DSF ACM MPD NXN VTRL METH OTP CBT SACA TRC BIA MOTI RELP SMON OP OD OMB ORT GH LCCG STAG STDH HLA JC NCQA SF MD MC SI PI MI FSA CO AD PW WN MN TRMA CM HEOH HS NRT NSC STU TCC CSAA CMHA BABA DAUT SHB SHC HIVT STDT TBS DP SSD AOSS EIH HAEC TAEC SAE MHS ADTX BDTX CDTX MDTX ODTX ICO GCO FCO CHLD ADLT FEM MALE AH SP
2017,886,University of New Mexico Hospital Milagro Program,2600 Yale Boulevard SE,Albuquerque,NM,87106,(505) 264-8062,MHSAF SA DT BUM BMW DB RPN BU MPD PAIN MOA UBN CBT SACA TRC REBT BIA MOTI ANG RELP SMON OP OD OMB ORT GH LCCG HLA JC SF MD MC SI PI MI ITU CO GL MF PW WN CM HEOH HS NRT NSC STU SSA BABA DAUT SHB SHC HIVT STDT TBS DP ACC SSD AOSS SAE TA MHS BDTX ODTX ICO CHLD ADLT FEM AH
2017,887,University of New Mexico Hospital UNM/Children and Adolescents Prog,2600 Marble Avenue NE,Albuquerque,NM,87106,(505) 272-2190,MHF SA MPD NOOP CBT DBT SACA TRC BIA CMI MOTI ANG RELP SMON OP ORT PSYH STG STMH STDH HLA JC SF MD SI PI MI SS GL AD CM HEOH STU SSA SMHD CMHA OPC DAUT DP AOSS SAE MHS ADD ICO GCO FCO FEM MALE SP
