"GEOID","totUnits","occP","vacantP","mobileP","lngTermP","rentalP","unitDens"
"01001",23315,90.56,9.44,18.35,23.2,25.11,39.2217242999996
"01003",111945,70.23,29.77,11.68,19.84,26.38,70.4151216281197
"01005",11937,76.95,23.05,29.19,34.44,38.6,13.488167045897
"01007",9161,74.66,25.34,28.54,36.47,24.93,14.7174473369743
"01009",24222,85.05,14.95,25.22,29.72,21.37,37.5635190042974
"01011",4526,79.74,20.26,33.38,42.88,24.47,7.26714821792401
"01013",10026,66.91,33.09,26.18,34.98,30.05,12.906216375384
"01015",53682,83.89,16.11,14.72,28.52,30.53,88.6039380140637
"01017",16981,79.59,20.41,14,33,32.24,28.4649535279763
"01019",16531,64.16,35.84,29.19,29.16,21.04,29.8650903433511
"01021",19586,85.53,14.47,32.33,26.94,25.15,28.268814746491
"01023",7344,72.85,27.15,31.59,39.6,20.32,8.03973224503283
"01025",12741,73.45,26.55,26.53,40.42,32.53,10.2881529499401
"01027",6802,76.98,23.02,20.94,31.65,27.64,11.2623681211792
"01029",6806,84.13,15.87,30.3,27.76,24.35,12.1513601558194
"01031",23088,85.71,14.29,13.6,22.17,35.21,34.0037977251265
"01033",26466,82.37,17.63,9.28,30.25,27.29,44.6501018545555
"01035",7143,64.03,35.97,28.74,41.25,23.39,8.40159128696732
"01037",6558,62.56,37.44,30.73,43.16,18.01,10.0751619590966
"01039",18907,79.38,20.62,21.58,30.22,25.97,18.3464829287271
"01041",6790,74.01,25.99,27.3,31.95,26.19,11.1519507820094
"01043",37652,81.62,18.38,22.88,29.26,25.42,51.2427421472471
"01045",23065,80.95,19.05,18.21,23.71,39.8,41.106880377896
"01047",20336,80.33,19.67,20.46,33.09,40.21,20.7778739888941
"01049",31462,83.06,16.94,23.86,30.25,28.81,40.4866757525217
"01051",34004,85.7,14.3,15.07,23.49,26.29,54.9831809559292
"01053",16595,80.92,19.08,17.52,33.45,31.21,17.5567928429594
"01055",47705,81.28,18.72,10.96,30.12,28.1,89.1216838257114
"01057",8470,82.02,17.98,22.27,34.74,22.1,13.4941197918089
"01059",14152,79.21,20.79,17.38,28.21,29.44,22.3247384711164
"01061",12768,82.07,17.93,28.42,27.84,29.19,22.225399471794
"01063",5075,58.23,41.77,38.5,53.58,31.27,7.84365121569349
"01065",7777,72.75,27.25,35.86,35.71,28.53,12.0764698795768
"01067",9096,73.32,26.68,25.92,31.55,17.2,16.1923217707074
"01069",47187,83.19,16.81,13.72,25.04,34.42,81.3756075785427
"01071",25106,82.16,17.84,19.57,34.62,25.91,23.2898081055808
"01073",307372,84.89,15.11,2.94,25.76,37.2,276.568734830338
"01075",7390,80.84,19.16,18.42,35.51,23.55,12.2180367848656
"01077",44792,85.98,14.02,9.12,27.71,31.52,67.052881337535
"01079",15373,83.33,16.67,22.49,34.52,20.9,22.257737034419
"01081",68081,87.21,12.79,15.98,18.78,39.67,112.058661903008
"01083",36069,89.07,10.93,12.58,22.32,21.98,64.4143518743651
"01085",5187,80.59,19.41,36.59,42.62,26.34,7.24534571023278
"01087",10274,74.33,25.67,18.98,38.64,34.25,16.8751393758621
"01089",159299,91.18,8.82,4.45,20.79,32.77,198.731349962034
"01091",10325,75.23,24.77,24.57,36.85,28.77,10.5692758047034
"01093",14867,82.14,17.86,22.34,33.07,24.64,20.0272533020241
"01095",40630,85.89,14.11,14.77,23.62,29.63,71.8044437464498
"01097",183164,85.08,14.92,7.69,28.23,35.11,148.990847633907
"01099",11398,71.49,28.51,22.6,37.45,39.11,11.1128014874023
"01101",104355,86.09,13.91,4.15,23.38,41.42,132.886076998001
"01103",51951,87.86,12.14,11.11,27.59,27.86,89.6654222302611
"01105",4751,64.81,35.19,20.65,46,27.25,6.60179510718667
"01107",9557,78.79,21.21,23.74,36.15,26.04,10.8426548790057
"01109",16077,71.82,28.18,21.99,27.93,40.72,23.9218047131355
