"YFips","Year","Fips","State","CountyName","TtlJlPpr","FmlJlPpr","MlJlPpr","AapiJlPpr","BlckJlPpr","LtnxJlPpr","NtvJlPpr","WhtJlPpr","TtlJlAdmr","TtlJlPrtr"
201701001,2017,"01001","AL","Autauga County",453.9,135.14,711.4,0,645.16,195.5,557.05,279.87,2145.69,266.84
201701003,2017,"01003","AL","Baldwin County",476.27,160.46,796.73,460.36,1266.4,624.73,220.75,369.36,11350.3,368.75
201701005,2017,"01005","AL","Barbour County",690.04,113.19,1020.18,0,123.05,1199.4,5545.45,1150.23,4848.94,261.1
201701007,2017,"01007","AL","Bibb County",502.71,134.93,710.23,0,655.38,997.51,0,411,9425.85,423.34
201701009,2017,"01009","AL","Blount County",367.77,82.88,539.89,0,1851.85,294.64,0,314.36,0,189.37
201701011,2017,"01011","AL","Bullock County",473.86,984.18,486.18,0,501.36,0,0,69.01,13860.51,296.16
201701013,2017,"01013","AL","Butler County",626.58,106.35,770.98,0,1170.51,591.72,0,439.81,12694.28,130.2
201701015,2017,"01015","AL","Calhoun County",669.59,199.24,1319.39,200,1268.58,570.13,0,557.88,18595.21,631.94
201701017,2017,"01017","AL","Chambers County",696.16,91.15,1111.96,0,771.98,223.71,0,542.17,2915.48,224.27
201701019,2017,"01019","AL","Cherokee County",785.13,227.07,1275.96,0,1179.55,829.88,0,737.83,18943.53,502.48
201701021,2017,"01021","AL","Chilton County",603.54,256.17,864.39,407.89,939.28,187.27,0,552.63,9784.5,0
201701023,2017,"01023","AL","Choctaw County",342.42,48.29,561.05,0,262.16,666.67,0,183.61,8573.24,38.05
201701025,2017,"01025","AL","Clarke County",1324.02,87.57,2713.23,0,1746.05,1638.74,2464.79,1002.08,11988.67,882.68
201701027,2017,"01027","AL","Clay County",1128.67,352.2,2573.35,0,1831.21,738.01,0,982.55,13591.54,451.47
201701029,2017,"01029","AL","Cleburne County",724.48,283.35,1373.39,0,2614.38,3333.33,0,714.78,8855.97,670.42
201701031,2017,"01031","AL","Coffee County",387.23,96.95,622.28,126.6,1131.33,128.98,204.44,199.52,4719.41,335.8
201701033,2017,"01033","AL","Colbert County",314.07,102.11,548.96,0,973.69,679.09,0,223.85,5292.7,250.09
201701035,2017,"01035","AL","Conecuh County",475.81,357.51,2602.74,0,594.76,0,0,437.88,0,171.82
201701037,2017,"01037","AL","Coosa County",668.99,238.73,1134.75,0,932.09,705.88,0,610.17,12856.31,349.04
201701039,2017,"01039","AL","Covington County",958.57,346.62,1802.13,0,1482.31,880.43,0,940.6,3904.94,728.86
201701041,2017,"01041","AL","Crenshaw County",577.1,112.46,1375.06,0,826.83,3629.14,0,728.86,9002.77,265.47
201701043,2017,"01043","AL","Cullman County",604.5,265.94,976.11,282.05,3566.71,555.3,340.3,591.73,11517.93,573.89
201701045,2017,"01045","AL","Dale County",189.21,44.13,340.76,0,543.48,48.36,0,114.29,9018.95,160.83
201701047,2017,"01047","AL","Dallas County",758.9,29.99,1389.26,0,752.22,836.82,0,912.52,6752.97,624.97
201701049,2017,"01049","AL","DeKalb County",522,49.31,537.18,0,1137.8,785.87,0,502.16,5428.82,439.81
201701051,2017,"01051","AL","Elmore County",628.46,89.17,761.88,0,846.99,1062.34,0,306.42,8408.83,176.41
201701053,2017,"01053","AL","Escambia County",880.24,126.25,1028.63,0,1130.43,572.52,171.09,641.39,6601.78,355.48
201701055,2017,"01055","AL","Etowah County",1092.97,263.03,1900.76,2293.58,1794.09,4000.84,0,539.23,10411.43,275.91
201701057,2017,"01057","AL","Fayette County",660.62,354.82,1104.75,3846.15,2654.87,552.49,0,450.09,6408.99,650.76
201701059,2017,"01059","AL","Franklin County",346.52,196.97,857.2,0,476.19,172.22,0,347.38,10968.26,306.35
201701061,2017,"01061","AL","Geneva County",421.73,96.95,690.59,0,655.54,312.5,0,289.21,8899.21,201.7
201701063,2017,"01063","AL","Greene County",119.19,152.21,1039.07,0,614.55,0,0,115.74,11362.73,377.43
201701065,2017,"01065","AL","Hale County",435.4,82.41,784.68,0,561.9,691.67,0,200.06,5660.17,293.89
201701067,2017,"01067","AL","Henry County",450.19,93.81,861.06,0,845.17,961.54,0,296.36,6973.18,201.15
201701069,2017,"01069","AL","Houston County",491.94,95.61,960.7,0,886.28,235.62,0,373.67,11866.83,160.97
201701071,2017,"01071","AL","Jackson County",578.09,307.88,1429.27,0,1968.83,455.04,0,508.79,13606.35,216.02
201701073,2017,"01073","AL","Jefferson County",349.35,94.07,646.64,49.89,508.37,249.98,430.99,247.06,16602,129.18
201701075,2017,"01075","AL","Lamar County",807.12,142.21,832.14,0,702.11,0,0,496,5554.9,118.69
201701077,2017,"01077","AL","Lauderdale County",510.31,121.23,682.72,162.71,1159.73,63.65,0,449.49,8670.17,313.26
201701079,2017,"01079","AL","Lawrence County",614.05,223.73,947.91,0,922.05,1070.42,0,603.2,7557.51,132.26
201701081,2017,"01081","AL","Lee County",380.76,98.54,652.96,20.09,901.57,296.3,268.49,222.41,8520.8,250.64
201701083,2017,"01083","AL","Limestone County",361.67,78.76,543.5,88.65,628.39,456.42,0,344.88,7239.79,292.86
201701085,2017,"01085","AL","Lowndes County",311.96,60.28,581.96,0,376.41,263.16,0,136.24,623.93,202.78
201701087,2017,"01087","AL","Macon County",79.78,59,469.24,0,486.1,0,0,210.19,5808.2,319.13
201701089,2017,"01089","AL","Madison County",344.76,135.71,621.62,64.69,721.28,166.52,47.37,270.02,5818.97,352.99
201701091,2017,"01091","AL","Marengo County",507.45,111.01,1189.85,0,696.81,257.25,0,153.37,4758.34,399.3
201701093,2017,"01093","AL","Marion County",536.59,175.92,876.54,0,843.37,217.86,2960,417.57,0,330.62
201701095,2017,"01095","AL","Marshall County",516.98,165.45,841.09,0,1269.94,309.81,0,492.95,17093.84,335.7
201701097,2017,"01097","AL","Mobile County",59.29,157.49,1005.57,111.15,923.2,317.33,272.1,378.58,2568.87,3.73
201701099,2017,"01099","AL","Monroe County",506.86,100.19,575.52,0,1065.66,3208.56,0,69.89,1550.39,313.06
201701101,2017,"01101","AL","Montgomery County",428.22,85.36,808.71,41.06,541.48,244.14,601.58,277.37,7960.01,316.31
201701103,2017,"01103","AL","Morgan County",793.11,252.58,1457.48,0,1251.31,866.09,0,761.3,18182.42,783.92
201701105,2017,"01105","AL","Perry County",305.6,32.2,1149.43,0,502.51,0,0,57.14,882.85,203.74
201701107,2017,"01107","AL","Pickens County",1439.39,122.96,1449.06,0,2540.97,992.3,0,940.8,13787.88,833.33
201701109,2017,"01109","AL","Pike County",358.13,83.48,732.34,0,679.59,0,0,201.61,13686.57,284.78
201701111,2017,"01111","AL","Randolph County",481.14,223.28,1076.5,0,1765.7,273.46,0,196.43,13613.53,106.13
201701113,2017,"01113","AL","Russell County",606.94,156.26,1181.19,204.92,752.87,354.25,0,608.73,10448.92,556.13
201701115,2017,"01115","AL","St. Clair County",395.83,88.32,571.19,782.53,751.25,227.27,0,368.96,9514.09,293.8
201701117,2017,"01117","AL","Shelby County",355.55,126.13,604.57,0,972.22,66.11,0,283.02,4665.5,341.33
201701119,2017,"01119","AL","Sumter County",387.32,0,535.85,0,357.72,1050,1800,50.92,2441.31,58.69
201701121,2017,"01121","AL","Talladega County",608.06,251.94,1006.3,0,845.23,163.8,0,524.1,15360.71,441.18
201701123,2017,"01123","AL","Tallapoosa County",694.8,148.26,1202.16,0,1716.38,616.49,0,280.44,11628,255.56
201701125,2017,"01125","AL","Tuscaloosa County",380.42,83.21,667.89,31.13,709.4,124.17,0,213.81,7995.68,345.14
201701127,2017,"01127","AL","Walker County",706.55,183.43,1161.8,544,1583.18,349.24,0,646.5,3115.79,87.38
201701129,2017,"01129","AL","Washington County",476.24,132.73,746.41,0,760.46,450,587.54,309.87,10000.95,342.89
201701131,2017,"01131","AL","Wilcox County",784.67,86.76,1199.12,0,828.68,0,0,72.56,0,0
201701133,2017,"01133","AL","Winston County",625.89,68.68,768.3,1785.71,7594.94,225.23,0,574.42,12735.56,435.4
201702013,2017,"02013","AK","Aleutians East Borough",101.73,0,48.43,138.79,301.2,0,0,1034.48,7053.24,33.91
201702016,2017,"02016","AK","Aleutians West Census Area",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
201702020,2017,"02020","AK","Anchorage Municipality",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
201702050,2017,"02050","AK","Bethel Census Area",44.44,56,220.6,0,0,267.38,42.62,158.79,1386.67,35.56
