address,city,state,zip,Longitude,Latitude,Match Score,geo_method,category
975 9TH AVE SW SUITE 500 BESSEMER AL 35022,BESSEMER,AL,35022,-86.99006172,33.37497393,96.94,,dialysis
6601 WALL STREET SUITE A MOBILE AL 36695,MOBILE,AL,36695,-88.19503087,30.67057424,97.17,,dialysis
3861 SALEM ROAD NA ENTERPRISE AL 36330,ENTERPRISE,AL,36330,-85.86933274,31.36062712,96.12,,dialysis
409 SOUTH FIRST STREET NA GADSDEN AL 35901,GADSDEN,AL,35901,-86.00307585,34.00637725,96.73,,dialysis
216 GRACELAND DR. NA DOTHAN AL 36305,DOTHAN,AL,36305,-85.45237903,31.23227403,96.43,,dialysis
120 CAHABA VALLEY PARKWAY SUITE 150 PELHAM AL 35124,PELHAM,AL,35124,-86.7846522,33.33710688,99.54,,dialysis
522 EAST 11TH STREET 1ST FLOOR ANNISTON AL 36207,ANNISTON,AL,36207,-85.82240578,33.65838727,97.27,,dialysis
20998 JOHN T. REID HWY NA SCOTTSBORO AL 35768,SCOTTSBORO,AL,35768,-86.033305,34.66737,85,,dialysis
2325 PANSY STREET SUITE C HUNTSVILLE AL 35801,HUNTSVILLE,AL,35801,-86.57751919,34.71460146,87.24,,dialysis
4391 RIVERCHASE DRIVE NA PHENIX CITY AL 36867,PHENIX CITY,AL,36867,-85.00565548,32.50893765,96.55,,dialysis
30230 HWY 43 NA THOMASVILLE AL 36784,THOMASVILLE,AL,36784,-87.74502795,31.88123635,95.83,,dialysis
901 WESTLAKE MALL STE 101 BESSEMER AL 35020,BESSEMER,AL,35020,-86.97440302,33.3982323,97.06,,dialysis
2202 JORDAN ROAD SW SUITE 100 FORT PAYNE AL 35968,FORT PAYNE,AL,35968,-85.75458967,34.43460775,97.14,,dialysis
1311 N MEMORIAL PKWY STE 100 NA HUNTSVILLE AL 35801,HUNTSVILLE,AL,35801,-86.6008366,34.74604061,96.78,,dialysis
4016 HWY 45 NA WHISTLER AL 36613,WHISTLER,AL,36613,-88.12178035,30.75857168,94.8,,dialysis
1208 WEST BYPASS NA ANDALUSIA AL 36420,ANDALUSIA,AL,36420,-86.50299996,31.29126,96.25,,dialysis
2800 RAINBOW DRIVE NA RAINBOW CITY AL 35906,RAINBOW CITY,AL,35906,-86.02776072,33.96529762,96.3,,dialysis
1010 FIRST STREET NORTH SUITE 100 ALABASTER AL 35007,ALABASTER,AL,35007,-86.81416052,33.25401594,97.33,,dialysis
728 RICHARD ARRINGTON BLVD S NA BIRMINGHAM AL 35233,BIRMINGHAM,AL,35233,-86.79796056,33.50572956,95.51,,dialysis
1311 N MEMORIAL PKWY #200 NA HUNTSVILLE AL 35801,HUNTSVILLE,AL,35801,-86.6008366,34.74604061,96.61,,dialysis
2609 VILLAGE PROFESSIONAL DR STE 2 OPELIKA AL 36801,OPELIKA,AL,36801,-85.41278384,32.64736727,89.77,,dialysis
310 SOUTH BRINDLEE MOUNTAIN PARKWAY NA ARAB AL 35016,ARAB,AL,35016,-86.50275415,34.31143752,97.64,,dialysis
62 COGSWELL DRIVE NA PELL CITY AL 35125,PELL CITY,AL,35125,-86.283145,33.59145,85,,dialysis
2131 MAGNOLIA AVE SOUTH #100 NA BIRMINGHAM AL 35205,BIRMINGHAM,AL,35205,-86.79450931,33.50312082,99.36,,dialysis
575 STANTON ROAD UNIT B MOBILE AL 36617,MOBILE,AL,36617,-88.09637566,30.70747576,97.11,,dialysis
2104 LORNA RIDGE LANE NA HOOVER AL 35216,HOOVER,AL,35216,-86.79584254,33.39155597,96.74,,dialysis
3883 HIGHWAY 25 NA MONTEVALLO AL 35115,MONTEVALLO,AL,35115,-86.86652797,33.09190096,96.12,,dialysis
289 WILLIAM E HILL DRIVE SUITE A CARROLLTON AL 35447,CARROLLTON,AL,35447,-88.08980636,33.27436047,97.17,,dialysis
2505 HAND AVENUE NA BAY MINETTE AL 36507,BAY MINETTE,AL,36507,-87.78757248,30.91147475,96.2,,dialysis
1611 21ST COURT NA PHENIX CITY AL 36867,PHENIX CITY,AL,36867,-85.02324268,32.47631019,96.12,,dialysis
