address,city,state,zip,Longitude,Latitude,Match Score
975 9TH AVE SW SUITE 500 BESSEMER AL 35022,BESSEMER,AL,35022,-86.99006171988401,33.37497393160017,96.94
6601 WALL STREET SUITE A MOBILE AL 36695,MOBILE,AL,36695,-88.19503087000693,30.670574242561294,97.17
3861 SALEM ROAD NA ENTERPRISE AL 36330,ENTERPRISE,AL,36330,-85.86933274002975,31.360627121041286,96.12
409 SOUTH FIRST STREET NA GADSDEN AL 35901,GADSDEN,AL,35901,-86.00307585019766,34.00637724623383,96.73
216 GRACELAND DR. NA DOTHAN AL 36305,DOTHAN,AL,36305,-85.45237902805785,31.232274030908975,96.43
120 CAHABA VALLEY PARKWAY SUITE 150 PELHAM AL 35124,PELHAM,AL,35124,-86.78465219530477,33.33710687856066,99.54
522 EAST 11TH STREET 1ST FLOOR ANNISTON AL 36207,ANNISTON,AL,36207,-85.82240577548866,33.65838727326635,97.27
20998 JOHN T. REID HWY NA SCOTTSBORO AL 35768,SCOTTSBORO,AL,35768,-86.03330499999998,34.66737000000006,85
2325 PANSY STREET SUITE C HUNTSVILLE AL 35801,HUNTSVILLE,AL,35801,-86.57751919076652,34.71460146117704,87.24
4391 RIVERCHASE DRIVE NA PHENIX CITY AL 36867,PHENIX CITY,AL,36867,-85.00565548070607,32.50893765274432,96.55
30230 HWY 43 NA THOMASVILLE AL 36784,THOMASVILLE,AL,36784,-87.74502794618935,31.88123634638322,95.83
901 WESTLAKE MALL STE 101 BESSEMER AL 35020,BESSEMER,AL,35020,-86.97440301613628,33.39823229644018,97.06
2202 JORDAN ROAD SW SUITE 100 FORT PAYNE AL 35968,FORT PAYNE,AL,35968,-85.7545896685776,34.434607749726716,97.14
1311 N MEMORIAL PKWY STE 100 NA HUNTSVILLE AL 35801,HUNTSVILLE,AL,35801,-86.60083659915348,34.74604060757862,96.78
4016 HWY 45 NA WHISTLER AL 36613,WHISTLER,AL,36613,-88.12178034633504,30.758571675142505,94.8
1208 WEST BYPASS NA ANDALUSIA AL 36420,ANDALUSIA,AL,36420,-86.50299996440454,31.291259998125646,96.25
2800 RAINBOW DRIVE NA RAINBOW CITY AL 35906,RAINBOW CITY,AL,35906,-86.02776072268722,33.9652976225899,96.3
1010 FIRST STREET NORTH SUITE 100 ALABASTER AL 35007,ALABASTER,AL,35007,-86.8141605177957,33.25401594082541,97.33
728 RICHARD ARRINGTON BLVD S NA BIRMINGHAM AL 35233,BIRMINGHAM,AL,35233,-86.7979605620718,33.50572956423539,95.51
1311 N MEMORIAL PKWY #200 NA HUNTSVILLE AL 35801,HUNTSVILLE,AL,35801,-86.60083659915348,34.74604060757862,96.61
2609 VILLAGE PROFESSIONAL DR STE 2 OPELIKA AL 36801,OPELIKA,AL,36801,-85.41278383946641,32.64736727469025,89.77
310 SOUTH BRINDLEE MOUNTAIN PARKWAY NA ARAB AL 35016,ARAB,AL,35016,-86.50275415448046,34.311437520912925,97.64
62 COGSWELL DRIVE NA PELL CITY AL 35125,PELL CITY,AL,35125,-86.28314499999999,33.591450000000066,85
2131 MAGNOLIA AVE SOUTH #100 NA BIRMINGHAM AL 35205,BIRMINGHAM,AL,35205,-86.79450931343922,33.503120822600586,99.36
575 STANTON ROAD UNIT B MOBILE AL 36617,MOBILE,AL,36617,-88.09637565761902,30.707475763921668,97.11
2104 LORNA RIDGE LANE NA HOOVER AL 35216,HOOVER,AL,35216,-86.79584253895837,33.39155597304542,96.74
3883 HIGHWAY 25 NA MONTEVALLO AL 35115,MONTEVALLO,AL,35115,-86.86652796662726,33.0919009647761,96.12
289 WILLIAM E HILL DRIVE SUITE A CARROLLTON AL 35447,CARROLLTON,AL,35447,-88.08980636177877,33.27436046689327,97.17
2505 HAND AVENUE NA BAY MINETTE AL 36507,BAY MINETTE,AL,36507,-87.78757247505139,30.911474749870305,96.2
1611 21ST COURT NA PHENIX CITY AL 36867,PHENIX CITY,AL,36867,-85.02324268455774,32.47631019096645,96.12
"201 ST. JOSEPH STREET, SUITE B NA MOBILE AL 36602",MOBILE,AL,36602,-88.04348756933756,30.695427884671528,96.08
14897 HWY 43 NA RUSSELLVILLE AL 35653,RUSSELLVILLE,AL,35653,-87.71706965429429,34.50512800297795,95.8
195 BUNTING DRIVE NA OZARK AL 36360,OZARK,AL,36360,-85.64584469999994,31.45883930000008,85
544 HIGHWAY 43 NA EUTAW AL 35462,EUTAW,AL,35462,-87.88163133529402,32.84041868990807,96.32
1120 S JACKSON HWY STE 107 NA SHEFFIELD AL 35660,SHEFFIELD,AL,35660,-87.70146448920626,34.747246433063395,96.73
7067 VETERANS PKWY SUITE 120 NA PELL CITY AL 35125,PELL CITY,AL,35125,-86.30065615681438,33.604942331686104,96.96
726 E BATTLE STREET SUITE A TALLADEGA AL 35160,TALLADEGA,AL,35160,-86.0896292505464,33.43688251560971,97.04
"27880 N. MAIN ST, SUITE A NA DAPHNE AL 36526",DAPHNE,AL,36526,-87.91054061820344,30.631300183696407,96.74
1450 ROSS CLARK CIRCLE SUITE 200 DOTHAN AL 36301,DOTHAN,AL,36301,-85.37020595063012,31.19895294830166,99.51
712 STATE STREET NA MUSCLE SHOALS AL 35661,MUSCLE SHOALS,AL,35661,-87.66483432898369,34.74375949895174,96.11
300 MEDICAL CENTER DRIVE SUITE 100 GADSDEN AL 35903,GADSDEN,AL,35903,-85.9672797710246,34.007959171549054,97.54
12401 SKOPELOS RD NA GRAND BAY AL 36541,GRAND BAY,AL,36541,-88.33620801956216,30.498290006303364,94.86
4748 BELL HILL ROAD NA BESSEMER AL 35022,BESSEMER,AL,35022,-86.99501010479916,33.32971654959733,96.46
"505 HIGHWAY 80 W, SUITE F NA DEMOPOLIS AL 36732",DEMOPOLIS,AL,36732,-87.84340020906224,32.5002186336582,96.6
11839 HIGHWAY 231-431 NORTH NA MERIDIANVILLE AL 35759,MERIDIANVILLE,AL,35759,-86.57147741457484,34.856025899691815,96.62
"2017 QUINTARD AVE, SUITE B NA ANNISTON AL 36201",ANNISTON,AL,36201,-85.8267469265622,33.67097027770756,99.36
"2017 QUINTARD AVENUE, SUITE A NA ANNISTON AL 36201",ANNISTON,AL,36201,-85.8267469265622,33.67097027770756,99.39
"2024 4TH AVE SOUTH, SUITE 100 NA BIRMINGHAM AL 35233",BIRMINGHAM,AL,35233,-86.80162982400586,33.509322341303076,96.78
3671 ROOSEVELT BLVD NA BIRMINGHAM AL 35235,BIRMINGHAM,AL,35235,-86.63700346212669,33.60920713451196,96.42
1023 DOUGLAS AVENUE SUITE 300 BREWTON AL 36426,BREWTON,AL,36426,-87.06858877193073,31.121534342994725,97.36
29569 HUNTSVILLE BROWNS FERRY RD NA MADISON AL 35756,MADISON,AL,35756,-86.7955209253335,34.72908329438853,97.24
700 SARA G LOTT BLVD NA BRUNDIDGE AL 36010,BRUNDIDGE,AL,36010,-85.83176723419764,31.72042740521501,96.4
"5406 HIGHWAY 280, SUITE D107 NA BIRMINGHAM AL 35242",BIRMINGHAM,AL,35242,-86.67170814549173,33.41878906982857,99.36
4459 US HIGHWAY 431 NA ROANOKE AL 36274,ROANOKE,AL,36274,-85.36997858924882,33.166138299584716,96.52
"150 GILBREATH DRIVE, SUITE 1 NA ONEONTA AL 35121",ONEONTA,AL,35121,-86.49406200577228,33.92961401675345,96.98
200 SOUTH PARK PL NA SELMA AL 36701,SELMA,AL,36701,-87.05442819141516,32.42611067948185,96.5
592 FIELDSTOWN ROAD SUITE 102 GARDENDALE AL 35071,GARDENDALE,AL,35071,-86.82073897068423,33.65222121758974,99.42
201 LINCOLN LANE NA SELMA AL 36701,SELMA,AL,36701,-87.05741114311722,32.43323320170549,96.5
3368 HWY 280 BYPASS SUITE G-1 ALEXANDER CITY AL 35010,ALEXANDER CITY,AL,35010,-85.96909779401926,32.93158692444261,85.59
4400 WATERMELON ROAD SUITE A NORTHPORT AL 35473,NORTHPORT,AL,35473,-87.54833879300791,33.24796433246137,97.14
"1216 SOMERVILLE ROAD, SE NA DECATUR AL 35601",DECATUR,AL,35601,-86.97275123883625,34.588361617451696,96.8
1920 E CAMBRIDGE RD STE 102 NA PHOENIX AZ 85016,PHOENIX,AZ,85016,-112.03018999999995,33.48822500000006,85
PO BOX 245148 NA TUCSON AZ 85724,TUCSON,AZ,85724,-110.94409999999999,32.24147000000005,87.95
6420 E BROADWAY BLVD STE C300 NA TUCSON AZ 85710,TUCSON,AZ,85710,-110.8556989724076,32.22093254431155,99.42
500 EDGEWATER DRIVE PO BOX 2910 TUBA CITY AZ 86045,TUBA CITY,AZ,86045,-111.23222566637345,36.12944816802289,86.98
1021 S 7TH AVE STE 108 NA PHOENIX AZ 85007,PHOENIX,AZ,85007,-112.08248144702902,33.43727947200493,96.6
135 S POWER RD STE 103 NA MESA AZ 85206,MESA,AZ,85206,-111.68450080402371,33.41307772482422,99.37
HWY 86 - MP 113 NA SELLS AZ 85634,SELLS,AZ,85634,-111.86749999999995,31.914625000000058,85
912 W CHANDLER BLVD BLDG A-D NA CHANDLER AZ 85225,CHANDLER,AZ,85225,-111.857964793154,33.30725259301597,99.44
35 WEST LAKESHORE DRIVE SUITE 105 BIRMINGHAM AL 35209,BIRMINGHAM,AL,35209,-86.81314446349305,33.45078065686423,97.26
40 PURPLE HEART BLVD NA SPRINGVILLE AL 35146,SPRINGVILLE,AL,35146,-86.46704030428101,33.76954353021829,96.36
289 N FIREWOOD LANE STE A NA SOLDOTNA AK 99669,SOLDOTNA,AK,99669,-151.15215499999996,60.48325500000004,85
360 BONIFACE PKWY SUITE A11 NA ANCHORAGE AK 99504,ANCHORAGE,AK,99504,-149.7785470307705,61.22111803908885,99.37
40 WASDEN RD NA HOPE HULL AL 36043,HOPE HULL,AL,36043,-86.35719399263955,32.27008083940962,95.95
10050 W BELL RD STE 29-31 NA SUN CITY AZ 85351,SUN CITY,AZ,85351,-112.27645997529682,33.638217488135595,99.43
1957 W DUNLAP AVE STE 6C NA PHOENIX AZ 85021,PHOENIX,AZ,85021,-112.10342869142609,33.56752125830361,96.73
US HWY 163 N NA KAYENTA AZ 86033,KAYENTA,AZ,86033,-110.24898999999999,36.710510000000056,85
"1699 E COTTONWOOD ST, A-200 NA COTTONWOOD AZ 86326",COTTONWOOD,AZ,86326,-112.00748264719105,34.72854672961295,95.96
1495 N HAYDEN STE D1-D4 NA SCOTTSDALE AZ 85257,SCOTTSDALE,AZ,85257,-111.92309279999995,33.46141000000006,85
4502 W INDIAN SCHOOL RD STE A4-11 NA PHOENIX AZ 85031,PHOENIX,AZ,85031,-112.15602297105492,33.495028739316,97.14
13000 N 103RD AVE STE 66 NA SUN CITY AZ 85351,SUN CITY,AZ,85351,-112.28128300620315,33.601880345308174,99.35
7490 S CAMINO DE OESTE NA TUCSON AZ 85757,TUCSON,AZ,85757,-111.06321435936894,32.11502250382445,96.27
1500 S WHITE MOUNTAIN BLVD STE 204 NA SHOW LOW AZ 85901,SHOW LOW,AZ,85901,-110.02658323851742,34.23632097162134,87.24
901 EAST DIMOND BOULEVARD SUITE G NA ANCHORAGE AK 99515,ANCHORAGE,AK,99515,-149.86602300306131,61.144807474289706,99.42
1605 N. INDUSTRIAL PARK DR. STE H NA NOGALES AZ 85621,NOGALES,AZ,85621,-110.9480048487653,31.361287530214288,99.42
26 E BASELINE STE 142 NA PHOENIX AZ 85042,PHOENIX,AZ,85042,-112.07238494049403,33.37780865266756,85.38
