Name1,Name2,Name3,Address1,Address2,Address3,City,State,ZIP_Code,Contact,Keys,ID
SHELBY MEDICAL CENTER,RESTORE PROGRAMS,,1000 FIRST STREET NORTH,,,ALABASTER,AL,35007,(205)663-8663,AD/OT/RR/W/B/CU/IV/EA/TX/PV/,1039AL35007
LIGHTHOUSE OF TALLAPOOSA COUNTY INC,,,204 CALHOUN STREET,,,ALEXANDER CITY,AL,35010,(205)234-4894,AD/RR/TX/OT/,2382AL35010
PARKSIDE RECOVERY CENTER AT,RUSSELL HOSPITAL,,609 HIGl-tHAY 22 HEST,,,ALEXANDER CITY,AL,35010,(205)329-7391,AD/OT/AM/W/A/B/H/AI/HV/PI/CU/IV/TX/CI/PV/,9403AL35010
AGENCY FOR SUBSTANCE ABUSE PREV OF,CALHOUN AND CLEBURNE COUNTIES,,1302 NOBLE STREET,,,ANNISTON,AL,36201,(205)237-8131,AD/EA/PV/,6718AL36201
ANNISTON FELLOWSHIP HOUSE INC,,,1219 LEIGHTON AVENUE,,,ANNISTON,AL,36201,(205)236-7229,AD/RR/TX/CI/PV/,7504AL36201
CALHOUN/CLEBURNE MENTAL HEALTH CENTER,NEH DIRECTIONS,,331 EAST 8TH AVENUE,,,ANNISTON,AL,36202,(205)230-3403,AD/AM/H/TX/PV/,0007AL36202
NORTHEAST ALABAMA,REGIONAL MEDICAL CENTER,,400 EAST 10TH STREET,,,ANNISTON,AL,36201,(205)235-5121,AD/OT/RR/IV/TX/PV/,6604AL36201
ALCOHOL AND DRUG ABUSE COUNCIL,,,1923 14TH AVENUE SOUTH,,,BIRMINGHAM,AL,35205,(205)933-1213,AD/AM/H/HV/CU/TX/,8970AL35205
ALETHEIA HOUSE INC,,,3600 8TH AVENUE SOUTH,SUITE H-106,,BIRMINGHAM,AL,35222,(205)324-6502,DA/RR/AM/W/B/HV/CU/IV/PG/TX/CI/PV/,3523AL35222
BIRMINGHAM TASC PROGRAM,,,718 30TH STREET SOUTH,,,BIRMINGHAM,AL,35233,(205)934-7430,AD/OT/,5210AL35233
