Name1,Name2,Name3,Address1,Address2,Address3,City,State,ZIP_Code,Contact,Keys,ID,Longitude,Latitude,Match Score
SHELBY MEDICAL CENTER,RESTORE PROGRAMS,,1000 FIRST STREET NORTH,,,ALABASTER,AL,35007,(205)663-8663,AD/OT/RR/W/B/CU/IV/EA/TX/PV/,8285AL35007,-86.81447282750808,33.25228608364807,100.0
LIGHTHOUSE OF TALLAPOOSA COUNTY INC,,,204 CALHOUN STREET,,,ALEXANDER CITY,AL,35010,(205)234-4894,AD/RR/TX/OT/,0331AL35010,-85.95234738319901,32.94541670951957,100.0
PARKSIDE RECOVERY CENTER AT,RUSSELL HOSPITAL,,609 HIGl-tHAY 22 HEST,,,ALEXANDER CITY,AL,35010,(205)329-7391,AD/OT/AM/W/A/B/H/AI/HV/PI/CU/IV/TX/CI/PV/,1270AL35010,-85.94697009999999,32.94387830000005,85.0
AGENCY FOR SUBSTANCE ABUSE PREV OF,CALHOUN AND CLEBURNE COUNTIES,,1302 NOBLE STREET,,,ANNISTON,AL,36201,(205)237-8131,AD/EA/PV/,6724AL36201,-85.82981326113949,33.661200856991236,100.0
ANNISTON FELLOWSHIP HOUSE INC,,,1219 LEIGHTON AVENUE,,,ANNISTON,AL,36201,(205)236-7229,AD/RR/TX/CI/PV/,1892AL36201,-85.82495697113906,33.66051016545879,99.51
CALHOUN/CLEBURNE MENTAL HEALTH CENTER,NEH DIRECTIONS,,331 EAST 8TH AVENUE,,,ANNISTON,AL,36202,(205)230-3403,AD/AM/H/TX/PV/,3062AL36202,-85.82320389609005,33.65447733255786,90.75
NORTHEAST ALABAMA,REGIONAL MEDICAL CENTER,,400 EAST 10TH STREET,,,ANNISTON,AL,36201,(205)235-5121,AD/OT/RR/IV/TX/PV/,0203AL36201,-85.82341874330994,33.65703119559479,99.52
ALCOHOL AND DRUG ABUSE COUNCIL,,,1923 14TH AVENUE SOUTH,,,BIRMINGHAM,AL,35205,(205)933-1213,AD/AM/H/HV/CU/TX/,2019AL35205,-86.79490737002102,33.497200726297244,100.0
ALETHEIA HOUSE INC,,,3600 8TH AVENUE SOUTH,SUITE H-106,,BIRMINGHAM,AL,35222,(205)324-6502,DA/RR/AM/W/B/HV/CU/IV/PG/TX/CI/PV/,1913AL35222,-86.77660204785722,33.51525090332864,100.0
BIRMINGHAM TASC PROGRAM,,,718 30TH STREET SOUTH,,,BIRMINGHAM,AL,35233,(205)934-7430,AD/OT/,4625AL35233,-86.78508973065071,33.51181126363191,100.0
BRADFORD AT BIRMINGHAM,ADULT SERVICES,,1221 ALTON DRIVE,,,BIRMINGHAM,AL,35210,(205)833-4000,AD/OT/RR/AM/W/B/H/AI/CU/IV/EA/TX/CI/PV/,8454AL35210,-86.64633713040787,33.58357452023036,100.0
