GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,CTY_SUBA,COUSUBCC,PLACEA,PLACECC,PLACEDC,TRACTA,TRBL_CTA,BLCK_GRPA,TRBL_BGA,C_CITYA,AIANHHA,RES_ONLYA,TRUSTA,AIANHHCC,AITSCE,TRBL_SUBA,ANRCA,MSA_CMSAA,CMSA,MACCI,PMSAA,NECMAA,NECMACCI,URB_AREAA,UATYPE,CD106A,CD108A,CD109A,ZIP3A,ZCTAA,AREALAND,AREAWATR,NAME,FUNCSTAT,INTPTLAT,INTPLON,LSADC,MACC,UACP,FL5001,FMC001,FMC002,FMR001,FMR002,FMR003,FMR004,FMR005,FMR006,FMR007,FMZ001,FMZ002,FMZ003,FMZ004,FMZ005,FMZ006,FMZ007,FMZ008,FMZ009,FMZ010,FMZ011,FMZ012,FMZ013,FMZ014,FMZ015,FMZ016,FMZ017,FMZ018,FMZ019,FMZ020,FMZ021,FMZ022,FMZ023,FMZ024,FMZ025,FMZ026,FMZ027,FMZ028,FMZ029,FMZ030,FMZ031,FMZ032,FMZ033,FMZ034,FMZ035,FMZ036,FMZ037,FMZ038,FMZ039,FMZ040,FMZ041,FMZ042,FMZ043,FMZ044,FMZ045,FMZ046
"G0100210","2000","US","3","6","Alabama","01","Chilton","021",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,"1797396705","17552968","Chilton County","A","+32852554","-086689982","06",,,39593,1152,38441,34330,4200,111,72,6,599,275,1450,1507,1472,898,534,272,217,773,1394,1351,1521,1523,1359,1272,1045,371,513,310,418,584,418,228,151,1284,1331,1424,799,479,250,267,807,1362,1376,1456,1499,1352,1272,1121,386,559,345,526,686,591,435,405
"G0100230","2000","US","3","6","Alabama","01","Choctaw","023",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,"2365990097","18999051","Choctaw County","A","+32027681","-088257855","06",,,15922,107,15815,8779,7027,25,7,0,17,67,548,549,590,379,195,70,95,231,443,427,529,561,519,520,490,178,239,124,169,239,191,92,111,555,525,613,389,198,111,88,268,520,513,587,588,589,583,488,174,238,147,232,351,285,178,213
"G0100250","2000","US","3","6","Alabama","01","Clarke","025",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,"3207377186","36596298","Clarke County","A","+31688155","-087834164","06",,,27867,180,27687,15589,11989,62,45,1,45,136,1020,1110,1142,714,391,162,140,428,766,822,963,1022,882,820,701,255,363,206,296,402,252,189,134,1060,1083,1049,633,424,172,156,494,973,968,1085,1069,928,845,781,298,384,246,369,517,430,368,355
"G0100270","2000","US","3","6","Alabama","01","Clay","027",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,"1567134311","2403035","Clay County","A","+33265810","-085842858","06",,,14254,253,14001,11776,2238,45,14,3,66,112,472,467,486,350,189,81,89,230,454,468,524,505,478,463,381,144,213,118,189,252,180,110,109,405,454,493,270,168,83,75,232,444,446,525,535,463,483,420,169,236,139,197,324,266,233,242
"G0100290","2000","US","3","6","Alabama","01","Cleburne","029",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,"1450940300","2089814","Cleburne County","A","+33647948","-085511937","06",,,14123,198,13925,13380,523,42,20,1,48,109,477,488,537,289,205,83,90,228,478,491,570,514,534,477,429,172,166,118,187,197,152,95,60,390,509,445,300,172,78,80,221,440,514,536,482,492,506,423,155,219,143,180,281,192,188,140
"G0100310","2000","US","3","6","Alabama","01","Coffee","031",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,"1758576346","3854683","Coffee County","A","+31378987","-085956841","06",,,43615,1183,42432,33631,8013,396,414,41,390,730,1385,1518,1667,1011,568,269,257,903,1557,1358,1648,1575,1492,1501,1127,360,596,352,518,676,513,270,182,1333,1429,1517,946,590,229,221,833,1340,1412,1595,1759,1603,1496,1234,465,650,368,597,853,787,475,580
"G0100330","2000","US","3","6","Alabama","01","Colbert","033",,,,,"0",,,,,,,,,,,,,"2650","99","N","9999","9999","9",,,,,,,,"1539831753","75305160","Colbert County","A","+34731480","-087725960","06",,,54984,618,54366,44825,9137,205,131,12,187,487,1726,1880,1924,1158,691,320,290,877,1669,1767,1973,2070,1869,1824,1486,560,760,481,657,946,686,438,259,1632,1848,1811,1098,698,336,316,930,1721,1828,2081,2162,2020,1946,1747,582,891,514,755,1219,1091,750,697
"G0100350","2000","US","3","6","Alabama","01","Conecuh","035",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,"2203546316","4436364","Conecuh County","A","+31415613","-087002108","06",,,14089,102,13987,7806,6136,28,16,7,12,84,448,560,534,350,185,84,85,197,396,383,455,475,439,480,385,124,189,97,169,282,176,93,81,427,513,510,306,181,96,84,253,412,459,524,529,556,497,406,142,202,134,202,318,267,192,212
"G0100370","2000","US","3","6","Alabama","01","Coosa","037",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,"1689820597","36039382","Coosa County","A","+32955511","-086236319","06",,,12202,158,12044,7802,4172,39,5,1,76,107,375,438,464,243,165,88,73,244,409,479,526,486,480,376,336,113,164,103,149,212,175,70,64,384,359,381,247,166,76,57,178,375,385,427,457,410,423,340,129,188,108,175,261,178,137,129
"G0100390","2000","US","3","6","Alabama","01","Covington","039",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,"2677571159","26020615","Covington County","A","+31251036","-086416195","06",,,37631,292,37339,32436,4648,181,65,5,63,233,1141,1262,1317,805,486,257,189,554,1068,1139,1319,1393,1250,1218,993,405,519,361,524,685,552,332,223,1082,1200,1276,777,503,229,222,603,1033,1126,1315,1443,1315,1277,1102,411,662,437,571,901,823,671,660
"G0100410","2000","US","3","6","Alabama","01","Crenshaw","041",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,"1578805448","3354388","Crenshaw County","A","+31710365","-086289299","06",,,13665,87,13578,10088,3388,51,15,1,27,95,414,507,534,322,170,64,85,216,401,345,462,501,443,443,383,96,163,133,157,236,195,104,90,389,464,451,291,170,86,80,215,447,430,524,488,499,505,353,155,231,119,206,315,325,237,221
"G0100430","2000","US","3","6","Alabama","01","Cullman","043",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,"1912519740","42457211","Cullman County","A","+34155603","-086830179","06",,,77483,1688,75795,75011,743,290,140,27,477,795,2564,2666,2764,1746,1092,539,474,1399,2596,2688,3007,2922,2674,2534,2061,784,1039,656,872,1305,925,552,355,2379,2500,2579,1592,1017,487,459,1364,2502,2511,2837,2899,2663,2621,2211,840,1131,729,1014,1632,1419,953,930
"G0100450","2000","US","3","6","Alabama","01","Dale","045",,,,,"0",,,,,,,,,,,,,"2180","99","N","9999","9999","9",,,,,,,,"1453174505","4146470","Dale County","A","+31394100","-085615013","06",,,49129,1642,47487,36541,10002,297,529,72,634,1054,1875,1985,1827,1088,741,357,300,981,2074,1736,1914,1871,1575,1519,1140,399,548,383,476,674,488,256,149,1811,1709,1686,1066,725,317,289,991,1758,1780,1876,1872,1625,1469,1256,487,675,382,578,824,656,439,502
"G0100470","2000","US","3","6","Alabama","01","Dallas","047",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,"2540033739","32793461","Dallas County","A","+32379942","-087065563","06",,,46365,290,46075,16496,29332,50,160,5,67,255,1693,1784,1914,1215,772,306,268,731,1181,1149,1438,1593,1451,1313,1004,388,525,318,427,662,459,314,187,1722,1795,1922,1208,769,326,305,903,1561,1491,1818,1924,1688,1482,1177,461,660,399,628,988,847,592,607
"G0100490","2000","US","3","6","Alabama","01","DeKalb","049",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,"2014784830","1908435","DeKalb County","A","+34459133","-085798919","06",,,64452,3578,60874,59652,1083,518,124,36,1998,1041,2224,2391,2221,1347,923,454,394,1281,2364,2319,2378,2438,2133,2108,1660,550,773,505,712,984,679,400,270,2155,2197,2048,1316,841,439,394,1202,2180,2250,2403,2441,2177,2192,1760,618,999,576,822,1242,1070,809,813
"G0100510","2000","US","3","6","Alabama","01","Elmore","051",,,,,"0",,,,,,,,,,,,,"5240","99","N","9999","9999","9",,,,,,,,"1609044562","93127438","Elmore County","A","+32596847","-086170765","06",,,65874,805,65069,50737,13597,286,238,18,313,685,2220,2464,2524,1503,912,481,454,1445,2565,2537,2993,2754,2418,2211,1614,538,794,443,586,761,575,347,203,2150,2337,2358,1368,760,347,352,1037,2351,2463,2792,2674,2388,2137,1534,548,780,462,654,973,832,589,646
"G0100530","2000","US","3","6","Alabama","01","Escambia","053",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,"2453710209","14424173","Escambia County","A","+31104135","-087232880","06",,,38440,379,38061,24754,11837,1157,94,10,154,434,1187,1372,1353,785,619,284,312,878,1475,1410,1545,1684,1394,1253,971,378,520,278,409,544,383,246,195,1203,1290,1261,819,527,222,219,656,1202,1099,1307,1378,1340,1214,1109,395,543,321,501,740,671,473,475
"G0100550","2000","US","3","6","Alabama","01","Etowah","055",,,,,"0",,,,,,,,,,,,,"2880","99","N","9999","9999","9",,,,,,,,"1385183532","36080591","Etowah County","A","+34018597","-086032125","06",,,103459,1763,101696,85737,15191,345,432,36,755,963,3382,3460,3575,2231,1419,696,621,1792,3297,3371,3453,3746,3582,3564,2623,920,1301,829,1117,1844,1417,787,479,3229,3245,3355,2177,1316,657,623,1864,3417,3393,3653,3981,3793,3643,2896,1100,1524,983,1517,2483,2184,1627,1293
"G0100570","2000","US","3","6","Alabama","01","Fayette","057",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,"1625632174","4354945","Fayette County","A","+33747077","-087751725","06",,,18495,152,18343,16075,2207,38,28,2,50,95,577,622,644,443,276,122,105,286,558,562,651,644,666,620,542,204,273,161,209,318,218,124,110,536,579,616,407,224,93,103,307,584,570,659,677,669,641,551,202,306,166,271,417,373,286,323
"G0100590","2000","US","3","6","Alabama","01","Franklin","059",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,"1646312169","28139961","Franklin County","A","+34465405","-087832638","06",,,31223,2316,28907,28001,1314,103,34,31,1441,299,999,1109,1151,719,433,220,231,649,1155,1065,1156,1084,1007,952,806,279,453,295,364,490,381,185,146,984,1071,1005,607,419,189,178,569,1040,1023,1127,1101,1099,1000,873,338,495,310,451,659,544,418,394
"G0100610","2000","US","3","6","Alabama","01","Geneva","061",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,"1492559453","6793742","Geneva County","A","+31094579","-085796983","06",,,25764,453,25311,22442,2743,197,32,6,159,185,738,894,1021,599,333,159,133,396,745,815,935,908,887,863,763,256,384,228,331,460,337,217,127,699,774,907,551,290,130,117,382,766,847,930,971,916,895,799,321,437,245,360,615,481,376,426
"G0100630","2000","US","3","6","Alabama","01","Greene","063",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,"1672782673","36438301","Greene County","A","+32837254","-087950852","06",,,9974,58,9916,1904,8013,12,8,0,10,27,406,439,437,281,165,63,58,135,223,230,279,341,374,247,219,81,109,79,94,174,120,59,68,364,391,340,253,174,54,55,182,309,306,380,431,388,316,245,105,124,77,131,226,146,113,183
"G0100650","2000","US","3","6","Alabama","01","Hale","065",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,"1667267304","32984565","Hale County","A","+32768094","-087635687","06",,,17185,157,17028,6844,10131,30,27,4,50,99,699,707,757,438,264,118,88,284,480,441,593,575,567,507,385,124,161,111,180,242,179,125,85,709,669,696,412,269,127,102,314,563,585,676,678,589,502,408,163,219,133,185,339,277,206,254
"G0100670","2000","US","3","6","Alabama","01","Henry","067",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,"1455045371","16913484","Henry County","A","+31493511","-085253760","06",,,16310,249,16061,10710,5268,34,10,4,163,121,541,518,561,400,220,96,100,264,460,526,496,565,580,577,446,139,231,126,164,324,195,128,97,478,547,545,335,225,121,83,264,488,511,549,595,651,613,508,140,269,155,242,379,320,260,278
"G0100690","2000","US","3","6","Alabama","01","Houston","069",,,,,"0",,,,,,,,,,,,,"2180","99","N","9999","9999","9",,,,,,,,"1503124582","3351697","Houston County","A","+31189731","-085350387","06",,,88787,1122,87665,64886,21840,329,551,14,347,820,3085,3217,3419,1986,1106,531,488,1453,2708,2792,3329,3356,3050,2848,2253,683,1079,652,925,1331,928,565,386,2952,3096,3242,1989,1059,554,469,1647,3048,3148,3564,3565,3405,2981,2466,851,1206,781,1106,1779,1514,1092,1103
"G0100710","2000","US","3","6","Alabama","01","Jackson","071",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,"2793932065","124376317","Jackson County","A","+34755318","-085948462","06",,,53926,610,53316,49552,2019,946,124,13,195,1077,1745,1855,1880,1208,668,355,290,917,1837,1874,1938,2056,1885,1845,1575,597,775,468,610,831,541,319,212,1642,1789,1775,1142,668,314,312,967,1840,1853,2034,2054,2016,1929,1654,561,866,555,691,1031,831,583,538
"G0100730","2000","US","3","6","Alabama","01","Jefferson","073",,,,,"0",,,,,,,,,,,,,"1000","99","N","9999","9999","9",,,,,,,,"2881639146","28998564","Jefferson County","A","+33527872","-086828050","06",,,662047,10284,651763,384639,260608,1408,5971,188,3907,5326,22154,23482,24172,14232,8794,4440,4332,13017,23050,22130,24033,25060,23591,19849,14276,4795,6419,4028,5931,9510,7456,4435,2903,21127,22327,22894,13852,9197,4649,4634,14508,24349,23336,26559,28021,26282,21747,16331,5787,8336,5329,8052,13862,11915,8242,8622
"G0100750","2000","US","3","6","Alabama","01","Lamar","075",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,"1566546589","1600546","Lamar County","A","+33772995","-088084702","06",,,15904,207,15697,13816,1906,18,10,0,73,81,457,474,603,360,232,108,92,277,502,515,581,608,521,515,416,156,252,165,181,278,151,127,109,469,543,498,346,210,100,89,272,513,522,587,583,517,558,456,187,257,163,225,350,308,234,237
"G0100770","2000","US","3","6","Alabama","01","Lauderdale","077",,,,,"0",,,,,,,,,,,,,"2650","99","N","9999","9999","9",,,,,,,,"1733895504","127745460","Lauderdale County","A","+34876890","-087605700","06",,,87966,894,87072,77743,8663,223,308,17,316,696,2662,2811,3043,1838,1308,630,676,1725,2749,2890,3104,3178,3080,2733,2365,801,1148,755,968,1478,1105,619,415,2555,2806,2867,1685,1383,769,700,1711,2894,2891,3359,3461,3192,3014,2457,917,1323,823,1234,1897,1657,1235,1055
"G0100790","2000","US","3","6","Alabama","01","Lawrence","079",,,,,"0",,,,,,,,,,,,,"2030","99","N","9999","9999","9",,,,,,,,"1795852273","63932890","Lawrence County","A","+34554375","-087302184","06",,,34803,367,34436,27067,4648,1865,35,3,114,1071,1134,1323,1378,813,487,199,217,595,1102,1347,1435,1252,1182,1151,956,355,430,240,372,477,320,187,114,1067,1233,1250,742,428,215,182,601,1174,1348,1481,1354,1198,1157,1025,338,459,289,413,596,502,357,328
"G0100810","2000","US","3","6","Alabama","01","Lee","081",,,,,"0",,,,,,,,,,,,,"0580","99","N","9999","9999","9",,,,,,,,"1576552257","17723094","Lee County","A","+32607485","-085328947","06",,,115092,1645,113447,85247,26071,273,1875,25,532,1069,3583,3889,3908,2180,3491,2391,2321,5046,4595,3868,3913,3722,3262,2971,2157,682,924,603,790,986,693,409,246,3612,3766,3695,2169,3927,2426,2320,4211,4329,3853,4093,3944,3501,2945,2254,757,1050,652,917,1373,1100,789,779
"G0100830","2000","US","3","6","Alabama","01","Limestone","083",,,,,"0",,,,,,,,,,,,,"3440","99","N","9999","9999","9",,,,,,,,"1471241120","101090592","Limestone County","A","+34807445","-086974946","06",,,65676,1740,63936,55029,8752,304,231,14,747,599,2249,2346,2419,1428,822,443,472,1360,2437,2764,3105,2913,2363,2157,1710,579,777,505,641,772,586,300,186,2100,2292,2209,1298,763,383,344,1200,2109,2478,2721,2548,2303,2215,1665,598,835,495,711,1055,859,607,554
"G0100850","2000","US","3","6","Alabama","01","Lowndes","085",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,"1859446869","18376863","Lowndes County","A","+32171280","-086659917","06",,,13473,85,13388,3484,9885,15,16,3,16,54,460,532,654,394,216,85,77,197,354,368,456,474,437,345,280,117,161,114,114,184,135,75,73,544,515,616,353,220,104,93,235,408,490,566,532,466,409,353,115,201,115,167,228,176,118,147
"G0100870","2000","US","3","6","Alabama","01","Macon","087",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,"1581247720","7042123","Macon County","A","+32421555","-085721158","06",,,24105,173,23932,3365,20403,39,91,1,31,175,784,889,869,508,640,288,287,607,639,536,619,734,709,664,527,176,237,162,221,324,312,200,143,781,825,932,493,797,427,391,625,787,679,736,793,876,745,627,202,309,191,253,487,450,312,312
"G0100890","2000","US","3","6","Alabama","01","Madison","089",,,,,"0",,,,,,,,,,,,,"3440","99","N","9999","9999","9",,,,,,,,"2084739506","20532503","Madison County","A","+34730790","-086588226","06",,,276700,5226,271474,199401,63025,2129,5140,158,1629,5218,9587,10397,10435,5860,4253,1856,1785,5029,8795,9761,12300,11971,9731,8438,6558,2340,3271,2000,2754,3393,2404,1368,733,9213,9797,9863,5635,4098,1979,1855,5121,9265,10308,12848,11930,10044,9003,7177,2580,3602,2364,3019,4275,3479,2248,1978
"G0100910","2000","US","3","6","Alabama","01","Marengo","091",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,"2530533970","15034262","Marengo County","A","+32331745","-087788789","06",,,22539,219,22320,10657,11655,19,41,3,57,107,774,945,1020,561,307,128,132,323,592,574,724,765,737,665,562,186,290,186,224,355,244,157,118,750,907,882,583,305,135,115,368,705,749,858,889,803,744,596,246,332,224,305,474,383,287,330
"G0100930","2000","US","3","6","Alabama","01","Marion","093",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,"1920255331","5586055","Marion County","A","+34116331","-087878737","06",,,31214,360,30854,29579,1134,91,62,10,121,217,1017,980,1052,611,415,195,179,531,1088,1079,1255,1136,1093,1079,952,343,480,281,361,537,381,227,179,859,923,1008,588,390,192,150,517,965,1024,1097,1152,998,1073,971,347,541,310,427,720,580,471,460
"G0100950","2000","US","3","6","Alabama","01","Marshall","095",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,"1468677998","145303458","Marshall County","A","+34329598","-086288884","06",,,82231,4656,77575,76791,1207,433,201,36,2663,900,2796,3065,2857,1773,1098,558,471,1428,2838,2847,3171,3113,2677,2505,2197,767,1113,668,970,1342,872,535,350,2707,2803,2742,1694,1001,500,493,1430,2793,2792,3185,3097,2855,2679,2394,896,1179,829,1125,1683,1392,1034,917
"G0100970","2000","US","3","6","Alabama","01","Mobile","097",,,,,"0",,,,,,,,,,,,,"5160","99","N","9999","9999","9",,,,,,,,"3193690623","1064308706","Mobile County","A","+30722256","-088139667","06",,,399843,4887,394956,252199,133465,2682,5628,101,1600,4168,15091,15913,15710,9326,5925,2732,2634,7892,12992,12575,14357,15084,13435,11925,9000,3043,4341,2528,3572,5205,4001,2274,1489,14243,15262,15219,9117,6136,2981,3037,8656,13894,13795,15665,16251,14235,12875,10165,3564,4854,2971,4409,7350,6218,4075,3827
"G0100990","2000","US","3","6","Alabama","01","Monroe","099",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,"2656951618","22457590","Monroe County","A","+31555656","-087359637","06",,,24324,190,24134,14047,9747,236,70,2,31,191,912,993,949,638,359,167,109,381,687,739,815,859,799,730,594,208,286,177,259,363,264,159,129,915,928,956,592,353,154,153,414,802,802,891,918,922,739,642,250,305,184,329,449,388,318,344
"G0101010","2000","US","3","6","Alabama","01","Montgomery","101",,,,,"0",,,,,,,,,,,,,"5240","99","N","9999","9999","9",,,,,,,,"2045477293","25880189","Montgomery County","A","+32331872","-086260844","06",,,223510,2665,220845,109180,108583,568,2217,72,787,2103,7837,8179,8450,4889,3933,2303,1884,5141,8290,7459,8353,7951,7078,6477,4607,1523,2053,1325,1984,2633,1999,1238,773,7635,8136,7848,4672,3763,2009,1877,5351,8712,7962,8877,8983,8250,6995,5278,1831,2617,1686,2450,3817,3532,2401,2469
"G0101030","2000","US","3","6","Alabama","01","Morgan","103",,,,,"0",,,,,,,,,,,,,"2030","99","N","9999","9999","9",,,,,,,,"1507925725","43627686","Morgan County","A","+34507018","-086918920","06",,,111064,3645,107419,94485,12485,747,495,75,1391,1386,3697,4099,4132,2458,1486,693,645,1952,3702,3902,4660,4547,4055,3681,2960,946,1323,824,1086,1516,1077,644,366,3620,3893,3987,2258,1297,649,622,2028,3526,4016,4593,4460,4094,3856,3012,1050,1457,903,1370,2040,1609,1236,1037
"G0101050","2000","US","3","6","Alabama","01","Perry","105",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,"1863454321","11896118","Perry County","A","+32613284","-087334017","06",,,11861,102,11759,3660,8111,9,4,3,10,64,440,479,464,369,244,90,76,193,255,287,329,374,301,304,250,99,159,101,139,180,108,80,89,463,503,524,295,257,108,92,255,419,325,418,390,379,338,313,109,198,103,142,256,203,167,194
