GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,CTY_SUBA,COUSUBCC,PLACEA,PLACECC,PLACEDC,TRACTA,TRBL_CTA,BLCK_GRPA,TRBL_BGA,C_CITYA,AIANHHA,RES_ONLYA,TRUSTA,AIANHHCC,AITSCE,TRBL_SUBA,ANRCA,MSA_CMSAA,CMSA,MACCI,PMSAA,NECMAA,NECMACCI,URB_AREAA,UATYPE,URBRURALA,CD106A,CD108A,CD109A,ZIP3A,ZCTAA,AREALAND,AREAWATR,NAME,FUNCSTAT,INTPTLAT,INTPLON,LSADC,MACC,UACP,GKT001,GKT002,GKT003,GKT004,GKT005,GKT006,GKT007,GKT008,GKT009,GKT010,GKT011,GKT012,GKT013,GKT014,GKT015,GKT016,GKT017,GKT018,GKT019,GKT020,GKT021,GKT022,GKT023,GKT024,GKT025,GKT026,GKT027,GKT028,GKT029,GKT030,GKT031,GKT032,GLD001
"G0100010","2000","US","3","6","Alabama","01","Autauga","001",,,,,"0",,,,,,,,,,,,,"5240","99","N","9999","9999","9",,,,,,,,,"1543550050","21959029","Autauga County","A","+32523283","-086577176","06",,,72,89,166,359,500,515,604,499,4095,821,1961,630,1713,759,136,90,124,49,202,527,528,580,532,526,5237,1232,2010,759,1532,570,140,32,16126
"G0100030","2000","US","3","6","Alabama","01","Baldwin","003",,,,,"0",,,,,,,,,,,,,"5160","99","N","9999","9999","9",,,,,,,,,"4134518782","1115203109","Baldwin County","A","+30592781","-087748260","06",,,288,161,580,1202,1308,1672,1576,1800,13020,2900,7800,2385,7348,2397,1044,502,302,169,404,1091,1510,1655,1653,1887,15408,3558,8198,3337,6877,3285,509,184,50851
"G0100050","2000","US","3","6","Alabama","01","Barbour","005",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"2291889572","50799584","Barbour County","A","+31856515","-085331312","06",,,200,168,232,550,464,550,576,674,3064,574,1048,496,731,130,78,12,276,121,341,554,538,496,485,454,3060,622,891,394,631,410,64,12,12872
"G0100070","2000","US","3","6","Alabama","01","Bibb","007",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"1613627425","8124469","Bibb County","A","+33040054","-087123243","06",,,169,94,271,464,460,424,372,441,2465,332,775,272,242,94,51,15,92,43,213,437,402,491,276,335,2373,386,580,411,309,228,16,7,9505
"G0100090","2000","US","3","6","Alabama","01","Blount","009",,,,,"0",,,,,,,,,,,,,"1000","99","N","9999","9999","9",,,,,,,,,"1672057889","12998871","Blount County","A","+33978461","-086554768","06",,,362,166,740,821,827,975,714,650,5812,1092,2056,781,976,338,132,44,164,142,532,799,868,1011,714,475,6324,1240,1888,1314,996,555,115,79,22201
"G0100110","2000","US","3","6","Alabama","01","Bullock","011",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"1618775183","2703063","Bullock County","A","+32098285","-085704915","06",,,79,58,143,285,209,376,268,263,1396,181,352,102,185,68,23,6,64,59,154,303,116,189,240,186,1271,264,306,120,145,140,13,6,4986
"G0100130","2000","US","3","6","Alabama","01","Butler","013",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"2012076972","2732130","Butler County","A","+31735884","-086662232","06",,,124,106,251,406,318,326,236,303,2211,360,612,269,480,73,104,10,120,80,248,412,378,459,398,274,2538,580,983,342,535,184,38,9,11372
"G0100150","2000","US","3","6","Alabama","01","Calhoun","015",,,,,"0",,,,,,,,,,,,,"0450","99","N","9999","9999","9",,,,,,,,,"1575907564","9996496","Calhoun County","A","+33741989","-085817544","06",,,368,183,580,1626,1510,1678,1460,1175,10808,2053,5545,1903,3368,1354,580,323,366,255,885,1895,1964,2117,1819,1437,13048,2741,5472,1862,3244,1978,248,170,50420
"G0100170","2000","US","3","6","Alabama","01","Chambers","017",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"1546657021","15382288","Chambers County","A","+32891233","-085288745","06",,,232,102,323,641,681,779,567,561,3709,706,1161,467,789,275,67,51,259,149,528,823,811,824,902,596,4154,1036,1500,647,764,306,73,14,17345
"G0100190","2000","US","3","6","Alabama","01","Cherokee","019",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"1432576264","121290944","Cherokee County","A","+34184158","-085621930","06",,,223,95,279,538,486,514,436,417,2840,393,824,273,494,231,86,0,149,81,280,677,533,591,460,379,3025,567,693,436,434,306,65,20,10933
"G0100210","2000","US","3","6","Alabama","01","Chilton","021",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"1797396705","17552968","Chilton County","A","+32852554","-086689982","06",,,169,144,432,882,734,860,611,607,4422,716,1276,449,693,308,99,82,190,105,458,765,797,792,677,534,4842,863,1387,616,837,405,91,59,17439
