,Name,Address,City,State,Zip
1,"Chicago Treatment and Counseling Center, Inc.",4453 North Broadway st.,Chicago,IL,60640
2,"Sundace Methadone Treatment Center, LLC",4545 North Broadway St.,Chicago,IL,60640
3,Soft Landing Interventions/DBA Symetria Recovery of Lakeview,3934 N. Lincoln Ave.,Chicago,IL,60613
4,"PDSSC - Chicago, Inc.",2260 N. Elston Ave.,Chicago,IL,60614
5,"Center for Addictive Problems, Inc.",609 N. Wells St.,Chicago,IL,60654
6,"Family Guidance Centers, Inc.",310 W. Chicago Ave.,Chicago,IL,60654
7,A Rincon Family Services,3809 W. Grand Ave.,Chicago,IL,60651
8,*,140 N. Ashland Ave.,Chicago,IL,60607
9,"Healthcare Alternative Systems, Inc./NEXA ",210 N. Ashland Ave.,Chicago,IL,60607
10,"Specialized Assistance Services, NFP",2630 S. Wabash Ave.,Chicago,IL,60616
11,Garfield Counseling Center Full Service Program,4132 W. Madison St.,Chicago,IL,60624
12,"Chicago Treatment and Counseling Center, Inc.",3520 S. Ashland Ave.,Chicago,IL,60609
13,Cermack Health Services of Cook County,2800 S. California Ave.,Chicago,IL,60608
14,"Pilsen Wellness Center, Inc.",3113 W. Cermak Rd.,Chicago,IL,60623
15,HRDI- Grand Boulevard Professional Counseling Center,340 E. 51st St.,Chicago,IL,60615
16,Katherine Boone Robinson Foundation,4100 W. Ogden Ave.,Chicago,IL,60623
17,New Age Services Corporation,1330 S. Kostner Ave.,Chicago,IL,60623
18,Cornell Interventions Southwood-Adult,5701 S. Wood St.,Chicago,IL,60636
19,"Family Guidance Centers, Inc. at St. Bernard Hospital",326 W. 64th st.,Chicago,IL,60621
20,"Ijegba Community, Inc.",1950 E 75th St.,Chicago,IL,60649
21,"Eva Mae Recovery Hope, Inc.",6614 S Halsted St.,Chicago,IL,60621
22,"Nuway Community Services, Inc.",110 E. 79th St.,Chicago,IL,60619
23,H.R.D.I- Professional Counseling Services,8000 S. Racine Ave.,Chicago,IL,60620
24,*,936 E. 93rd St.,Chicago,IL,60619
25,"FOLA Community Action Services, Inc.",8014 S. Ashland Ave.,Chicago,IL,60620
26,New Hope Community Service Center,2559 W. 79th St.,Chicago,IL,60652
27,H.R.D.I. West Pullman Professional Counseling Services,33 E 114th St.,Chicago,IL,60628
