GISJOIN,YEAR,STUSAB,ANRCA,AIANHHA,RES_ONLYA,TRUSTA,AIANCC,RES_TRSTA,BLOCKA,BLCK_GRPA,TRACTA,CD101A,C_CITYA,CMSA,COUNTY,COUNTYA,CTY_SUBA,COUSUBCC,DIVISIONA,MSA_CMSAA,PLACEA,PLACECC,PLACEDC,PMSAA,REGIONA,STATE,STATEA,URBRURALA,URB_AREAA,CD103A,AREALAND,AREAWAT,ANPSADPI,FUNCSTAT,INTPTLAT,INTPTLNG,PSADC,ET1001,EUZ001,EUZ002,EUZ003,EUZ004,EUZ005,EUZ006,EUZ007,EUZ008,EUZ009,EUZ010,EUZ011,EUZ012,EUZ013,EUZ014,EUZ015,EUZ016,EUZ017,EUZ018,EUZ019,EUZ020,EUZ021,EUZ022,EUZ023,EUZ024,EUZ025,EU1001,EU1002,EU1003,EU1004,EU1005,ET3001,ET3002,ET3003,ET3004,ET3005,ET3006,ET3007,ET3008,ET3009,ET3010,ET3011,ET3012,ET3013,ET3014,ET3015,ET3016,ET3017,ET3018,ET3019,ET3020,ET3021,ET3022,ET3023,ET3024,ET3025,ET3026,ET3027,ET3028,ET3029,ET3030,ET3031
"G0100250","1990","AL",,,,,,,,,,,,"99","Clarke","025",,,"6","9999",,,,"9999","3","Alabama","01",,,,"0003207659","0000036584","Clarke County","A","+31677523","-087835981","06",27240,15527,11625,45,0,0,0,2,11,16,4,0,0,0,0,0,1,1,0,0,0,0,0,0,0,8,27137,47,4,2,50,343,832,773,416,414,1445,970,966,503,476,515,502,501,462,399,369,1090,1960,2021,1819,1691,1516,1351,1216,441,672,1031,902,775,507,362
"G0100270","1990","AL",,,,,,,,,,,,"99","Clay","027",,,"6","9999",,,,"9999","3","Alabama","01",,,,"0001567273","0000002403","Clay County","A","+33268721","-085859858","06",13252,11044,2166,22,0,1,0,0,2,7,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,6,13225,13,1,0,13,134,353,301,189,164,565,393,393,171,215,221,219,204,197,188,179,546,931,945,836,871,783,703,651,253,415,584,554,496,334,264
"G0100290","1990","AL",,,,,,,,,,,,"99","Cleburne","029",,,"6","9999",,,,"9999","3","Alabama","01",,,,"0001450928","0000002226","Cleburne County","A","+33670870","-085517385","06",12730,12084,587,19,1,0,0,2,8,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,26,12692,33,5,0,0,137,386,331,192,163,561,365,397,177,197,196,210,180,228,158,178,556,969,954,890,876,836,662,608,265,353,496,482,344,207,176
"G0100310","1990","AL",,,,,,,,,,,,"99","Coffee","031",,,"6","9999",,,,"9999","3","Alabama","01",,,,"0001759093","0000003449","Coffee County","A","+31402888","-085989130","06",40240,32702,6917,161,2,0,16,23,32,9,156,25,0,0,0,16,16,18,1,0,0,5,0,0,0,141,39769,164,139,32,136,488,1110,1096,547,487,1715,1149,1167,633,654,610,671,627,629,545,504,1700,3235,3147,2967,2987,2401,2092,1961,736,1072,1689,1357,1076,683,505
"G0100330","1990","AL",,,,,,,,,,,,"99","Colbert","033",,,"6","2650",,,,"9999","3","Alabama","01",,,,"0001539948","0000075322","Colbert County","A","+34707296","-087796569","06",51666,42820,8568,137,0,0,16,3,12,37,12,10,0,0,0,1,2,0,0,0,0,0,0,0,0,48,51479,91,7,2,87,590,1396,1420,672,684,2093,1459,1441,681,675,705,732,704,774,730,663,2078,3833,3951,3710,3615,3214,2859,2738,1017,1644,2574,2082,1469,858,605
"G0100350","1990","AL",,,,,,,,,,,,"99","Conecuh","035",,,"6","9999",,,,"9999","3","Alabama","01",,,,"0002203757","0000004438","Conecuh County","A","+31428183","-086992999","06",14054,8063,5925,43,0,0,0,2,2,4,1,0,0,0,0,2,1,1,0,0,0,0,0,0,0,10,13972,32,4,0,46,162,406,375,209,215,664,532,440,212,241,234,228,199,210,190,159,485,925,1038,938,852,724,617,651,298,420,706,599,503,375,247
"G0100370","1990","AL",,,,,,,,,,,,"99","Coosa","037",,,"6","9999",,,,"9999","3","Alabama","01",,,,"0001689951","0000036041","Coosa County","A","+32935503","-086239249","06",11063,7242,3782,34,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11045,3,0,0,15,142,321,327,151,152,492,327,327,122,158,172,191,174,187,162,164,453,842,843,780,642,611,550,579,236,356,518,402,331,217,134
"G0100390","1990","AL",,,,,,,,,,,,"99","Covington","039",,,"6","9999",,,,"9999","3","Alabama","01",,,,"0002679941","0000023877","Covington County","A","+31248133","-086453162","06",36478,31551,4777,72,0,0,6,1,8,13,12,4,0,0,0,2,0,0,0,0,0,2,0,0,0,30,36348,60,6,3,61,429,967,924,517,519,1533,1102,1091,524,525,555,551,538,553,478,398,1304,2507,2647,2409,2391,2014,1901,1918,739,1143,1849,1632,1356,903,561
"G0100410","1990","AL",,,,,,,,,,,,"99","Crenshaw","041",,,"6","9999",,,,"9999","3","Alabama","01",,,,"0001578918","0000003345","Crenshaw County","A","+31731354","-086311599","06",13635,10048,3544,24,3,0,0,2,0,4,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,5,13605,16,1,3,10,135,384,377,193,173,626,413,454,207,208,240,234,198,204,166,132,501,903,914,883,899,744,623,645,263,420,730,638,535,337,256
"G0100430","1990","AL",,,,,,,,,,,,"99","Cullman","043",,,"6","9999",,,,"9999","3","Alabama","01",,,,"0001912664","0000042427","Cullman County","A","+34131670","-086866896","06",67613,66744,560,134,0,0,15,9,12,19,38,7,0,0,0,4,2,2,2,0,0,7,0,0,0,58,67341,153,35,5,79,757,1875,1831,995,936,2770,1958,1932,971,1048,976,963,1047,1072,984,908,2678,5086,5217,4752,4787,4033,3533,3333,1364,2033,3095,2468,2053,1280,878
"G0100450","1990","AL",,,,,,,,,,,,"99","Dale","045",,,"6","2180",,,,"9999","3","Alabama","01",,,,"0001453300","0000004134","Dale County","A","+31426115","-085612338","06",49633,39365,8847,234,5,0,23,90,105,15,273,20,6,0,1,29,82,42,18,0,1,26,0,0,0,451,48418,403,392,33,387,716,1810,1757,839,792,2254,1434,1436,728,696,695,719,814,925,867,868,3040,5424,4351,3471,3119,2459,2111,1893,767,989,1594,1121,846,609,489
"G0100470","1990","AL",,,,,,,,,,,,"99","Dallas","047",,,"6","9999",,,,"9999","3","Alabama","01",,,,"0002540256","0000032798","Dallas County","A","+32329593","-087109517","06",48130,20121,27825,41,0,0,10,1,10,52,9,1,22,6,4,1,9,0,0,0,0,4,0,0,0,14,47999,60,1,9,61,657,1666,1547,824,868,2584,1717,1759,834,895,854,900,884,855,692,587,1818,3389,3478,3210,2936,2291,2181,1983,800,1308,2008,1609,1418,850,728
"G0100490","1990","AL",,,,,,,,,,,,"99","DeKalb","049",,,"6","9999",,,,"9999","3","Alabama","01",,,,"0002014972","0000001898","DeKalb County","A","+34459830","-085798731","06",54651,52980,1028,480,1,0,6,18,19,13,6,1,0,0,0,1,6,6,0,0,0,1,0,0,0,85,54436,131,14,1,69,625,1377,1360,741,725,2338,1680,1672,786,836,918,849,787,841,833,660,2153,3969,4229,3925,3901,3289,2762,2756,1058,1573,2425,2059,1716,1083,725
"G0100510","1990","AL",,,,,,,,,,,,"99","Elmore","051",,,"6","5240",,,,"9999","3","Alabama","01",,,,"0001609888","0000092419","Elmore County","A","+32599910","-086138157","06",49210,37850,11039,134,3,0,3,25,15,15,16,4,0,0,19,17,6,7,2,0,0,0,0,0,0,55,48940,116,57,16,81,569,1399,1359,737,729,2100,1451,1433,730,776,746,763,734,820,727,739,2167,4132,4300,3942,3567,2809,2497,2219,786,1237,1838,1459,1158,739,548
"G0100530","1990","AL",,,,,,,,,,,,"99","Escambia","053",,,"6","9999",,,,"9999","3","Alabama","01",,,,"0002453958","0000014420","Escambia County","A","+31136909","-087162695","06",35518,24326,10046,1047,0,0,5,6,2,18,14,4,0,0,0,1,6,1,0,0,0,1,0,0,0,41,35349,57,26,0,86,403,960,943,516,506,1526,1101,1139,586,557,572,658,624,588,514,430,1358,2609,2810,2591,2384,2024,1840,1688,648,1013,1468,1232,1045,692,493
"G0100550","1990","AL",,,,,,,,,,,,"99","Etowah","055",,,"6","2880",,,,"9999","3","Alabama","01",,,,"0001385231","0000036177","Etowah County","A","+34047533","-086038250","06",99840,85274,13799,243,7,0,61,29,191,36,23,21,0,0,0,17,37,4,0,0,0,0,0,0,0,98,99509,174,23,15,119,973,2578,2422,1284,1316,4039,2966,2840,1417,1540,1590,1624,1530,1539,1486,1390,3739,6732,7439,7359,7183,5647,5090,4951,2064,3226,5130,4294,3281,1932,1239
"G0100570","1990","AL",,,,,,,,,,,,"99","Fayette","057",,,"6","9999",,,,"9999","3","Alabama","01",,,,"0001626038","0000004067","Fayette County","A","+33729772","-087735378","06",17962,15717,2190,9,0,0,0,4,6,0,6,1,0,0,0,0,1,1,0,0,0,0,0,0,0,27,17884,48,8,0,22,189,458,452,231,243,785,553,550,275,264,280,322,290,305,279,198,645,1211,1285,1285,1228,1040,961,855,314,534,845,708,614,479,284
"G0100590","1990","AL",,,,,,,,,,,,"99","Franklin","059",,,"6","9999",,,,"9999","3","Alabama","01",,,,"0001646417","0000028142","Franklin County","A","+34435932","-087843648","06",27814,26463,1249,57,0,0,0,24,0,0,0,4,0,0,0,0,5,0,0,0,0,2,0,0,0,10,27713,49,7,4,41,293,763,739,378,393,1110,821,819,365,394,411,418,391,443,386,356,1086,1947,2075,1949,1864,1654,1561,1466,549,880,1301,1099,905,556,442
"G0100610","1990","AL",,,,,,,,,,,,"99","Geneva","061",,,"6","9999",,,,"9999","3","Alabama","01",,,,"0001492831","0000006675","Geneva County","A","+31094395","-085837337","06",23647,20682,2824,91,2,0,0,1,3,1,5,1,0,0,0,2,2,0,0,0,0,0,0,0,0,33,23526,73,13,3,32,232,625,659,324,333,942,675,664,336,371,368,361,396,367,329,303,863,1594,1637,1590,1573,1389,1296,1208,488,760,1163,1004,868,570,359
"G0100630","1990","AL",,,,,,,,,,,,"99","Greene","063",,,"6","9999",,,,"9999","3","Alabama","01",,,,"0001673033","0000036331","Greene County","A","+32854779","-087951231","06",10153,1966,8181,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10129,6,0,0,18,162,315,310,183,164,642,422,387,192,189,213,163,175,143,137,115,321,652,725,706,501,434,414,439,153,306,393,363,342,282,210
"G0100650","1990","AL",,,,,,,,,,,,"99","Hale","065",,,"6","9999",,,,"9999","3","Alabama","01",,,,"0001667399","0000032997","Hale County","A","+32755765","-087625424","06",15498,6255,9214,20,0,0,0,1,1,1,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,15441,27,0,0,30,199,522,512,252,252,829,625,572,269,283,281,286,254,219,211,191,505,1078,1135,1082,816,703,673,602,264,412,703,581,503,384,300
"G0100670","1990","AL",,,,,,,,,,,,"99","Henry","067",,,"6","9999",,,,"9999","3","Alabama","01",,,,"0001455459","0000016634","Henry County","A","+31516095","-085239835","06",15374,9918,5395,30,1,0,0,1,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,24,15282,45,1,1,45,168,430,410,205,224,654,505,491,245,261,254,254,269,241,193,195,552,1014,1027,1116,1059,851,742,738,305,471,774,605,568,342,211
"G0100690","1990","AL",,,,,,,,,,,,"99","Houston","069",,,"6","2180",,,,"9999","3","Alabama","01",,,,"0001503260","0000003361","Houston County","A","+31151186","-085304578","06",81331,61513,18954,287,0,0,44,30,107,44,28,180,0,0,0,7,17,7,5,0,0,0,0,1,0,107,80867,148,51,28,237,987,2548,2450,1244,1199,3777,2627,2514,1201,1340,1251,1335,1231,1210,1107,1030,3124,6252,6769,6400,5760,4788,3813,3637,1388,2221,3287,2678,2003,1310,850
"G0100710","1990","AL",,,,,,,,,,,,"99","Jackson","071",,,"6","9999",,,,"9999","3","Alabama","01",,,,"0002794103","0000124361","Jackson County","A","+34776174","-086002129","06",47796,44696,1968,1019,0,1,5,14,13,29,10,0,0,0,0,3,12,1,0,0,0,3,0,0,0,22,47588,129,11,2,66,502,1267,1217,644,633,2022,1453,1492,735,803,755,791,794,683,690,610,1881,3516,3682,3605,3546,3086,2725,2452,882,1330,1986,1585,1269,703,457
"G0100730","1990","AL",,,,,,,,,,,,"99","Jefferson","073",,,"6","1000",,,,"9999","3","Alabama","01",,,,"0002881838","0000028997","Jefferson County","A","+33552433","-086896716","06",651525,418317,228521,853,18,18,916,221,200,794,405,263,29,0,2,67,277,29,6,0,0,7,1,2,3,576,648780,926,291,216,1312,7478,19069,18372,9167,9021,27722,18921,17970,8475,8801,8679,8913,8781,9762,9325,9095,27349,53425,55857,53309,46239,34818,29786,28764,12237,18718,29367,22795,18196,12008,9106
"G0100750","1990","AL",,,,,,,,,,,,"99","Lamar","075",,,"6","9999",,,,"9999","3","Alabama","01",,,,"0001566658","0000001600","Lamar County","A","+33775081","-088096415","06",15715,13805,1862,24,0,0,1,5,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,14,15644,29,3,0,39,176,420,403,214,197,641,470,490,231,232,268,248,273,226,230,194,599,1137,1127,1060,1076,913,837,798,311,474,682,607,517,397,267
"G0100770","1990","AL",,,,,,,,,,,,"99","Lauderdale","077",,,"6","2650",,,,"9999","3","Alabama","01",,,,"0001734061","0000127739","Lauderdale County","A","+34903733","-087647581","06",79661,71560,7695,163,1,1,48,14,14,54,28,7,0,0,0,3,14,9,0,0,0,2,0,2,1,45,79348,138,34,10,131,904,2128,2064,1064,1017,3247,2192,2121,1005,1102,1094,1143,1271,1465,1448,1328,3532,5895,6178,5807,5517,4740,4142,4007,1512,2364,3700,2966,2165,1525,1018
"G0100790","1990","AL",,,,,,,,,,,,"99","Lawrence","079",,,"6","2030",,,,"9999","3","Alabama","01",,,,"0001796023","0000063928","Lawrence County","A","+34519990","-087310217","06",31513,24563,4798,2124,0,0,0,6,3,2,1,4,0,0,0,2,1,0,0,0,0,0,0,0,0,9,31411,48,9,1,44,415,986,892,455,452,1392,968,1022,489,489,524,555,513,530,501,494,1443,2657,2401,2223,2096,1907,1602,1417,558,795,1223,968,798,436,312
"G0100810","1990","AL",,,,,,,,,,,,"99","Lee","081",,,"6","9999",,,,"9999","3","Alabama","01",,,,"0001576767","0000017672","Lee County","A","+32597367","-085355886","06",87146,64889,20407,122,4,6,528,78,57,323,167,70,1,1,259,25,61,2,2,0,0,10,0,0,0,134,86594,203,73,45,231,966,2301,2142,1024,1077,3128,2180,2036,1073,1063,1012,1086,2476,4138,4317,4246,7517,7200,6434,5765,5155,4106,3419,3083,1135,1616,2446,1910,1472,936,687
"G0100830","1990","AL",,,,,,,,,,,,"99","Limestone","083",,,"6","9999",,,,"9999","3","Alabama","01",,,,"0001471352","0000101097","Limestone County","A","+34810321","-086981426","06",54135,46658,7127,146,1,1,16,13,21,64,17,9,0,0,0,4,3,4,0,0,0,6,1,0,0,44,53874,127,26,5,103,601,1593,1497,791,757,2209,1513,1558,741,756,787,803,767,850,862,793,2504,5023,4838,4054,3957,3188,2807,2533,924,1308,1989,1544,1261,770,557
"G0100850","1990","AL",,,,,,,,,,,,"99","Lowndes","085",,,"6","9999",,,,"9999","3","Alabama","01",,,,"0001859626","0000018359","Lowndes County","A","+32157500","-086642632","06",12658,3185,9456,9,1,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12598,21,0,4,35,224,472,446,220,242,756,523,511,241,264,248,248,241,219,209,182,478,986,840,824,642,559,520,496,163,299,453,397,343,228,184
"G0100870","1990","AL",,,,,,,,,,,,"99","Macon","087",,,"6","9999",,,,"9999","3","Alabama","01",,,,"0001581388","0000007040","Macon County","A","+32384887","-085692573","06",24928,3443,21340,24,0,0,2,3,1,51,0,0,0,0,30,0,11,1,0,0,0,0,0,0,0,22,24825,19,15,1,68,315,791,688,353,337,1048,728,720,372,379,412,499,887,1000,714,645,1348,1587,1549,1545,1378,1108,851,859,391,597,1158,946,787,548,388
"G0100890","1990","AL",,,,,,,,,,,,"99","Madison","089",,,"6","3440",,,,"9999","3","Alabama","01",,,,"0002084844","0000020532","Madison County","A","+34760002","-086548777","06",238912,184197,48116,1583,12,6,903,258,330,1132,944,204,28,0,53,72,176,76,3,0,2,45,1,0,5,766,235928,1147,603,159,1075,3144,7429,6889,3418,3438,9794,6505,6078,2902,2966,3067,3125,3901,4261,4057,3563,11823,24547,23104,18660,16770,14005,12953,11814,3838,5471,7986,5439,3775,2406,1784
"G0100910","1990","AL",,,,,,,,,,,,"99","Marengo","091",,,"6","9999",,,,"9999","3","Alabama","01",,,,"0002530740","0000015033","Marengo County","A","+32248548","-087790375","06",23084,11314,11745,11,0,0,0,2,0,0,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,23009,34,8,3,30,304,737,759,344,390,1143,854,821,360,420,411,450,368,357,315,273,871,1570,1606,1578,1431,1194,1043,1078,411,626,959,821,669,518,403
"G0100930","1990","AL",,,,,,,,,,,,"99","Marion","093",,,"6","9999",,,,"9999","3","Alabama","01",,,,"0001920398","0000005583","Marion County","A","+34134472","-087886567","06",29830,28759,967,56,1,0,1,2,7,21,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,12,29765,34,3,1,27,328,790,769,377,394,1219,832,825,402,445,485,456,482,479,409,388,1287,2160,2112,2035,2124,1835,1694,1481,613,871,1323,1126,982,632,475
"G0100950","1990","AL",,,,,,,,,,,,"99","Marshall","095",,,"6","9999",,,,"9999","3","Alabama","01",,,,"0001468803","0000145314","Marshall County","A","+34365158","-086313058","06",70832,69361,1087,228,1,2,18,20,9,28,22,3,0,1,0,2,3,2,1,0,0,0,2,0,0,42,70543,136,40,6,107,754,1891,1938,981,930,2860,1974,2004,906,1054,1102,1072,1037,1074,976,917,2758,5381,5529,5184,4991,4367,3830,3746,1433,2192,3149,2617,2004,1311,870
"G0100970","1990","AL",,,,,,,,,,,,"99","Mobile","097",,,"6","5160",,,,"9999","3","Alabama","01",,,,"0003194402","0001063906","Mobile County","A","+30684350","-088198527","06",378643,254853,117872,1918,13,9,377,283,187,342,133,1185,325,0,234,35,244,37,2,0,0,8,0,0,6,580,375479,879,319,180,1786,4973,12538,12122,6065,5868,18383,12260,12194,5930,5929,5861,5910,5887,6089,6008,5607,15822,29936,31945,29201,25914,20712,17239,15727,6057,9811,15164,11458,8726,5429,3878
"G0100990","1990","AL",,,,,,,,,,,,"99","Monroe","099",,,"6","9999",,,,"9999","3","Alabama","01",,,,"0002657256","0000022404","Monroe County","A","+31562730","-087353102","06",23968,14320,9372,215,0,0,0,2,7,20,4,0,7,0,0,2,9,0,1,0,0,2,0,0,0,7,23874,47,2,8,37,311,769,789,415,362,1246,868,811,432,408,466,501,403,416,375,287,915,1699,1799,1710,1455,1294,1048,1026,401,613,928,767,695,412,347
"G0101010","1990","AL",,,,,,,,,,,,"99","Montgomery","101",,,"6","5240",,,,"9999","3","Alabama","01",,,,"0002045765","0000025733","Montgomery County","A","+32224349","-086203795","06",209085,119420,87312,387,6,21,212,205,137,279,227,72,0,0,188,99,84,19,2,0,0,9,0,0,0,406,207461,605,282,141,596,2753,6926,6440,3170,3118,9862,6593,6109,2862,3098,3125,3328,3665,4005,3562,3204,9238,17575,18007,16928,14401,10929,9089,8622,3225,4977,7958,6025,4755,3099,2437
"G0101030","1990","AL",,,,,,,,,,,,"99","Morgan","103",,,"6","2030",,,,"9999","3","Alabama","01",,,,"0001508018","0000043624","Morgan County","A","+34453298","-086857298","06",100043,89122,10081,307,2,1,46,53,39,147,36,15,2,0,5,9,15,1,0,0,0,2,0,0,0,160,99459,326,73,28,157,1253,2873,2785,1417,1433,4441,2969,3085,1406,1472,1410,1472,1414,1376,1336,1272,4004,8301,8636,7990,7434,6178,5263,4782,1694,2649,3779,3114,2316,1493,996
"G0101050","1990","AL",,,,,,,,,,,,"99","Perry","105",,,"6","9999",,,,"9999","3","Alabama","01",,,,"0001863600","0000011901","Perry County","A","+32638846","-087293685","06",12759,4503,8219,16,0,0,0,4,3,2,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,7,12723,11,1,1,23,176,411,389,219,202,652,478,472,240,243,258,262,309,386,284,182,445,745,788,729,641,555,601,533,191,346,525,458,414,364,261
"G0101070","1990","AL",,,,,,,,,,,,"99","Pickens","107",,,"6","9999",,,,"9999","3","Alabama","01",,,,"0002282979","0000022369","Pickens County","A","+33283797","-088084083","06",20699,12002,8645,24,0,0,1,1,8,10,1,0,0,0,0,0,2,1,3,0,0,0,0,0,0,1,20649,32,3,1,14,232,634,597,342,341,995,732,679,353,320,321,348,314,291,254,243,762,1356,1451,1323,1175,1021,1088,1053,420,660,957,840,697,518,382
"G0101090","1990","AL",,,,,,,,,,,,"99","Pike","109",,,"6","9999",,,,"9999","3","Alabama","01",,,,"0001738113","0000002751","Pike County","A","+31806086","-085938912","06",27595,17814,9548,144,2,0,13,6,10,21,15,0,0,0,0,0,2,0,1,0,0,0,0,0,0,19,27487,36,11,11,50,324,803,716,372,356,1145,787,746,355,402,410,450,727,988,950,832,1592,1877,1822,1667,1567,1390,1139,1081,454,611,1167,961,878,577,449
