GISJOIN,YEAR,STUSAB,ANRCA,AIANHHA,RES_ONLYA,TRUSTA,AIANCC,RES_TRSTA,BLCK_GRPA,TRACTA,CD101A,C_CITYA,CMSA,COUNTY,COUNTYA,CTY_SUBA,COUSUBCC,DIVISIONA,MSA_CMSAA,PLACEA,PLACECC,PLACEDC,PMSAA,REGIONA,STATE,STATEA,URBRURALA,URB_AREAA,ZIPA,CD103A,AREALAND,AREAWAT,ANPSADPI,FUNCSTAT,INTPTLAT,INTPTLNG,PSADC,E33001,E33002,E33003,E33004,E33005,E33006,E33007
"G0100010","1990","AL",,,,,,,,,,,"99","Autauga","001",,,"6","5240",,,,"9999","3","Alabama","01",,,,,"0001543666","0000021962","Autauga County","A","+32542207","-086641472","06",2438,3814,6671,3973,939,2064,962
"G0100030","1990","AL",,,,,,,,,,,"99","Baldwin","003",,,"6","5160",,,,"9999","3","Alabama","01",,,,,"0004135016","0001115118","Baldwin County","A","+30654881","-087754736","06",6386,10923,20544,12838,3062,7079,3791
"G0100050","1990","AL",,,,,,,,,,,"99","Barbour","005",,,"6","9999",,,,"9999","3","Alabama","01",,,,,"0002292133","0000050747","Barbour County","A","+31863073","-085388993","06",3403,3562,4258,1957,665,1230,627
"G0100070","1990","AL",,,,,,,,,,,"99","Bibb","007",,,"6","9999",,,,"9999","3","Alabama","01",,,,,"0001611914","0000008130","Bibb County","A","+32996943","-087126855","06",2122,2728,3407,1010,322,253,223
"G0100090","1990","AL",,,,,,,,,,,"99","Blount","009",,,"6","1000",,,,"9999","3","Alabama","01",,,,,"0001672287","0000012884","Blount County","A","+33979740","-086566214","06",4330,5630,8763,3650,1095,1152,621
"G0100110","1990","AL",,,,,,,,,,,"99","Bullock","011",,,"6","9999",,,,"9999","3","Alabama","01",,,,,"0001618915","0000002703","Bullock County","A","+32101773","-085717786","06",1608,1820,1669,708,246,416,260
"G0100130","1990","AL",,,,,,,,,,,"99","Butler","013",,,"6","9999",,,,"9999","3","Alabama","01",,,,,"0002012260","0000002724","Butler County","A","+31751982","-086682302","06",3074,3300,3927,1547,559,669,414
"G0100150","1990","AL",,,,,,,,,,,"99","Calhoun","015",,,"6","0450",,,,"9999","3","Alabama","01",,,,,"0001576038","0000009959","Calhoun County","A","+33774548","-085825619","06",9386,14247,21711,13097,3738,6584,3682
"G0100170","1990","AL",,,,,,,,,,,"99","Chambers","017",,,"6","9999",,,,"9999","3","Alabama","01",,,,,"0001547283","0000014885","Chambers County","A","+32915184","-085389802","06",4506,6327,6749,2844,1154,1382,719
"G0100190","1990","AL",,,,,,,,,,,"99","Cherokee","019",,,"6","9999",,,,"9999","3","Alabama","01",,,,,"0001432714","0000121285","Cherokee County","A","+34187088","-085605750","06",2683,3347,4092,1534,432,493,373
