Name1,Name2,Name3,Address1,Address2,Address3,City,State,ZIP_Code,Contact,Note,Keys
Indian Rivers Mental Health,,,,,,Northport,AL,35473,(205)391-0114,,SA/TX/RS/WN/SF/MD/PA/
Petersburg Mental Health Services Inc,P.O. Box 1309,,,,,Petersburg,AK,99833,(907)772-3332,,MH-SA/TX/OP/CO/WN/DU/SF/MD/SI/PI/MI/SS/
Upper Tanana Alcohol Program,Mile Post 123 Tok Cutoff,,,,,Tok,AK,99780,(907)883-5185 Intake: (800)478-5185,,SA/TX/OP/AD/DU/
Fort Defiance Outpatient Treatment Ctr,Fort Defiance Agency Dawn of Recovery,Old Fort Defiance Chapter House,,,,Fort Defiance,AZ,86504,(928)729-4012 Hotline: (928)729-4012,,SA/TX/OP/PA/N23/
Capstone Treatment Center,,,,,,Searcy,AR,72145,(501)729-4479 Intake: (866)729-4479,,SA/TX/RL/OP/AD/CO/SF/PI/MI/
National Therapeutic Services Inc,Joshua House,,,,,Costa Mesa,CA,92627,(949)650-4334,,SA/TX/HH/RL/CO/DU/SF/
Lake Arrowhead Treatment Center,,,,,,Lake Arrowhead,CA,92352,(310)753-6866 Intake: (909)336-4442,,SA/TX/DT/BU/RS/RL/OP/PH/SF/PI/SP/F70/
Koinonia Foster Homes Inc,Koinonia Group Homes,,,,,Loomis,CA,95650,(916)652-0171,,SA/TX/RL/AD/MD/
910 Vine Street,,,,,,Los Angeles,CA,90038,(323)461-3106,,SA/TX/OP/PA/
Journey Malibu,,,,,,Malibu,CA,90265,(310)456-2551,,MH-SA/TX/DT/HH/BU/RS/RL/OP/PH/CO/GL/SE/WN/BC/MN/CJ/SF/MD/MC/SI/PI/MI/AH/
Passages,,,,,,Malibu,CA,90265,(888)777-8525,,SA/TX/DT/BU/RS/RL/CO/SF/PI/
Promises Residential Treatment Center,,,,,,Malibu,CA,90265,(310)390-2340 Intake: (866)627-9970 Hotline: (866)627-9970,,MH-SA/TX/DT/BU/RS/RL/SF/
Westside Sober Living Centers Inc,Promises/Residential Trt Ctr/Malibu,,,,,Malibu,CA,90265,(310)390-2340 Hotline: (866)390-2340,,MH-SA/TX/DT/BU/RS/RL/CO/SF/
Westside Sober Living Centers Inc,Promises/Outpatient/Malibu,,,,,Malibu,CA,90265,(310)390-2340 Hotline: (866)310-2340,,MH-SA/TX/DT/BU/RS/RL/SF/
Touchstones,,,,,,Orange,CA,92856,(714)639-5542 Intake: (714)639-5542x225,,SA/TX/DT/RS/RL/AD/SF/PI/MI/SS/AH/SP/
Whiteside Manor,"5919, 5925, 5929, and 5935 Challen Str",,,,,Riverside,CA,92501,(951)343-9485,,MH-SA/TX/DT/BU/RS/RL/CO/SF/PI/SS/AH/SP/
607 Donna Way,,,,,,San Jacinto,CA,92583,(951)654-0803x3220 Intake: (800)851-5816x3220 Hotlines: (800)851-5816x3220 (951)654- 0803x3220,,MH-SA/TX/OP/AD/CO/HV/SE/PW/WN/MN/CJ/MD/MC/SI/PI/AR/PA/
Rangeview Counseling Center,Club Meadow Ridge,,,,,Fraser,CO,80442,(303)447-2038,DWI/DUI Clients Only,SA/TX/OP/DU/SF/SS/
90 East Ridge Road,,,,,,Ridgefield,CT,6877,(203)438-8680 Intake: (203)792-4515,,MH-SA/TX/OP/DU/SF/MD/SI/PI/AR/
Stephanies Family Sober House,,,,,,Lake Worth,FL,33461,(561)541-9406,,HH/
Unique Ladys of Character,ULOC 01,,,,,Tampa,FL,33605,(813)489-4500,,HH/
Unique Ladys of Character,ULOC 02,,,,,Tampa,FL,33617,(813)770-1138,,HH/
Directorate of Human Resources,Army Substance Abuse Program,Buildings 324 and 2617,,,,Fort Benning,GA,31905,(706)545-8362,,SA/TX/OP/WN/MN/PI/MI/PA/AH/
First Choice Recovery of Statesboro,1215-B Merchant Way,,,,,Statesboro,GA,30458,(912)681-3682,Methadone Clients Only,SA/TX/DT/MM/DM/OP/CO/SF/
Substance Abuse Counseling Center,Marine Corps Base Hawaii,,,,,M C B H Kaneohe Bay,HI,96863,(808)257-3900,,SA/TX/OP/
