Year,Page,Center_name,Street_address,City,State,Postal_code,Phone,Keys
2012,15,SpectraCare Henry Co IOP,219 Dothan Road,Abbeville,AL,36310,(334) 673-2143 Hotline: (800) 951-4357,SA TX OP SF MD SI PI MI SS AH
2012,15,Shelby County Treatment Center,750 Highway 31 South,Alabaster,AL,35007,(205) 216-0200 Intake: (205) 216-0202 Hotlines: (888) 950-4325 (888) 950HEAL Methadone and Buprenorphine Clients Only,SA TX MM DM BU OP PH CO HV GL SE PW WN MN DU CJ SF MD PI AH SP
2012,15,Lighthouse of Tallapoosa County Inc Substance Abuse Rehab Program/Resid,36 Franklin Street,Alexander City,AL,35010,(256) 234-4894,SA TX HH RL MN SF
2012,15,Anniston Fellowship House Inc,106 East 22nd Street,Anniston,AL,36201,(256) 236-7229,SA TX HH RL MN SF
2012,15,Bradford Health Services Anniston Regional O˜ce,826 Leighton Avenue,Anniston,AL,36207,(256) 237-4209,SA TX OP AD CO HV GL SE PW WN MN CJ SF PI
2012,15,Bridge Inc Recovery Center for Teens/Ashville,474 10th Street,Ashville,AL,35953,(205) 594-3111,SA TX OP AD SF MD SI PI MI SS PA AH
2012,15,Family Life Center,410 South Je˚erson Street,Athens,AL,35611,(256) 216-3917,MH-SA TX OP SF SS
2012,15,Cherokee/Etowah/DeKalb MH Center Substance Abuse Servs Men/Women,425 5th Avenue NW,Attalla,AL,35954,(256) 492-7800x138 Intake: (256) 492-7800 Hotline: (256) 492-7800,MH-SA TX OP SF MD PI MI SS PA AH
2012,15,Rapha Treatment Center,677 West Covington Avenue,Attalla,AL,35954,(256) 538-7458,SA TX HH RS RL MN SF
2012,15,Alabama Abuse Counseling Center,1612 3rd Avenue North,Bessemer,AL,35020,(205) 428-2600,SA TX OP DU CJ SF PI SP
2012,15,Northwest Alabama Treatment Center,4204 Edmonton Drive,Bessemer,AL,35022,(205) 425-1200 Methadone Clients Only,SA TX DT MM OP SF MD
2012,15,Alcohol and Drug Abuse Treatment Centers Inc/Pearson Hall,2701 Je˚erson Avenue SW,Birmingham,AL,35211,(205) 923-6552 Intakes: (205) 923-6552x10 (205) 923- 6552x13,SA TX DT RS WN MN SF MD MC SS AH
2012,15,Aletheia House,201 Finley Avenue West,Birmingham,AL,35204,(205) 324-6502,SA TX OP MN CJ SF MD MC AH
2012,15,Aletheia House Women Only,4246 5th Avenue South,Birmingham,AL,35222,(205) 595-1114 Intake: (205) 279-3999x3999,SA TX RL PW WN BC MD PA
2012,15,Birmingham Healthcare,712 25th Street North,Birmingham,AL,35203,(205) 323-5311 Hotline: (205) 941-4690,GH TX OP PA
2012,15,Birmingham Metro Treatment Center,151 Industrial Drive,Birmingham,AL,35211,(205) 941-1799 Methadone and Buprenorphine Clients Only,SA TX DT MM DM BU OP SF SP
2012,15,Bradford Health Services Birmingham Regional O˜ce/Je˚erson,300 Centre Park South Suite 100,Birmingham,AL,35226,(800) 293-7191 Hotline: (800) 293-7191,SA TX OP AD SF SI PI
2012,15,Department of Veterans A˚airs Medical Center,700 South 19th Street,Birmingham,AL,35233,(205) 933-8101x6136 Intake: (205) 933-8101x5510,MH-SA TX DT BU OP CO SF PI MI AH
2012,15,Fellowship House Inc,1625 12th Avenue South,Birmingham,AL,35205,(205) 933-2430,SA TX HH RL CO WN MN SF SS
2012,16,Je˚erson Cnty Committee for Econ Opp Community Substance Abuse Program,228 2nd Avenue North,Birmingham,AL,35204,(205) 787-3040 Intake: (205) 428-7362,SA TX OP CJ SF MC
2012,16,Oakmont Center,2008 21st Street Ensley,Birmingham,AL,35218,(205) 787-7100,SA TX OP SF MD PI SS PA
2012,16,Olivias House,8017 2nd Avenue South,Birmingham,AL,35206,(205) 833-5708,SA TX RL PW WN BC SF MD MC PA AH
2012,16,Saint Annes Home Inc,2772 Hanover Circle,Birmingham,AL,35205,(205) 933-2402x225,SA TX HH RL WN SF
2012,16,Tri County Treatment Center,5605 Cli˚ord Circle,Birmingham,AL,35210,(205) 836-3345 Methadone and Buprenorphine Clients Only,SA TX DT MM DM BU OP SF
2012,16,University of Alabama at Birmingham Addiction Recovery Program,1713 6th Avenue South,Birmingham,AL,35294,(205) 975-8494 Intake: (205) 934-7008,SA TX DT BU HI OP PH WN SF MC SI PI AH
2012,16,University of Alabama at Birmingham UAB Substance Abuse Programs,401 Beacon Parkway West Suite 270,Birmingham,AL,35209,(205) 917-3784x231 Intakes: (205) 917-3733x106 (205) 917- 3733x104,SA TX BU OP PH AD WN MN SF MD SI SS
2012,16,Zukoski Outpatient,601 Princeton Avenue SW,Birmingham,AL,35211,(205) 785-5787,SA TX OP SF MD SS
2012,16,Bradford Health Services Boaz Regional O˜ce,703 Medical Center Parkway,Boaz,AL,35957,(256) 593-9152,SA TX OP SF PI
2012,16,Indian Rivers Mental Health Center Substance Abuse Intensive Outpatient,2439 Main Street,Brent,AL,35034,(205) 926-4681,MH-SA TX OP SF MD PI SS AH
2012,16,Indian Rivers Mental Health Center Substance Abuse Intensive Outpatient,140 Court Square,Carrollton,AL,35447,(205) 367-8159,MH TX OP SF MD PI SS AH
2012,16,Bridge Inc Recovery Center for Teens/Cullman,402 Arnold Street NE Suite 104,Cullman,AL,35055,(256) 775-8301,SA TX OP AD SF MD SI PI MI SS AH
2012,16,Cullman County Treatment Center,1912 Commerce Street NW,Cullman,AL,35056,(256) 739-5595 Methadone Clients Only,SA TX MM DM OP PW WN MN SF AH
2012,16,Lighthouse Inc,925 Convent Road NE,Cullman,AL,35055,(256) 739-2777,SA TX HH RL MN CJ SF SS
2012,16,Shoulder,7400 Roper Lane,Daphne,AL,36526,(251) 626-2199,SA TX HH RL MN SF SS PA
2012,16,Mental Health Ctr of North Central AL ˛uest Rec Ctr Subst Abuse Treatment,4110 U.S. Highway 31 South,Decatur,AL,35603,(256) 353-9116 Intakes: (256) 355-5904 (800) 365-6008 Hotline: (256) 355-6091,SA TX OP PW WN SF MD MC SI PI SS AH
2012,16,West Alabama Mental Health Center,1215 South Walnut Avenue,Demopolis,AL,36732,(334) 289-2410 Intake: (800) 239-2901 Hotline: (800) 239-2901x24,MH TX OP PW DU CJ SF MD MC SI PI SS PA AH
