Name1,Name2,Name3,Address1,Address2,Address3,City,State,ZIP_Code,Contact,Note,Keys,ID,Longitude,Latitude,Match Score
SpectraCare,Henry Co IOP,,219 Dothan Road,,,Abbeville,AL,36310,(334)673-2143 Hotline: (800)951-4357,,SA/TX/OP/SF/MD/SI/PI/MI/SS/AH/,7363AL36310,-85.25288822373967,31.553424555600362,100.0
Shelby County Treatment Center,,,750 Highway 31 South,,,Alabaster,AL,35007,(205)216-0200 Intake: (205)216-0202 Hotlines: (888)950-4325 (888)950HEAL,Methadone and Buprenorphine Clients Only,SA/TX/MM/DM/BU/OP/PH/CO/HV/GL/SE/PW/WN/MN/DU/CJ/SF/MD/PI/AH/SP/,4041AL35007,-86.78738528247351,33.21345712673533,100.0
Lighthouse of Tallapoosa County Inc,Substance Abuse Rehab Program/Resid,,36 Franklin Street,,,Alexander City,AL,35010,(256)234-4894,,SA/TX/HH/RL/MN/SF/,6152AL35010,-85.95092163698332,32.94535931336939,100.0
Anniston Fellowship House Inc,,,106 East 22nd Street,,,Anniston,AL,36201,(256)236-7229,,SA/TX/HH/RL/MN/SF/,3680AL36201,-85.82789030197445,33.672922506776054,100.0
Bradford Health Services,Anniston Regional Office,,826 Leighton Avenue,,,Anniston,AL,36207,(256)237-4209,,SA/TX/OP/AD/CO/HV/GL/SE/PW/WN/MN/CJ/SF/PI/,5365AL36207,-85.82502717496862,33.65480917634526,100.0
Bridge Inc,Recovery Center for Teens/Ashville,,474 10th Street,,,Ashville,AL,35953,(205)594-3111,,SA/TX/OP/AD/SF/MD/SI/PI/MI/SS/PA/AH/,1075AL35953,-86.24645010859075,33.83125825032185,100.0
Family Life Center,,,410 South Jefferson Street,,,Athens,AL,35611,(256)216-3917,,MH-SA/TX/OP/SF/SS/,5022AL35611,-86.97242258441298,34.79948159996398,100.0
Cherokee/Etowah/DeKalb MH Center,Substance Abuse Servs Men/Women,,425 5th Avenue NW,,,Attalla,AL,35954,(256)492-7800x138 Intake: (256)492-7800 Hotline: (256)492-7800,,MH-SA/TX/OP/SF/MD/PI/MI/SS/PA/AH/,1092AL35954,-86.08993902154721,34.02360121906909,100.0
Rapha Treatment Center,,,677 West Covington Avenue,,,Attalla,AL,35954,(256)538-7458,,SA/TX/HH/RS/RL/MN/SF/,9874AL35954,-86.09978683576895,34.0043399827575,100.0
Alabama Abuse Counseling Center,,,1612 3rd Avenue North,,,Bessemer,AL,35020,(205)428-2600,,SA/TX/OP/DU/CJ/SF/PI/SP/,2826AL35020,-86.95587159458358,33.399740440491506,100.0
