ID,ADDRESS,CITY,STATE,ZIP
SpectraCare,219 Dothan Road,Abbeville,AL,36310
Shelby County Treatment Center,750 Highway 31 South,Alabaster,AL,35007
Lighthouse of Tallapoosa County Inc,36 Franklin Street,Alexander City,AL,35010
Anniston Fellowship House Inc,106 East 22nd Street,Anniston,AL,36201
Bradford Health Services,826 Leighton Avenue,Anniston,AL,36207
Bridge Inc,474 10th Street,Ashville,AL,35953
Family Life Center,410 South Jefferson Street,Athens,AL,35611
Cherokee/Etowah/DeKalb MH Center,425 5th Avenue NW,Attalla,AL,35954
Rapha Treatment Center,677 West Covington Avenue,Attalla,AL,35954
Alabama Abuse Counseling Center,1612 3rd Avenue North,Bessemer,AL,35020
Northwest Alabama Treatment Center,4204 Edmonton Drive,Bessemer,AL,35022
Alcohol and Drug Abuse,2701 Jefferson Avenue SW,Birmingham,AL,35211
Aletheia House,201 Finley Avenue West,Birmingham,AL,35204
Aletheia House,4246 5th Avenue South,Birmingham,AL,35222
Birmingham Healthcare,712 25th Street North,Birmingham,AL,35203
Birmingham Metro Treatment Center,151 Industrial Drive,Birmingham,AL,35211
Bradford Health Services,300 Centre Park South,Birmingham,AL,35226
Department of Veterans Affairs,700 South 19th Street,Birmingham,AL,35233
Fellowship House Inc,1625 12th Avenue South,Birmingham,AL,35205
Jefferson Cnty Committee for Econ Opp,228 2nd Avenue North,Birmingham,AL,35204
Oakmont Center,2008 21st Street Ensley,Birmingham,AL,35218
Olivias House,8017 2nd Avenue South,Birmingham,AL,35206
Saint Annes Home Inc,2772 Hanover Circle,Birmingham,AL,35205
Tri County Treatment Center,5605 Clifford Circle,Birmingham,AL,35210
University of Alabama at Birmingham,1713 6th Avenue South,Birmingham,AL,35294
University of Alabama at Birmingham,401 Beacon Parkway West,Birmingham,AL,35209
Zukoski Outpatient,601 Princeton Avenue SW,Birmingham,AL,35211
Bradford Health Services,703 Medical Center Parkway,Boaz,AL,35957
Indian Rivers Mental Health Center,2439 Main Street,Brent,AL,35034
Indian Rivers Mental Health Center,140 Court Square,Carrollton,AL,35447
Bridge Inc,402 Arnold Street NE,Cullman,AL,35055
Cullman County Treatment Center,1912 Commerce Street NW,Cullman,AL,35056
Lighthouse Inc,925 Convent Road NE,Cullman,AL,35055
Shoulder,7400 Roper Lane,Daphne,AL,36526
Mental Health Ctr of North Central AL,4110 U.S. Highway 31 South,Decatur,AL,35603
West Alabama Mental Health Center,1215 South Walnut Avenue,Demopolis,AL,36732
Bradford Health Services,114 Adris Place,Dothan,AL,36303
Herring Houses of Dothan,101 North Herring Street,Dothan,AL,36303
SpectraCare,831 John D Odom Road,Dothan,AL,36303
Baldwin County Mental Health Center,372 South Greeno Road,Fairhope,AL,36532
Bradford Health Services,303 East College Street,Florence,AL,35630
Riverbend Center for Mental Health,635 West College Street,Florence,AL,35630
Bridge Inc,100 7th Street NE,Fort Payne,AL,35967
Family Life Center,300 Gault Avenue South,Fort Payne,AL,35967
Army Substance Abuse Program,Andrews Avenue,Fort Rucker,AL,36362
Bridge Inc,3232 Lay Springs Road,Gadsden,AL,35904
CED Fellowship House Inc,4209 Brooke Avenue,Gadsden,AL,35904
Gadsden Treatment Center,1107 West Meighan Boulevard,Gadsden,AL,35901
Mountain View Hospital,3001 Scenic Highway,Gadsden,AL,35904
Mountain View Hospital,3001 Scenic Highway,Gadsden,AL,35904
SpectraCare,1203 West Maple Street,Geneva,AL,36340
Gulf Coast Treatment Center,12271 Interchange Road,Grand Bay,AL,36541
Cedar Lodge,22165 U.S. Highway 431,Guntersville,AL,35976
Family Life Center,432 Gunter Avenue,Guntersville,AL,35976
Marion County Treatment Center,1879 Military Street South,Hamilton,AL,35570
Alabama Recovery Center,600 Whitesport Drive,Huntsville,AL,35801
Bradford Health Services,555 Sparkman Drive,Huntsville,AL,35816
Crestwood Medical Center of Huntsville,1 Hospital Drive,Huntsville,AL,35801
Huntsville Madison County MH Center,4040 Memorial Parkway SW,Huntsville,AL,35802
