Name1,Name2,Name3,Address1,Address2,Address3,City,State,ZIP_Code,Contact,Website,Note,Keys,ID,Longitude,Latitude,Match Score
Abbeville,SpectraCare,Henry Co IOP,219 Dothan Road,,,Abbeville,AL,36310,(334)673-2143,,,SA/TX/OP/MC/SI/MI/SS/,7363AL36310,-85.25288822373967,31.553424555600362,100.0
AlexAnder City,Lighthouse of Tallapoosa County Inc,Substance Abuse Rehab Program/Resid,36 Franklin Street,,,Alexander City,AL,35010,(256)234-4894,,,SA/TX/HH/RL/MN/SF/,6152AL35010,-85.95092163698332,32.94535931336939,100.0
AnniSton,Anniston Fellowship House Inc,,106 East 22nd Street,,,Anniston,AL,36201,(256)236-7229,,,SA/TX/HH/RL/MN/SF/,3680AL36201,-85.82789030197445,33.672922506776054,100.0
Calhoun Cleburne Mental Health Center,New Directions,,409 East 10th Street,,,Anniston,AL,36207,(256)236-8003 Hotlines: (256)236-8003 (256)236-3403,,,SA/TX/OP/PH/CO/DU/SF/MD/SI/MI/SS/,2594AL36207,-85.82321083783646,33.657168864527954,100.0
AShville,Bridge Inc,Recovery Center for Teens/Ashville,474 10th Street,,,Ashville,AL,35953,(205)594-3111,,,SA/TX/OP/AD/SF/MD/SI/PI/MI/SS/PA/AH/,1075AL35953,-86.24645010859075,33.83125825032185,100.0
AttAllA,Rapha Christian Home,,677 West Covington Avenue,,,Attalla,AL,35954,(256)538-7458,,,SA/TX/HH/RS/RL/MN/CJ/MC/,9874AL35954,-86.09978683576895,34.0043399827575,100.0
BeSSemer,Alabama Abuse Counseling Center,,1612 3rd Avenue North,,,Bessemer,AL,35020,(205)428-2600,,,SA/TX/DT/OP/CO/WN/MN/DU/CJ/SF/SS/PA/,2826AL35020,-86.95587159458358,33.399740440491506,100.0
Northwest Alabama Treatment Center,,,4204 Edmonton Drive,,,Bessemer,AL,35022,(205)425-1200,,Methadone and Buprenorphine Clients Only,SA/TX/DT/MM/DM/BU/OP/MC/AH/,8772AL35022,-86.93995821612879,33.368655188646365,100.0
BirminghAm,Alcohol and Drug Abuse,Treatment Centers Inc,2701 Jefferson Avenue SW,,,Birmingham,AL,35211,(205)923-6552 Intakes: (205)923-6552x10 (205) 923-6552x13,,,SA/TX/DT/RS/HV/SI/MI/,5319AL35211,-86.8776602236915,33.47431863354241,100.0
Aletheia House,,,201 Finley Avenue West,,,Birmingham,AL,35204,(205)324-6502 Intake: (205)324-6502x26,,,SA/TX/OP/CJ/SF/MC/PA/,0542AL35204,-86.83880519462637,33.5364827663802,100.0
Aletheia House,Men of Honor,,1904 Woodland Avenue SW,,,Birmingham,AL,35211,(205)925-5290 Intake: (205)324-6502,,,SA/TX/OP/MN/CJ/PA/,8216AL35211,-86.87011525872525,33.49218543754523,100.0
Aletheia House,Women Only,,4246 5th Avenue South,,,Birmingham,AL,35222,(205)595-1114 Intake: (205)324-6502x10,,,SA/TX/RL/OP/HV/PW/WN/BC/CJ/SF/MD/PA/AH/,2137AL35222,-86.76949251758379,33.5234999952482,100.0
Birmingham Healthcare,,,712 25th Street North,,,Birmingham,AL,35203,(205)323-5311,,,SA/TX/OP/PA/AH/SP/,5440AL35203,-86.80299525633802,33.52380065509877,100.0
Birmingham Metro Treatment Center,,,151 Industrial Drive,,,Birmingham,AL,35211,(205)941-1799,,Methadone and Buprenorphine Clients Only,SA/TX/DT/MM/DM/BU/OP/SF/,3700AL35211,-86.85061106777306,33.44878773365579,100.0
Bradford Health Services,Birmingham Regional Office Jefferson,,631 Beacon Parkway West,Suite 211,,Birmingham,AL,35209,(800)293-7191 Hotline: (205)647-1945,,,SA/TX/OP/AD/SF/SI/PI/MI/SP/,0352AL35209,-86.82185049486422,33.47609107078793,100.0
