State,Year,(E019) Police & Fire Protection-Dir Exp,(E021) Total Correct-Dir Exp,(E022) Total Correct-Cur Oper,(E023) Total Correct-Cap Out,(E052) Health & Hosp-Dir Exp,(E053) Health & Hosp-Cur Oper,(E054) Health & Hosp-Cap Out,(E090) Public Welf-Direct Exp,(E091) Public Welf-Cur Oper,(E092) Public Welf-Cash Asst,(E093) Welf-Categ-Cash Assist (E67),(E094) Welf-Cash-Cash Assist (E68),(E095) Public Welf-Cap Outlay
Alabama,2017,1609448.00,214281.00,212879.00,1402.00,4517224.00,4254055.00,263169.00,41960.00,41428.00,1.00,1.00,0.00,531.00
Florida,2017,11925508.00,1963329.00,1917297.00,46032.00,10105313.00,9482852.00,622461.00,1091833.00,1056960.00,18515.00,12811.00,5704.00,16358.00
Georgia,2017,3493626.00,830580.00,808513.00,22067.00,4650020.00,4361318.00,288702.00,118692.00,116692.00,0.00,0.00,0.00,2000.00
Hawaii,2017,693798.00,0.00,0.00,0.00,42727.00,29118.00,13609.00,101061.00,41256.00,42452.00,24114.00,18338.00,17353.00
Idaho,2017,614081.00,142836.00,134539.00,8297.00,735191.00,660907.00,74284.00,30452.00,30238.00,112.00,5.00,107.00,102.00
Illinois,2017,7527125.00,726589.00,722450.00,4139.00,3242942.00,3212982.00,29960.00,593177.00,581148.00,0.00,0.00,0.00,12029.00
Indiana,2017,2104036.00,429340.00,422379.00,6961.00,4596831.00,4304831.00,292000.00,21205.00,18518.00,1111.00,25.00,1086.00,1576.00
Iowa,2017,988953.00,148488.00,147642.00,846.00,2364512.00,2201274.00,163238.00,80977.00,80677.00,229.00,81.00,148.00,71.00
Kansas,2017,1108566.00,232524.00,218769.00,13755.00,1216018.00,1148622.00,67396.00,42763.00,42416.00,64.00,0.00,64.00,283.00
Kentucky,2017,977663.00,304528.00,285862.00,18666.00,1154462.00,1107466.00,46996.00,40646.00,36597.00,0.00,0.00,0.00,4049.00
Louisiana,2017,2166712.00,481173.00,454510.00,26663.00,2480961.00,2356658.00,124303.00,82182.00,81865.00,118.00,118.00,0.00,199.00
Alaska,2017,489925.00,6457.00,6429.00,28.00,503804.00,484876.00,18928.00,9880.00,9686.00,6.00,0.00,6.00,188.00
Maine,2017,387204.00,97713.00,97252.00,461.00,155125.00,150893.00,4232.00,49857.00,43038.00,6730.00,11.00,6719.00,89.00
Maryland,2017,3301963.00,437667.00,436522.00,1145.00,571165.00,564148.00,7017.00,158853.00,158853.00,0.00,0.00,0.00,0.00
Massachusetts,2017,3026686.00,0.00,0.00,0.00,1020987.00,974463.00,46524.00,93853.00,93762.00,0.00,0.00,0.00,91.00
Michigan,2017,3055552.00,617535.00,611775.00,5760.00,3564924.00,3517685.00,47239.00,1348733.00,1339103.00,1057.00,1057.00,0.00,8573.00
Minnesota,2017,2112958.00,549814.00,539136.00,10678.00,2540944.00,2470476.00,70468.00,1488916.00,1260985.00,216587.00,189800.00,26787.00,11344.00
Mississippi,2017,925545.00,186213.00,178519.00,7694.00,2570800.00,2445379.00,125421.00,27646.00,27110.00,334.00,334.00,0.00,202.00
Missouri,2017,2401509.00,213066.00,211254.00,1812.00,2335401.00,2181042.00,154359.00,190603.00,188316.00,0.00,0.00,0.00,2287.00
Montana,2017,415817.00,45684.00,43352.00,2332.00,250355.00,241337.00,9018.00,63739.00,61613.00,0.00,0.00,0.00,2126.00
Nebraska,2017,661579.00,142790.00,142153.00,637.00,893943.00,834515.00,59428.00,109385.00,102978.00,18.00,0.00,18.00,6389.00
Nevada,2017,1731653.00,465753.00,456390.00,9363.00,933929.00,857810.00,76119.00,382699.00,373539.00,0.00,0.00,0.00,9160.00
Arizona,2017,3429846.00,616015.00,595411.00,20604.00,1089174.00,1055854.00,33320.00,117962.00,113619.00,4275.00,0.00,4275.00,68.00
New Hampshire,2017,607695.00,80154.00,80154.00,0.00,18356.00,18315.00,41.00,243461.00,240155.00,3306.00,3202.00,104.00,0.00
