State,Year,(E019) Police & Fire Protection-Dir Exp,(E021) Total Correct-Dir Exp,(E022) Total Correct-Cur Oper,(E023) Total Correct-Cap Out,(E052) Health & Hosp-Dir Exp,(E053) Health & Hosp-Cur Oper,(E054) Health & Hosp-Cap Out,(E090) Public Welf-Direct Exp,(E091) Public Welf-Cur Oper,(E092) Public Welf-Cash Asst,(E093) Welf-Categ-Cash Assist (E67),(E094) Welf-Cash-Cash Assist (E68),(E095) Public Welf-Cap Outlay
Alabama,2017,"$359,349 ","$188,834 ","$187,706 ","$1,128 ","$114,146 ","$111,815 ","$2,331 ","$31,827 ","$31,827 ",$0 ,$0 ,$0 ,$0 
Florida,2017,"$5,821,716 ","$1,908,955 ","$1,862,923 ","$46,032 ","$3,115,535 ","$3,056,774 ","$58,761 ","$676,026 ","$642,357 ","$18,515 ","$12,811 ","$5,704 ","$15,154 "
Georgia,2017,"$1,790,409 ","$717,393 ","$700,486 ","$16,907 ","$448,386 ","$412,117 ","$36,269 ","$39,965 ","$39,581 ",$0 ,$0 ,$0 ,$384 
Hawaii,2017,"$277,219 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$79,744 ","$37,161 ","$42,452 ","$24,114 ","$18,338 ",$131 
Idaho,2017,"$171,702 ","$142,836 ","$134,539 ","$8,297 ","$229,013 ","$217,396 ","$11,617 ","$30,325 ","$30,203 ",$112 ,$5 ,$107 ,$10 
Illinois,2017,"$715,258 ","$721,704 ","$717,953 ","$3,751 ","$2,301,861 ","$2,299,185 ","$2,676 ","$180,884 ","$172,402 ",$0 ,$0 ,$0 ,"$8,482 "
Indiana,2017,"$393,632 ","$284,865 ","$277,904 ","$6,961 ","$2,868,967 ","$2,666,480 ","$202,487 ","$9,926 ","$9,582 ",$0 ,$0 ,$0 ,$344 
Iowa,2017,"$241,278 ","$147,925 ","$147,182 ",$743 ,"$1,707,228 ","$1,589,302 ","$117,926 ","$65,617 ","$65,373 ",$229 ,$81 ,$148 ,$15 
Kansas,2017,"$310,197 ","$201,934 ","$188,751 ","$13,183 ","$726,641 ","$691,656 ","$34,985 ","$34,144 ","$34,068 ",$0 ,$0 ,$0 ,$76 
Kentucky,2017,"$128,138 ","$203,834 ","$187,107 ","$16,727 ","$657,664 ","$630,873 ","$26,791 ","$6,847 ","$6,067 ",$0 ,$0 ,$0 ,$780 
Louisiana,2017,"$939,991 ","$346,807 ","$324,387 ","$22,420 ","$1,763,387 ","$1,668,872 ","$94,515 ","$71,140 ","$70,886 ",$75 ,$75 ,$0 ,$179 
Alaska,2017,"$117,953 ","$1,737 ","$1,727 ",$10 ,"$267,431 ","$264,377 ","$3,054 ","$7,864 ","$7,676 ",$0 ,$0 ,$0 ,$188 
Maine,2017,"$46,332 ","$97,713 ","$97,252 ",$461 ,$870 ,$870 ,$0 ,$464 ,$464 ,$0 ,$0 ,$0 ,$0 
Maryland,2017,"$2,255,110 ","$437,667 ","$436,522 ","$1,145 ","$452,644 ","$445,629 ","$7,015 ","$158,853 ","$158,853 ",$0 ,$0 ,$0 ,$0 
Massachusetts,2017,$434 ,$0 ,$0 ,$0 ,"$3,489 ","$3,489 ",$0 ,"$2,958 ","$2,958 ",$0 ,$0 ,$0 ,$0 
Michigan,2017,"$533,623 ","$615,040 ","$609,280 ","$5,760 ","$2,895,080 ","$2,867,682 ","$27,398 ","$1,345,529 ","$1,335,926 ","$1,057 ","$1,057 ",$0 ,"$8,546 "
Minnesota,2017,"$640,590 ","$505,299 ","$495,515 ","$9,784 ","$1,797,050 ","$1,789,587 ","$7,463 ","$1,477,770 ","$1,255,859 ","$216,587 ","$189,800 ","$26,787 ","$5,324 "
Mississippi,2017,"$319,914 ","$183,976 ","$176,282 ","$7,694 ","$1,616,420 ","$1,522,251 ","$94,169 ","$24,713 ","$24,177 ",$334 ,$334 ,$0 ,$202 
Missouri,2017,"$390,395 ","$155,301 ","$153,489 ","$1,812 ","$744,417 ","$712,021 ","$32,396 ","$70,483 ","$70,254 ",$0 ,$0 ,$0 ,$229 
Montana,2017,"$159,545 ","$42,544 ","$40,212 ","$2,332 ","$129,009 ","$127,003 ","$2,006 ","$50,613 ","$49,997 ",$0 ,$0 ,$0 ,$616 
Nebraska,2017,"$103,463 ","$142,790 ","$142,153 ",$637 ,"$534,506 ","$509,078 ","$25,428 ","$33,868 ","$33,496 ",$18 ,$0 ,$18 ,$354 
Nevada,2017,"$1,060,884 ","$360,586 ","$357,755 ","$2,831 ","$916,112 ","$841,139 ","$74,973 ","$375,518 ","$370,437 ",$0 ,$0 ,$0 ,"$5,081 "
