Name1,Name2,Name3,Address1,Address2,Address3,City,State,ZIP_Code,Contact,Website,Note,Keys,ID
Lighthouse of Tallapoosa County Inc,Substance Abuse Rehab Program/Resid,,36 Franklin Street,,,Alexander City,AL,35010,(256)234-4894,,,SA/TX/HH/RR/MN/SF/,9238AL35010
Anniston Fellowship House Inc,,,106 East 22nd Street,,,Anniston,AL,36201,(256)236-7229,,,SA/TX/HH/RR/MN/SF/AH/,4683AL36201
Calhoun/Cleburne Mental Health Center,New Directions,,407 South Noble Street,,,Anniston,AL,36201,(256)236-8003 Hotlines: (256)236-8003 (256)236-3403,,,SA/TX/OP/AD/CO/DU/CJ/SF/MD/PI/MI/SS/,6675AL36201
Bridge Inc,Recovery Center for Teens/Ashville,,474 10th Street,,,Ashville,AL,35953,(205)594-3111,www.bridgeinc.org,,SA/TX/OP/AD/CO/,6445AL35953
Northwest Alabama Treatment Center,,,709 Memorial Drive,,,Bessemer,AL,35020,(205)425-1200,,Methadone Clients Only,SA/TX/DT/MM/DM/OP/CO/GL/SE/PW/WO/SF/AH/,8387AL35020
Alcohol and Drug Abuse,Treatment Centers Inc,,2701 Jefferson Avenue SW,,,Birmingham,AL,35211,(205)923-6552 Intake: (205)923-6552x10,,,SA/TX/DT/RR/SF/MD/SS/,0746AL35211
Aletheia House,,,201 Finley Avenue West,,,Birmingham,AL,35204,(205)324-6502,,,SA/TX/OP/RR/HV/MN/DU/CJ/SF/MD/PA/AH/,8294AL35204
Birmingham Healthcare,,,712 25th Street North,,,Birmingham,AL,35203,(205)323-5311 Intake: (205)323-5311x258,birminghamhealthcare.org,,GH/TX/OP/,4451AL35203
Birmingham Metro Treatment Center,Limited Partnership,,139 Citation Court,Building A Suite 101,,Birmingham,AL,35209,(205)941-1739 Intake: (205)941-1799,www.methadonetreatment.com,Methadone Clients Only,SA/TX/DT/MM/DM/OP/SF/SP/,4867AL35209
Bradford Health Services,Birmingham Regional Office Jefferson,,631 Beacon Parkway West,Suite 211,,Birmingham,AL,35209,(800)293-7191 Hotline: (800)293-7191,www.bradfordhealth.com,,SA/TX/OP/PH/AD/SF/PI/MI/,4046AL35209
Department of Veterans Affairs,Medical Center,,700 South 19th Street,,,Birmingham,AL,35233,(205)933-8101 Intake: (205)933-8101x5510,,,GH/TX/OP/CO/SF/PI/SP/,7990AL35233
Fellowship House Inc,,,1625 12th Avenue South,,,Birmingham,AL,35205,(205)933-2430,,,SA/TX/HH/RR/CO/HV/WO/MN/CJ/SF/SS/PA/SP/AH/,1901AL35205
Hill Crest Behavioral Health Services,Chemical Dependency Track,,6869 5th Avenue South,,,Birmingham,AL,35212,(205)833-9000,,,MH/TX/DT/RR/HI/AD/CO/SF/MD/MC/PI/MI/,6785AL35212
Jefferson County Economic Opportunity,Community Substance Abuse Program,,228 2nd Avenue North,,,Birmingham,AL,35204,(205)787-3040 Intake: (205)787-3040x221,www.jcceo.org,,SA/TX/OP/AD/HV/SE/SF/MD/,5044AL35204
Oakmont Center,,,2008 21st Street Ensley,,,Birmingham,AL,35218,(205)787-7100,,,SA/TX/OP/AD/CJ/SF/MD/,7561AL35218
Saint Annes Home Inc,,,2772 Hanover Circle,,,Birmingham,AL,35205,(205)933-2402,,,SA/TX/HH/RR/CO/HV/GL/SE/PW/WO/SF/SP/,0615AL35205
Tri County Treatment Center,,,500 Gene Reed Road,Suite 220,,Birmingham,AL,35215,(205)836-3345,www.methadonetreatment.com,Methadone Clients Only,SA/TX/DT/MM/DM/OP/SF/,6408AL35215
University of Alabama in Birmingham,Hospital Center for Psychiatric Med,,1713 6th Avenue South,,,Birmingham,AL,35294,(205)934-7008 Intake: (800)782-1133 Hotline: (800)782-1133,www.main.uab.edu,,MH-SA/TX/DT/OP/PH/RR/SF/MD/MC/PI/MI/,5827AL35294
University of Alabama in Birmingham,UAB Substance Abuse Programs,,401 Beacon Parkway West,Suite 270,,Birmingham,AL,35209,(205)917-3786 Intake: (205)917-3733x104,,,SA/TX/MM/OP/AD/SF/MD/MC/PI/,6533AL35209
Bridge Inc,Recovery Center for Teens/Cullman,,402 Arnold Street NE,,,Cullman,AL,35055,(256)775-8301,www.bridgeinc.org,,SA/TX/OP/AD/CO/,9928AL35055
Bridge Inc,Recovery Center for Teens/Decatur,,410 Johnston Street SE,,,Decatur,AL,35601,(256)353-6497,www.bridgeinc.org,,SA/TX/OP/AD/CO/,3849AL35601
