Name1,Name2,Name3,Address1,Address2,Address3,City,State,ZIP_Code,Contact,Website,Note,Keys,ID,Longitude,Latitude,Match Score
Lighthouse of Tallapoosa County Inc,Substance Abuse Re)rnbilitation Program,,36 Franklin Street,,,Alexander City,AL,35010,(205)234-4894 Hotline: (800)762-3790,,,SA/TX/HH/RR/SS/OA/,6152AL35010,-85.95092163698332,32.94535931336939,100.0
Anniston fellowship House Inc,,,106 East 22nd Street,,,Anniston,AL,36201,(256)236-7229,,,SA/TX/HH/RR/CJ/SS/OA/,3680AL36201,-85.82789030197445,33.672922506776054,100.0
Calhoun/Cleburne Mental Health Center,New Directions,,407 South Nobcl Street,,,Anniston,AL,36201,(256)236-8003 Hotline: (256)236-3403,,,SA/TX/OP/AD/DD/DU/PI/MI/SS/,3202AL36201,-85.83256999999998,33.663695000000075,85.0
Alcoholism Recovery Services Inc,,,2701 Jefferson Avenue SW,,,Birmingham,AL,35211,(205)923-6552,,,SA/TX/DT/OP/RR/HV/OW/MD/SS/OA/,5319AL35211,-86.8776602236915,33.47431863354241,100.0
Aletheia I-louse,,,201 Finley Avenue West,,,Birmingham,AL,35204,(205)324-6502,,,SA/TX/HH/OP/RR/PW/MD/PI/MI/OA/,0542AL35204,-86.83880519462637,33.5364827663802,100.0
Birmingham Health Care for the,Homeless,,712 25th Street North,,,Birmingham,AL,35203,(205)439-7216 Intake: (205)323-5311,,,TX/OP/PH/DD/SS/OA/,5440AL35203,-86.80299525633802,33.52380065509877,100.0
Birmingham Metro Treatment Center,Limited Partnership,,139 Citation Court,,,Birmingham,AL,35209,(205)941-1799,www.methadonetreatment.com,,SA/TX/DT/ML/OP/,2291AL35209,-86.84611954113743,33.44757235769535,100.0
Bradford Health Services,Birmingham Regional Office Jefferson,,631 Beacon Parkway West,Suite 211,,Birmingham,AL,35209,(800)293-7191 Intake: (205)942-3200 Hotline: (800)293-7191 (800)648-1945,www.bradfordhealth.com,,SA/TX/OP/AD/PI/MI/SS/OA/,0352AL35209,-86.82185049486422,33.47609107078793,100.0
Department of Veterans Affairs,Medical Center,,1717 I Ith Avenue South,,,Birmingham,AL,35205,(205)939-2135,,,MH-SA/TX/OP/DD/OW/,7963AL35205,-86.80000999999999,33.49727000000007,85.0
Fellowship House Inc,,,1625 12th Avenue South,,,Birmingham,AL,35205,(205)933-2430,,,SA/TX/HH/OP/RR/DD/HV/OW/MC/SS/,1605AL35205,-86.80074528176368,33.49721556226586,100.0
