old,new
G_STATEFP,G_STATEFP
GEOID,GEOID
STUSPS,STUSPS
totPopE,TotPopE
totalP_hh,TotPopHh
TotalVetPop,TotVetPop
totUnits,TotUnits
totWrkE,TotWrkE
whiteP,WhiteP
blackP,BlackP
amIndP,AmIndP
asianP,AsianP
pacIsP,PacISP
otherP,OtherP
hispP,HispP
childrenP,ChildrenP
a15_24P,A15_24P
und45P,Und45P
ovr65P,Ovr65P
age0_4,Age0_4
age5_14,Age5_14
age15_19,Age15_19
age20_24,Age20_24
age15_44,Age15_44
age45_49,Age45_49
age50_54,Age50_54
age55_59,Age55_59
age60_64,Age60_64
ageOv65,AgeOv65
ageOv18,AgeOv18
age18_64,Age18_64
disbP,DisbP
noHSP,NoHSP
VetPercent,VetP
nonRel_fhhR,NonRelFhhP
nonRel_nfhhR,NonRelNfhhP
BED_COUNT,BedCnt
POINT_IN_TIME,PntInTm
YEARLY_BED_COUNT,YrlyBedCnt
unempP,UnempP
povP,PovP
MedInc,MedInc
pciE,PciE
fordq_rate,ForDqP
fordq_num,ForDqTot
GiniCoeff,GiniCoeff
eduP,EduP
hghRskP,HghRskP
hltCrP,HltCrP
retailP,RetailP
essnWrkE,EssnWrkE
essnWrkP,EssnWrkP
NoIntPct,NoIntP
vacantP,VacantP
mobileP,MobileP
lngTermP,LngTermP
rentalP,RentalP
unitDens,UnitDens
areaSqMi,AreaSqMi
alcTotal,AlcTot
alcDens,AlcDens
alcPerCap,AlcPerCap
dissim.b,DsmBlk
inter.bw,IntrBlkWht
iso.b,IsoBlk
dissim.h,DsmHsp
inter.hw,IntrHspWht
iso.h,IsoHsp
dissim.a,DsmAs
inter.aw,IntrAsWht
iso.a,IsoAs
ndvi,Ndvi
parkArea,ParkArea
stateArea,StateArea
cover,Cover
cntT,TotTracts
cntBupT,CntBupT
cntMetT,CntMetT
cntNalT,CntNalT
avBupTime,AvBupTime
avMetTime,AvMetTime
avNalTime,AvNalTime
pctBupT,PctBupT
pctMetT,PctMetT
pctNalT,PctNalT
FqhcCtTmDr,FqhcCtTmDr
FqhcAvTmDr,FqhcAvTmDr
FqhcTmDrP,FqhcTmDrP
HospCtTmDr,HospCtTmDr
HospAvTmDr,HospAvTmDr
HospTmDrP,HospTmDrP
RxCtTmDr,RxCtTmDr
RxAvTmDr,RxAvTmDr
RxTmDrP,RxTmDrP
MhCtTmDr,MhCtTmDr
MhAvTmDr,MhAvTmDr
MhTmDrP,MhTmDrP
SutpCtTmDr,SutpCtTmDr
SutpAvTmDr,SutpAvTmDr
SutpTmDrP,SutpTmDrP
OtpCtTmDr,OtpCtTmDr
OtpAvTmDr,OtpAvTmDr
OtpTmDrP,OtpTmDrP
DrgRlDth,DrgRlDth
TotHcv,TotHcv
MlHcv,MlHcv
FmHcv,FmHcv
Un50Hcv,Un50Hcv
A50_74Hcv,A50_74Hcv
Ov75Hcv,Ov75Hcv
blkHcv,blkHcv
nonBlkHcv,nonBlkHcv
HcvD13,HcvD13
MlHcvD13,MlHcvD13
FlHcvD13,FlHcvD13
AmInHcvD13,AmInHcvD13
AsPiHcvD13,AsPiHcvD13
BlkHcvD13,BlkHcvD13
HspHcvD13,HspHcvD13
U50HcvD13,U50HcvD13
A50_74HcvD13,A50_74HcvD13
O75HcvD13,O75HcvD13
HcvD14,HcvD14
MlHcvD14,MlHcvD14
FlHcvD14,FlHcvD14
AmInHcvD14,AmInHcvD14
AsPiHcvD14,AsPiHcvD14
BlkHcvD14,BlkHcvD14
HspHcvD14,HspHcvD14
U50HcvD14,U50HcvD14
A50_74HcvD14,A50_74HcvD14
O75HcvD14,O75HcvD14
HcvD15,HcvD15
MlHcvD15,MlHcvD15
FlHcvD15,FlHcvD15
AmInHcvD15,AmInHcvD15
AsPiHcvD15,AsPiHcvD15
BlkHcvD15,BlkHcvD15
HspHcvD15,HspHcvD15
U50HcvD15,U50HcvD15
D50_74Hcv15,D50_74Hcv15
O75HcvD15,O75HcvD15
HcvD16,HcvD16
MlHcvD16,MlHcvD16
FlHcvD16,FlHcvD16
AmInHcvD16,AmInHcvD16
AsPiHcvD16,AsPiHcvD16
BlkHcvD16,BlkHcvD16
HspHcvD16,HspHcvD16
U50HcvD16,U50HcvD16
A50_74HcvD16,A50_74HcvD16
O75HcvD16,O75HcvD16
HcvD17,HcvD17
MlHcvD17,MlHcvD17
FlHcvD17,FlHcvD17
AmInHcvD17,AmInHcvD17
AsPiHcvD17,AsPiHcvD17
BlkHcvD17,BlkHcvD17
HspHcvD17,HspHcvD17
U50HcvD17,U50HcvD17
A50_74HcvD17,A50_74HcvD17
O75HcvD17,O75HcvD17
AvHcvD,AvHcvD
AvMlHcvD,AvMlHcvD
AvFlHcvD,AvFlHcvD
AvAmInHcvD,AvAmInHcvD
AvAsPiHcvD,AvAsPiHcvD
AvBlkHcvD,AvBlkHcvD
AvHspHcvD,AvHspHcvD
AvU50HcvD,AvU50HcvD
Av50_74HcvD,Av50_74HcvD
AvO75HcvD,AvO75HcvD
pcp_total,TotPcp
sp_total,TotSp
opPrscRt20,OpRxRt20
prMisuse20,PrMisuse20
odMortRt14,OdMortRt14
odMortRt15,OdMortRt15
odMortRt16,OdMortRt16
odMortRt17,OdMortRt17
odMortRt18,OdMortRt18
odMortRt19,OdMortRt19
odMortRt20,OdMortRt20
odMortRtAv,OdMortRtAv
AnyPDMPfr,AnyPdmpFr
AnyPDMPHfr,AnyPdmphFr
OpPDMPfr,OpPdmpFr
MsAcPDMPfr,MsAcPdmpFr
ElcPDMPfr,ElcPdmpFr
AnyPDMPdt,AnyPdmpDt
AnyPDMPHdt,AnyPdmphDt
OpPDMPdt,OpPdmpDt
MsAcPDMPdt,MsAcPdmpDt
ElcPDMPdt,ElcPdmpDt
AnyGSLdt,AnyGslDt
GSLArrdt,GslArrDt
AnyGSLfr,AnyGslFr
GSLArrfr,GslArrFr
AnyNaldt,AnyNalDt
NalPrStdt,NalPrStDt
NalPresdt,NalPresDt
AnyNalfr,AnyNalFr
NalPrStfr,NalPrStFr
NalPresfr,NalPresFr
TtlMedExp.x,MedcdExp19
TtlMedExp.y,MedcdExp18
TradFedExp,TradFedExp
