Name1,Name2,Name3,Address1,Address2,Address3,City,State,ZIP_Code,Contact,Website,Note,Keys,ID
Abbeville,SpectraCare,Henry Co IOP,219 Dothan Road,,,Abbeville,AL,36310,(334)673-2143 Hotline: (800)951-4357,,,SA/TX/OP/SF/MD/SI/PI/MI/AH/,6840AL36310
AlAbASter,Shelby County Treatment Center,,750 Highway 31 South,,,Alabaster,AL,35007,(205)216-0200 Intake: (205)216-0202 Hotlines: (888)950-4325 (888)950HEAL,,Methadone and Buprenorphine Clients Only,SA/TX/DT/MM/DM/BU/HI/OP/PH/PW/DU/SF/SI/PI/AH/SP/,2267AL35007
AlexAnDer City,Lighthouse of Tallapoosa County Inc,Substance Abuse Rehab Program/Resid,36 Franklin Street,,,Alexander City,AL,35010,(256)234-4894,,,SA/TX/HH/RL/MN/SF/,7404AL35010
AnniSton,Anniston Fellowship House Inc,,106 East 22nd Street,,,Anniston,AL,36201,(256)236-7229,,,SA/TX/HH/RL/MN/SF/,7910AL36201
Bradford Health Services,Anniston Regional Office,,826 Leighton Avenue,,,Anniston,AL,36207,(256)237-4209,,,SA/TX/OP/AD/WN/MN/SF/PI/,9149AL36207
Calhoun Cleburne Mental Health Center,New Directions,,409 East 10th Street,,,Anniston,AL,36207,(256)236-8003 Hotline: (256)236-3403,,,MH-SA/TX/OP/PH/CO/DU/SF/MD/PI/MI/SS/,9384AL36207
AShville,Bridge Inc,Recovery Center for Teens/Ashville,474 10th Street,,,Ashville,AL,35953,(205)594-3111,,,SA/TX/OP/AD/SF/MD/SI/PI/MI/SS/PA/AH/,1064AL35953
AttAllA,Rapha Christian Home,,677 West Covington Avenue,,,Attalla,AL,35954,(256)538-7458,,,SA/TX/HH/RS/RL/OP/SF/,3857AL35954
Sandys Place Inc,,,1459 McClendon Road,,,Attalla,AL,35954,(256)390-4616,,,SA/TX/OP/CJ/SF/,4655AL35954
beSSemer,Alabama Abuse Counseling Center,,1612 3rd Avenue North,,,Bessemer,AL,35020,(205)428-2600,,,SA/TX/DT/OP/AD/SF/SI/PI/AH/,9777AL35020
Northwest Alabama Treatment Center,,,4204 Edmonton Drive,,,Bessemer,AL,35022,(205)425-1200,,Methadone Clients Only,SA/TX/MM/OP/PW/SF/,8137AL35022
birminghAm,Alcohol and Drug Abuse,Treatment Centers Inc,2701 Jefferson Avenue SW,,,Birmingham,AL,35211,(205)923-6552 Intakes: (205)923-6552x10 (205)923- 6552x13,,,SA/TX/DT/RS/SF/MD/SS/AH/,3074AL35211
Aletheia House,,,201 Finley Avenue West,,,Birmingham,AL,35204,(205)324-6502,,,SA/TX/OP/SF/MD/MC/,8294AL35204
Aletheia House,Women Only,,4246 5th Avenue South,,,Birmingham,AL,35222,(205)595-1114 Intake: (205)279-3999,,,SA/TX/RL/WN/CJ/SF/,6013AL35222
Birmingham Healthcare,,,712 25th Street North,Suite 201,,Birmingham,AL,35203,(205)323-5311 Hotline: (205)941-4690,,,MH-SA/TX/OP/MD/MC/PA/AH/SP/F92/,4451AL35203
Birmingham Metro Treatment Center,,,151 Industrial Drive,,,Birmingham,AL,35211,(205)941-1799,,Methadone and Buprenorphine Clients Only,SA/TX/DT/MM/DM/BU/OP/SF/,6213AL35211
Bradford Health Services,Birmingham Regional Office Jefferson,,631 Beacon Parkway West,Suite 211,,Birmingham,AL,35209,(800)293-7191 Hotline: (800)293-7191,,,SA/TX/OP/AD/WN/MN/SF/PI/SP/,4046AL35209
Department of Veterans Affairs,Medical Center,,700 South 19th Street,,,Birmingham,AL,35233,(205)933-8101x6136 Intake: (205)933-8101x5510,,,GH/TX/DT/OP/CO/SF/PI/MI/AH/,7990AL35233
Fellowship House Inc,,,1625 12th Avenue South,,,Birmingham,AL,35205,(205)933-2430,,,SA/TX/HH/RL/CO/WN/MN/CJ/SF/SS/,1901AL35205
Jefferson County Committee for Econ,Opportunity Community Sub Abuse Prog,,228 2nd Avenue North,,,Birmingham,AL,35204,(205)787-3040 Intake: (205)428-7362,,,SA/TX/OP/SF/MD/SS/,8957AL35204
Oakmont Center,,,2008 21st Street Ensley,,,Birmingham,AL,35218,(205)787-7100,,,SA/TX/OP/WN/MN/SF/MD/,7561AL35218
Saint Annes Home Inc,,,2772 Hanover Circle,,,Birmingham,AL,35205,(205)933-2402,,,SA/TX/HH/RL/WN/SF/PA/,0615AL35205
Tri County Treatment Center,,,1101 East Park Drive,,,Birmingham,AL,35235,(205)836-3345,,Methadone and Buprenorphine Clients Only,SA/TX/DT/MM/DM/BU/OP/SF/,5975AL35235
