COUNTYFP,YFips,Year,State,CountyName,TtlJlPpr,FmlJlPpr,MlJlPpr,AapiJlPpr,BlckJlPpr,LtnxJlPpr,NtvJlPpr,WhtJlPpr,TtlJlAdmr,TtlJlPrtr,TtlJlPp,FmlJlPp,MlJlPp,AapiJlPp,BlckJlPp,LtnxJlPp,NtvJlPp,WhtJlPp,TtlJlAdm,TtlJlPrt
01055,201701055,2017,AL,Etowah County,1092.97,263.03,1900.76,2293.58,1794.09,4000.84,0.0,539.23,10411.43,275.91,717.0,88.0,611.0,15.0,199.0,95.62,0.0,276.0,6830.0,181.0
01057,201701057,2017,AL,Fayette County,660.62,354.82,1104.75,3846.15,2654.87,552.49,0.0,450.09,6408.99,650.76,67.0,18.0,56.0,1.0,33.0,1.0,0.0,39.0,650.0,66.0
01059,201701059,2017,AL,Franklin County,346.52,196.97,857.2,0.0,476.19,172.22,0.0,347.38,10968.26,306.35,69.0,19.0,88.0,0.0,4.0,6.0,0.0,53.5,2184.0,61.0
01061,201701061,2017,AL,Geneva County,421.73,96.95,690.59,0.0,655.54,312.5,0.0,289.21,8899.21,201.7,69.0,8.0,56.0,0.0,11.0,2.0,0.0,40.0,1456.0,33.0
01063,201701063,2017,AL,Greene County,119.19,152.21,1039.07,0.0,614.55,0.0,0.0,115.74,11362.73,377.43,6.0,4.0,25.0,0.0,25.0,0.0,0.0,1.0,572.0,19.0
01065,201701065,2017,AL,Hale County,435.4,82.41,784.68,0.0,561.9,691.67,0.0,200.06,5660.17,293.89,40.0,4.0,34.0,0.0,31.0,0.83,0.0,7.0,520.0,27.0
01067,201701067,2017,AL,Henry County,450.19,93.81,861.06,0.0,845.17,961.54,0.0,296.36,6973.18,201.15,47.0,5.0,44.0,0.0,25.0,3.0,0.0,21.0,728.0,21.0
01069,201701069,2017,AL,Houston County,491.94,95.61,960.7,0.0,886.28,235.62,0.0,373.67,11866.83,160.97,327.0,33.0,307.0,0.0,166.0,5.08,0.0,166.0,7888.0,107.0
01071,201701071,2017,AL,Jackson County,578.09,307.88,1429.27,0.0,1968.83,455.04,0.0,508.79,13606.35,216.02,190.0,51.0,233.0,0.0,24.0,4.2,0.0,152.0,4472.0,71.0
01073,201701073,2017,AL,Jefferson County,349.35,94.07,646.64,49.89,508.37,249.98,430.99,247.06,16602.0,129.18,1509.0,213.0,1329.0,4.43,974.34,38.3,4.84,531.1,71712.0,558.0
01075,201701075,2017,AL,Lamar County,807.12,142.21,832.14,0.0,702.11,0.0,0.0,496.0,5554.9,118.69,68.0,6.0,35.0,0.0,7.0,0.0,0.0,36.0,468.0,10.0
01077,201701077,2017,AL,Lauderdale County,510.31,121.23,682.72,162.71,1159.73,63.65,0.0,449.49,8670.17,313.26,303.0,37.0,197.0,0.96,75.0,1.0,0.0,227.0,5148.0,186.0
01079,201701079,2017,AL,Lawrence County,614.05,223.73,947.91,0.0,922.05,1070.42,0.0,603.2,7557.51,132.26,130.0,24.0,99.0,0.0,22.0,4.56,0.0,101.0,1600.0,28.0
01081,201701081,2017,AL,Lee County,380.76,98.54,652.96,20.09,901.57,296.3,268.49,222.41,8520.8,250.64,436.0,57.0,370.0,1.03,241.0,12.0,0.98,174.0,9757.0,287.0
01083,201701083,2017,AL,Limestone County,361.67,78.76,543.5,88.65,628.39,456.42,0.0,344.88,7239.79,292.86,226.0,24.0,174.0,1.0,59.0,15.5,0.0,166.0,4524.0,183.0
01085,201701085,2017,AL,Lowndes County,311.96,60.28,581.96,0.0,376.41,263.16,0.0,136.24,623.93,202.78,20.0,2.0,18.0,0.0,18.0,0.3,0.0,2.0,40.0,13.0
01087,201701087,2017,AL,Macon County,79.78,59.0,469.24,0.0,486.1,0.0,0.0,210.19,5808.2,319.13,10.0,4.0,27.0,0.0,50.0,0.0,0.0,4.0,728.0,40.0
01089,201701089,2017,AL,Madison County,344.76,135.71,621.62,64.69,721.28,166.52,47.37,270.02,5818.97,352.99,838.0,167.0,746.0,5.0,462.0,19.0,1.0,426.0,14144.0,858.0
01091,201701091,2017,AL,Marengo County,507.45,111.01,1189.85,0.0,696.81,257.25,0.0,153.37,4758.34,399.3,61.0,7.0,68.0,0.0,45.0,0.71,0.0,8.0,572.0,48.0
01093,201701093,2017,AL,Marion County,536.59,175.92,876.54,0.0,843.37,217.86,2960.0,417.57,0.0,330.62,99.0,16.0,82.0,0.0,7.0,1.0,2.22,71.0,0.0,61.0
01095,201701095,2017,AL,Marshall County,516.98,165.45,841.09,0.0,1269.94,309.81,0.0,492.95,17093.84,335.7,308.0,49.0,252.0,0.0,21.5,23.0,0.0,244.0,10184.0,200.0
01097,201701097,2017,AL,Mobile County,59.29,157.49,1005.57,111.15,923.2,317.33,272.1,378.58,2568.87,3.73,159.0,220.0,1292.0,7.01,903.73,24.85,7.51,580.67,6889.0,10.0
01099,201701099,2017,AL,Monroe County,506.86,100.19,575.52,0.0,1065.66,3208.56,0.0,69.89,1550.39,313.06,68.0,7.0,37.0,0.0,62.0,6.0,0.0,5.0,208.0,42.0
01101,201701101,2017,AL,Montgomery County,428.22,85.36,808.71,41.06,541.48,244.14,601.58,277.37,7960.01,316.31,639.0,67.0,572.0,2.14,492.0,10.0,2.28,135.0,11878.0,472.0
01103,201701103,2017,AL,Morgan County,793.11,252.58,1457.48,0.0,1251.31,866.09,0.0,761.3,18182.42,783.92,604.0,96.0,556.0,0.0,131.8,52.0,0.0,443.0,13847.0,597.0
01105,201701105,2017,AL,Perry County,305.6,32.2,1149.43,0.0,502.51,0.0,0.0,57.14,882.85,203.74,18.0,1.0,32.0,0.0,20.0,0.0,0.0,1.0,52.0,12.0
01107,201701107,2017,AL,Pickens County,1439.39,122.96,1449.06,0.0,2540.97,992.3,0.0,940.8,13787.88,833.33,190.0,8.0,97.0,0.0,138.0,7.73,0.0,65.0,1820.0,110.0
01109,201701109,2017,AL,Pike County,358.13,83.48,732.34,0.0,679.59,0.0,0.0,201.61,13686.57,284.78,83.0,10.0,82.0,0.0,61.0,0.0,0.0,26.0,3172.0,66.0
01111,201701111,2017,AL,Randolph County,481.14,223.28,1076.5,0.0,1765.7,273.46,0.0,196.43,13613.53,106.13,68.0,16.0,75.0,0.0,52.0,1.02,0.0,21.0,1924.0,15.0
01113,201701113,2017,AL,Russell County,606.94,156.26,1181.19,204.92,752.87,354.25,0.0,608.73,10448.92,556.13,227.0,30.0,215.0,1.0,132.0,7.0,0.0,105.0,3908.0,208.0
01115,201701115,2017,AL,St. Clair County,395.83,88.32,571.19,782.53,751.25,227.27,0.0,368.96,9514.09,293.8,225.0,25.0,163.0,4.57,45.0,3.0,0.0,180.0,5408.0,167.0
01117,201701117,2017,AL,Shelby County,355.55,126.13,604.57,0.0,972.22,66.11,0.0,283.02,4665.5,341.33,500.0,91.0,414.0,0.0,190.0,5.0,0.0,310.0,6561.0,480.0
01119,201701119,2017,AL,Sumter County,387.32,0.0,535.85,0.0,357.72,1050.0,1800.0,50.92,2441.31,58.69,33.0,0.0,21.0,0.0,22.0,1.05,0.27,1.05,208.0,5.0
01121,201701121,2017,AL,Talladega County,608.06,251.94,1006.3,0.0,845.23,163.8,0.0,524.1,15360.71,441.18,317.0,67.0,257.0,0.0,154.0,2.0,0.0,168.0,8008.0,230.0
01123,201701123,2017,AL,Tallapoosa County,694.8,148.26,1202.16,0.0,1716.38,616.49,0.0,280.44,11628.0,255.56,174.0,19.0,147.0,0.0,122.0,3.44,0.0,48.0,2912.0,64.0
01125,201701125,2017,AL,Tuscaloosa County,380.42,83.21,667.89,31.13,709.4,124.17,0.0,213.81,7995.68,345.14,550.0,62.0,468.0,0.86,332.0,6.0,0.0,192.0,11560.0,499.0
01127,201701127,2017,AL,Walker County,706.55,183.43,1161.8,544.0,1583.18,349.24,0.0,646.5,3115.79,87.38,283.0,37.0,231.0,1.36,43.11,3.0,0.0,233.0,1248.0,35.0
01129,201701129,2017,AL,Washington County,476.24,132.73,746.41,0.0,760.46,450.0,587.54,309.87,10000.95,342.89,50.0,7.0,39.0,0.0,20.0,0.72,5.0,21.0,1050.0,36.0
01131,201701131,2017,AL,Wilcox County,784.67,86.76,1199.12,0.0,828.68,0.0,0.0,72.56,0.0,0.0,52.0,3.0,38.0,0.0,39.76,0.0,0.0,1.24,0.0,0.0
01133,201701133,2017,AL,Winston County,625.89,68.68,768.3,1785.71,7594.94,225.23,0.0,574.42,12735.56,435.4,92.0,5.0,57.0,1.0,12.0,1.0,0.0,80.0,1872.0,64.0
02013,201702013,2017,AK,Aleutians East Borough,101.73,0.0,48.43,138.79,301.2,0.0,0.0,1034.48,7053.24,33.91,3.0,0.0,1.0,2.0,1.0,0.0,0.0,3.0,208.0,1.0
02016,201702016,2017,AK,Aleutians West Census Area,,,,,,,,,,,,,,,,,,,,
02020,201702020,2017,AK,Anchorage Municipality,,,,,,,,,,,,,,,,,,,,
02050,201702050,2017,AK,Bethel Census Area,44.44,56.0,220.6,0.0,0.0,267.38,42.62,158.79,1386.67,35.56,5.0,3.0,13.0,0.0,0.0,0.5,4.0,2.25,156.0,4.0
02060,201702060,2017,AK,Bristol Bay Borough,970.87,699.3,602.41,0.0,0.0,0.0,1992.03,327.87,58899.68,809.06,6.0,2.0,2.0,0.0,0.0,0.0,5.0,1.0,364.0,5.0
02068,201702068,2017,AK,Denali Borough,,,,,,,,,,,,,,,,,,,,
02070,201702070,2017,AK,Dillingham Census Area,63.37,0.0,0.0,0.0,0.0,0.0,0.0,158.73,0.0,31.69,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
02090,201702090,2017,AK,Fairbanks North Star Borough,,,,,,,,,,,,,,,,,,,,
02100,201702100,2017,AK,Haines Borough,306.56,0.0,372.21,0.0,4000.0,1063.49,330.05,453.86,44635.19,183.94,5.0,0.0,3.0,0.0,1.0,0.67,0.67,6.0,728.0,3.0
02105,201702105,2017,AK,Hoonah-Angoon Census Area,,,,,,,,,,,,,,,,,,,,
02110,201702110,2017,AK,Juneau City and Borough,67.39,,,37.35,0.0,0.0,310.45,4.82,,40.43,15.0,,,0.75,0.0,0.0,9.0,0.75,,9.0
02122,201702122,2017,AK,Kenai Peninsula Borough,50.23,11.1,65.63,112.99,351.42,62.66,168.63,41.41,2199.72,34.37,19.0,2.0,13.0,1.0,1.36,1.0,6.0,13.0,832.0,13.0
02130,201702130,2017,AK,Ketchikan Gateway Borough,,,,,,,,,,,,,,,,,,,,
02150,201702150,2017,AK,Kodiak Island Borough,,,,,,,,,,,,,,,,,,,,
02158,201702158,2017,AK,Kusilvak Census Area,,,,,,,,,,,,,,,,,,,,
02164,201702164,2017,AK,Lake and Peninsula Borough,946.97,201.61,1071.43,0.0,0.0,0.0,292.83,105.45,34469.7,189.39,10.0,1.0,6.0,0.0,0.0,0.0,2.0,0.29,364.0,2.0
02170,201702170,2017,AK,Matanuska-Susitna Borough,4.26,0.0,8.13,0.0,0.0,0.0,53.79,8.54,1551.69,8.53,3.0,0.0,3.0,0.0,0.0,0.0,3.0,5.0,1092.0,6.0
02180,201702180,2017,AK,Nome Census Area,16.01,0.0,120.05,0.0,0.0,0.0,63.53,245.5,12485.99,64.03,1.0,0.0,4.0,0.0,0.0,0.0,3.0,3.0,780.0,4.0
02185,201702185,2017,AK,North Slope Borough,,,,,,,,,,,,,,,,,,,,
02188,201702188,2017,AK,Northwest Arctic Borough,,,,,,,,,,,,,,,,,,,,
02195,201702195,2017,AK,Petersburg Census Area,288.46,102.67,180.83,0.0,0.0,0.0,0.0,259.91,20000.0,48.08,6.0,1.0,2.0,0.0,0.0,0.0,0.0,4.0,416.0,1.0
02198,201702198,2017,AK,Prince of Wales-Hyder Census Area,,,,,,,,,,,,,,,,,,,,
02220,201702220,2017,AK,Sitka City and Borough,120.44,35.69,265.78,206.61,0.0,265.96,149.55,103.33,8052.31,17.21,7.0,1.0,8.0,1.0,0.0,1.0,1.5,4.0,468.0,1.0
02230,201702230,2017,AK,Skagway Municipality,,,,,,,,,,,,,,,,,,,,
02240,201702240,2017,AK,Southeast Fairbanks Census Area,,,,,,,,,,,,,,,,,,,,
02261,201702261,2017,AK,Valdez-Cordova Census Area,,,,,,,,,,,,,,,,,,,,
02275,201702275,2017,AK,Wrangell City and Borough,,,,,,,,,,,,,,,,,,,,
02282,201702282,2017,AK,Yakutat City and Borough,,,,,,,,,,,,,,,,,,,,
02290,201702290,2017,AK,Yukon-Koyukuk Census Area,,,,,,,,,,,,,,,,,,,,
04001,201704001,2017,AZ,Apache County,174.41,44.88,534.81,862.07,887.57,499.62,44.23,445.26,2209.2,118.51,78.0,10.0,120.0,2.0,3.0,13.0,15.0,34.0,988.0,53.0
04003,201704003,2017,AZ,Cochise County,269.82,91.48,494.95,142.93,553.74,307.26,242.13,255.14,5209.38,271.15,202.0,33.0,192.0,3.0,22.0,86.0,2.0,102.0,3900.0,203.0
04005,201704005,2017,AZ,Coconino County,457.82,114.57,745.22,62.64,775.66,221.49,973.57,284.51,12799.82,382.52,456.0,58.0,365.0,1.66,13.0,30.73,245.0,160.0,12749.0,381.0
04007,201704007,2017,AZ,Gila County,470.57,283.44,820.24,910.54,1403.51,615.23,147.14,648.26,9929.76,508.08,138.0,42.0,119.0,2.85,4.0,37.0,8.0,112.0,2912.0,149.0
04009,201704009,2017,AZ,Graham County,464.84,141.71,473.9,0.0,739.37,508.54,683.37,271.35,1524.35,79.57,111.0,15.0,63.0,0.0,4.0,42.0,21.0,32.0,364.0,19.0
04011,201704011,2017,AZ,Greenlee County,428.83,491.92,497.36,0.0,0.0,248.32,0.0,523.01,5145.97,164.93,26.0,14.0,16.0,0.0,0.0,7.0,0.0,15.0,312.0,10.0
04012,201704012,2017,AZ,La Paz County,1490.99,330.17,3241.9,1785.71,2649.01,2474.57,515.46,951.02,59225.51,610.89,144.0,16.0,156.0,2.0,4.0,90.0,8.0,40.0,5720.0,59.0
04013,201704013,2017,AZ,Maricopa County,273.87,83.71,468.05,35.06,815.4,128.3,697.14,304.37,3481.38,208.07,7717.0,1180.0,6591.0,51.85,1417.0,1141.0,377.0,4726.0,98098.0,5863.0
04015,201704015,2017,AZ,Mohave County,404.31,169.46,646.73,91.99,1438.85,236.11,743.49,428.96,7347.48,356.04,469.0,97.0,380.0,1.86,26.0,52.0,22.0,374.0,8523.0,413.0
04017,201704017,2017,AZ,Navajo County,409.3,194.76,642.92,288.29,1291.99,481.21,425.08,359.99,6927.62,291.71,268.0,63.0,213.0,1.6,10.0,37.0,129.0,94.0,4536.0,191.0
04019,201704019,2017,AZ,Pima County,294.05,70.87,509.76,15.28,848.85,340.22,597.16,208.09,4787.66,257.6,1912.0,231.0,1653.0,4.0,232.0,864.0,107.0,676.0,31131.0,1675.0
04021,201704021,2017,AZ,Pinal County,215.02,61.53,320.18,373.83,1343.06,177.72,172.08,125.2,4254.22,125.15,567.0,75.0,454.0,27.05,197.0,154.0,25.05,176.0,11218.0,330.0
04023,201704023,2017,AZ,Santa Cruz County,345.11,61.46,727.87,0.0,740.74,410.49,0.0,179.53,8140.32,298.86,97.0,9.0,98.0,0.0,1.0,100.0,0.0,6.0,2288.0,84.0
04025,201704025,2017,AZ,Yavapai County,426.23,195.76,740.15,103.95,1698.51,1205.97,2147.37,256.79,7289.13,265.8,542.0,127.0,461.0,2.0,24.0,253.0,51.0,258.0,9269.0,338.0
04027,201704027,2017,AZ,Yuma County,334.69,100.17,577.98,179.28,571.43,293.22,2704.58,407.51,5489.99,282.59,424.0,60.0,386.0,3.98,19.0,256.0,39.0,132.0,6955.0,358.0
05001,201705001,2017,AR,Arkansas County,766.8,441.62,1309.0,0.0,1736.11,964.63,0.0,386.55,13134.87,297.7,85.0,25.0,71.0,0.0,50.0,3.0,0.0,30.0,1456.0,33.0
05003,201705003,2017,AR,Ashley County,904.32,110.36,662.03,0.0,2006.27,555.56,0.0,488.15,2099.31,282.6,112.0,7.0,40.0,0.0,64.0,4.0,0.0,41.0,260.0,35.0
05005,201705005,2017,AR,Baxter County,443.12,17.16,320.69,0.0,1680.67,0.0,0.0,358.24,1612.97,270.31,100.0,2.0,35.0,0.0,2.0,0.0,0.0,77.0,364.0,61.0
05007,201705007,2017,AR,Benton County,348.84,145.4,579.27,154.68,572.99,225.41,130.25,404.82,9768.7,287.31,601.0,125.0,500.0,14.0,21.0,66.0,4.0,515.0,16830.0,495.0
05009,201705009,2017,AR,Boone County,408.67,35.05,290.9,0.0,2091.67,168.07,0.0,425.73,5484.03,303.2,93.0,4.0,33.0,0.0,2.51,1.0,0.0,92.0,1248.0,69.0
05011,201705011,2017,AR,Bradley County,226.96,0.0,278.47,0.0,362.88,95.15,0.0,27.95,10228.48,136.18,15.0,0.0,9.0,0.0,7.0,1.0,0.0,1.0,676.0,9.0
05013,201705013,2017,AR,Calhoun County,605.88,252.68,1047.73,0.0,1396.65,0.0,0.0,413.39,1575.28,90.88,20.0,4.0,18.0,0.0,10.0,0.0,0.0,10.0,52.0,3.0
05015,201705015,2017,AR,Carroll County,385.61,36.25,180.27,0.0,10156.25,144.77,0.0,539.68,12219.08,463.94,64.0,3.0,15.0,0.0,13.0,4.0,0.0,71.0,2028.0,77.0
05017,201705017,2017,AR,Chicot County,137.83,64.58,233.03,0.0,359.91,417.83,0.0,80.06,2388.97,0.0,9.0,2.0,8.0,0.0,13.0,1.5,0.0,2.0,156.0,0.0
05019,201705019,2017,AR,Clark County,339.21,0.0,445.19,716.81,452.61,318.98,0.0,191.26,691.72,246.09,51.0,0.0,32.0,0.81,17.0,2.0,0.0,20.0,104.0,37.0
05021,201705021,2017,AR,Clay County,796.64,244.55,660.79,0.0,4705.88,1463.41,0.0,885.77,12657.67,365.13,72.0,11.0,30.0,0.0,4.0,3.0,0.0,77.0,1144.0,33.0
05023,201705023,2017,AR,Cleburne County,550.02,137.59,439.74,0.0,2247.19,520.83,0.0,597.51,0.0,433.14,80.0,10.0,32.0,0.0,2.0,2.0,0.0,83.0,0.0,63.0
05025,201705025,2017,AR,Cleveland County,79.27,0.0,119.43,0.0,114.33,0.0,0.0,46.13,2061.04,39.64,4.0,0.0,3.0,0.0,0.67,0.0,0.0,2.0,104.0,2.0
05027,201705027,2017,AR,Columbia County,475.91,100.25,687.01,0.0,824.56,0.0,0.0,142.34,0.0,237.96,74.0,8.0,52.0,0.0,47.0,0.0,0.0,13.0,0.0,37.0
05029,201705029,2017,AR,Conway County,416.96,61.69,432.97,0.0,193.92,196.46,0.0,335.85,11242.38,262.53,54.0,4.0,28.0,0.0,3.0,1.0,0.0,36.0,1456.0,34.0
05031,201705031,2017,AR,Craighead County,361.04,207.14,745.23,227.53,1402.67,943.48,0.0,291.1,14915.23,446.66,253.0,74.0,256.0,2.38,157.73,31.55,0.0,157.73,10452.0,313.0
05033,201705033,2017,AR,Crawford County,220.06,99.71,215.74,259.07,546.94,216.25,0.0,198.59,0.0,125.03,88.0,20.0,43.0,2.0,3.67,7.0,0.0,68.0,0.0,50.0
05035,201705035,2017,AR,Crittenden County,697.86,220.55,1130.52,0.0,863.08,137.74,0.0,423.5,6612.0,533.85,217.0,36.0,167.0,0.0,147.0,1.0,0.0,55.0,2056.0,166.0
05037,201705037,2017,AR,Cross County,554.81,93.37,490.29,0.0,1115.09,462.96,0.0,540.26,994.83,353.93,58.0,5.0,25.0,0.0,28.0,1.0,0.0,41.0,104.0,37.0
05039,201705039,2017,AR,Dallas County,2465.81,761.99,3094.17,0.0,2904.36,2083.33,0.0,1795.88,25644.47,1389.82,110.0,17.0,69.0,0.0,58.0,3.0,0.0,41.0,1144.0,62.0
05041,201705041,2017,AR,Desha County,341.25,188.88,1052.0,0.0,537.63,134.23,0.0,221.03,11829.94,184.84,24.0,7.0,35.0,0.0,18.0,0.6,0.0,7.0,832.0,13.0
05043,201705043,2017,AR,Drew County,258.94,32.75,443.23,0.0,375.51,199.06,0.0,188.68,8778.82,158.7,31.0,2.0,26.0,0.0,13.0,0.85,0.0,15.0,1051.0,19.0
05045,201705045,2017,AR,Faulkner County,229.5,99.65,331.08,136.87,546.85,156.59,180.51,166.27,5044.3,92.27,194.0,43.0,137.0,1.96,59.0,5.0,1.0,114.0,4264.0,78.0
05047,201705047,2017,AR,Franklin County,333.3,54.84,479.49,1592.36,740.74,787.4,0.0,350.67,1873.71,189.17,37.0,3.0,27.0,2.5,1.0,3.0,0.0,36.0,208.0,21.0
05049,201705049,2017,AR,Fulton County,202.63,0.0,29.22,0.0,0.0,0.0,0.0,555.97,2257.92,390.79,14.0,0.0,1.0,0.0,0.0,0.0,0.0,37.0,156.0,27.0
05051,201705051,2017,AR,Garland County,339.24,112.1,593.89,146.13,1029.87,119.51,237.22,288.1,15788.31,176.41,200.0,34.0,170.0,1.02,60.0,4.0,1.16,140.0,9308.0,104.0
05053,201705053,2017,AR,Grant County,672.3,258.49,776.0,0.0,10344.83,3267.97,1533.33,129.32,8239.96,387.86,78.0,15.0,45.0,0.0,36.0,10.0,0.92,14.0,956.0,45.0
05055,201705055,2017,AR,Greene County,564.26,166.79,628.45,0.0,1063.83,264.55,0.0,579.14,5977.01,442.35,162.0,24.0,90.0,0.0,5.0,2.0,0.0,157.0,1716.0,127.0
05057,201705057,2017,AR,Hempstead County,793.23,43.77,517.0,0.0,1361.21,732.15,0.0,613.92,20034.75,649.69,105.0,3.0,33.0,0.0,56.0,12.0,0.0,45.0,2652.0,86.0
05059,201705059,2017,AR,Hot Spring County,41.35,0.0,67.57,0.0,186.92,437.76,0.0,16.55,2388.94,22.97,9.0,0.0,8.0,0.0,5.0,3.2,0.0,3.0,520.0,5.0
05061,201705061,2017,AR,Howard County,605.16,119.08,820.93,0.0,1084.47,200.8,0.0,518.33,12202.05,358.16,49.0,5.0,32.0,0.0,19.0,2.0,0.0,27.0,988.0,29.0
