cnty_fips,county,ndvi,state,state_fips,tract_fips
,,0.188704138,,,23009966600
,,0.081474271,,,6001428302
,,0.002162434,,,6059063500
,,0.026220055,,,6059099307
,,0.015571771,,,6059099310
,,0.010658366,,,6059099506
,,0.009093581,,,6059099511
,,0.024966106,,,6075035202
,,0.02682611,,,6075035400
,,0.033999968,,,6075047902
,,0.058593056,,,6081608100
,,0.057662474,,,6081608200
,,0.060811892,,,6081608300
,,0.073631175,,,6083001208
,,0.073691666,,,6095252107
,,0.030911784,,,6111980000
,,0.105089573,,,53033009701
,,0.128758362,,,53033009702
,,0.24862032,,,53033027701
,,0.24044191,,,53033027702
,,0.142367962,,,53035090800
,,0.222656011,,,53035090700
,,0.15327512,,,53035090900
,,0.189605261,,,53053072410
,,0.210519046,,,53055960100
,,0.183629421,,,53055960500
,,0.205346377,,,53073011000
,,0.179561183,,,23013971100
,,0.117005182,,,26103000100
,,0.115771111,,,26103000200
,,0.132316545,,,41007950100
,,0.138664369,,,41007950200
,,0.014750308,,,6059099311
,,0.014343445,,,6013358000
,,0.085074976,,,6095251702
,,0.083744586,,,6095252106
,,0.073837106,,,6095252108
,,0.178344908,,,53035091000
,,0.03289968,,,6095251600
,,0.028639113,,,6095250900
,,0.098927876,,,26103000500
,,0.195624401,,,26103000600
,,0.01594135,,,48061012304
,,0.009279829,,,48141001800
,,0.009807913,,,48141001900
,,0.051356716,,,6073011000
,,0.043937767,,,6075012700
,,0.031981442,,,6075012601
,,0.043311678,,,6075012602
,,0.027955228,,,6075035201
,,0.02246944,,,17031081300
,,0.023595012,,,17031081401
,,0.04446174,,,17031081402
,,0.224748136,,,53073010900
,,0.08061826,,,23029955700
,,0.302645577,,,26029000500
,,0.013755344,,,27137002200
,,0.011518375,,,48141001700
93,Ida,0.145190541,Iowa,19,19047070200
93,Ida,0.162174742,Iowa,19,19093090300
111,Lee,0.127408268,Iowa,19,17067954000
111,Lee,0.175097547,Iowa,19,19111490100
111,Lee,0.119246023,Iowa,19,19111490200
111,Lee,0.178279919,Iowa,19,19111490600
111,Lee,0.15591048,Iowa,19,19111490700
111,Lee,0.108021106,Iowa,19,19111491000
111,Lee,0.163147238,Iowa,19,29045950200
111,Lee,0.191027677,Iowa,19,19111491100
161,Sac,0.175955798,Iowa,19,19047070100
161,Sac,0.123676017,Iowa,19,19161080400
29,Cass,0.164105687,Iowa,19,19029190200
29,Cass,0.171821001,Iowa,19,19029190400
29,Cass,0.157694852,Iowa,19,19029190500
41,Clay,0.118590813,Iowa,19,19041080200
95,Iowa,0.15590111,Iowa,19,19107080100
