"ZCTA","minDisRx","timeDrive","countDrive"
1001,0.4,0,115
1002,2.78,0,42
1003,1.44,3.27,39
1005,1.1,0,11
1007,1.04,0,45
1008,15.15,18.59,9
1009,4.82,7.56,55
1010,8.11,12.87,28
1012,13.1,22.75,12
1013,1.14,0,116
1020,0.72,0,128
1022,1.97,8.46,109
1026,17.44,27.7,1
1027,4.99,0,91
1028,1.19,0,132
1029,16.99,27.03,8
1030,0.34,0,115
1031,7.64,13.85,13
1032,14.63,25.19,10
1033,0.92,0,98
1034,13,20.98,12
1035,1.44,0,39
1036,6.27,12.26,88
1037,7.88,22.36,7
1038,4.21,13.06,40
1039,6.89,14.68,18
1040,0.84,0,133
1050,12.23,23.03,18
1053,3.33,7.67,35
1054,6.13,9.18,30
1056,2.61,0,109
1057,0.83,0,58
1060,0.29,0,95
1062,1.95,0,35
1063,0.35,1.19,88
1066,6.23,11.85,39
1068,6.67,14.24,20
1069,3.15,0,83
1071,8.41,16.41,19
1072,8.89,18.27,15
1073,3.38,0,76
1074,2.22,7.28,13
1075,2.06,0,112
1077,0.87,0,88
1079,3.32,4.24,77
1080,3.38,6.52,94
1081,6.77,15.74,12
1082,4.05,0,18
1083,6.13,14.8,19
1085,2.8,0,97
1086,3.2,6.74,73
1088,4.54,11.64,42
1089,1.61,0,124
1092,4.54,12.76,23
1093,5.05,7.84,31
1094,5.53,10.35,9
1095,3.44,0,101
1096,9.37,20.89,9
1097,7.48,9.78,56
1103,0.07,0,132
1104,0.16,0,130
1105,0.57,0,132
1106,1.27,0,124
1107,0.37,0,130
1108,0.5,0,135
1109,1.58,0,131
1118,1.5,0,125
1119,1.11,0,109
1128,0.69,0,112
1129,0.93,0,100
1151,1.41,6.82,113
1199,0.38,1.19,130
1201,1.21,0,15
1220,0.22,0,10
1222,3.01,7.64,6
1223,10.24,24.07,3
1224,1.28,9.43,20
1225,5.9,12.66,19
1226,2.35,0,16
1229,3.92,11.97,16
1230,1.59,0,8
1235,8.01,11.77,11
1236,6.58,10.07,6
1237,6.75,0,17
1238,1.47,0,17
1240,3.22,0,18
1242,2.81,5.01,17
1243,15.37,29.16,1
1244,9.46,20.91,5
1245,9.22,17.41,5
1247,2.05,0,8
1253,12.45,26.09,2
1254,7.16,15.89,17
1255,16.13,29.5,4
1256,7.3,21.87,8
1257,7.07,10.14,5
1258,10.73,24.17,3
1259,7.86,29.4,2
1260,5.12,10.87,16
1262,3.29,11.08,16
1264,6.66,14.1,6
1266,8.04,13.02,16
1267,4.78,0,17
1270,9.85,12.91,14
1301,2.01,0,19
1330,9.94,17.38,1
1331,2.96,0,15
1337,8.52,14.95,18
1338,6.4,16.3,1
1339,10.49,17.9,1
1340,7.6,11.42,9
1341,7.74,14.92,10
1342,4,9.69,30
1343,8.99,23.77,4
1344,9.14,15.52,14
1346,9.67,23.79,1
1347,5.12,11.18,21
1349,6.18,9.7,22
1350,8.94,27.07,4
1351,6.53,9.86,21
1354,4.36,8.2,13
1355,12.95,13.26,13
1360,9.52,18.91,18
1364,2.54,0,4
1366,9.08,16.95,11
1368,8.81,14.21,17
1370,0.96,0,11
1373,0.95,0,41
1375,2.66,0,34
1376,0.99,0,11
1378,9.28,13.91,5
1379,8.8,19.6,2
1420,1.6,0,34
1430,2.75,0,18
1431,7.24,15.26,35
1432,3,10.64,74
1434,6.37,16.22,50
1436,6.5,11.42,20
1438,2.81,7.22,34
1440,0.05,0,34
1450,1.52,0,35
1451,8.06,13.95,81
1452,6.33,15.02,18
1453,0.26,0,66
1460,1.47,0,135
1462,2.42,0,34
1463,1.61,0,47
1464,6.25,16.9,37
1467,7.06,13.22,75
1468,5.24,9.97,35
1469,0.68,0,35
1473,0.81,0,35
1474,3.36,7.42,29
1475,0.46,0,24
1501,1.41,0,95
1503,2.96,7.48,161
1504,2.13,0,172
1505,2.39,0,102
1506,4.95,9.07,23
1507,0.92,0,64
1510,1.04,0,117
1515,2.09,0,36
1516,6.21,13.51,90
1518,2.31,6.57,20
1519,2.19,7.09,95
1520,1.08,0,84
1521,7.26,13.79,15
1522,3.06,13.45,41
1523,3.7,10.5,88
1524,1.18,0,86
1525,1.65,7.43,80
1527,0.5,0,116
1529,3.24,11.43,77
1531,5.49,12.15,12
1532,0.35,0,137
1534,1.47,9.48,95
1535,0.31,0,25
1536,1.24,0,121
1537,0.93,0,93
1540,0.5,0,91
1541,8.61,16.3,71
1542,3.63,6.12,87
1543,1.29,0,52
1545,1.17,0,127
1550,1.49,0,32
1560,4.47,8.43,108
1561,1.1,5.9,89
1562,1.98,0,70
1564,5.62,11.29,86
1566,0.78,0,38
1568,5.65,10.29,137
1569,2.19,0,88
1570,1.38,0,71
1571,3.2,0,27
1581,0.52,0,157
1583,1.41,0,109
1585,5.9,10.11,23
1588,1.68,0,117
1590,4.36,9.89,87
1602,0.52,0,110
1603,0.46,0,118
1604,0.5,0,111
1605,0.56,0,112
1606,1.14,0,122
1607,0.38,0,105
1608,0.17,0,118
1609,1.43,0,109
1610,0.88,0,120
1611,2.27,5.2,92
1612,5.53,8.82,79
1701,0.7,0,178
1702,0.9,0,197
1718,1.73,7.77,104
1719,4.85,10.42,100
1720,1.28,0,146
1721,0.24,0,131
1730,0.86,0,253
1731,1.91,7.81,301
1740,5.12,8.54,139
1741,5.44,10.49,148
1742,0.73,0,188
1745,0.37,3.84,203
1746,1.26,0,105
1747,1.19,4.66,120
1748,1.09,0,164
1749,1.21,0,154
1752,0.43,0,153
1754,0.56,0,142
1756,3.86,10.69,84
1757,1.07,0,106
1760,0.37,0,237
1770,1.14,0,177
1772,0.7,0,187
1773,3.87,9.68,352
1775,1.75,0,111
1776,2.14,0,138
1778,0.65,0,293
1801,0.29,0,444
1803,0.89,0,422
1810,1.99,0,192
1821,0.35,0,215
1824,0.49,0,167
1826,1.12,0,128
1827,4.52,12.22,74
1830,2.14,0,101
1832,1.08,0,128
1833,0.21,0,104
1834,1.9,7.55,94
1835,1.83,0,107
1840,0.13,0,168
1841,0.48,0,151
1843,0.32,0,184
1844,0.67,0,155
1845,1.91,0,149
1850,0.59,0,141
1851,0.09,0,170
1852,0.66,0,175
1854,1.37,0,146
1860,4.2,9.43,89
1862,0.59,0,211
1863,0.84,0,131
1864,1.75,0,248
1867,0.15,0,428
1876,2.66,0,197
1879,1.05,0,104
1880,0.23,0,380
1886,2.02,0,116
1887,1.14,0,334
1890,0.27,0,390
1901,0.34,0,336
1902,0.36,0,325
1904,1.02,0,300
1905,0.74,0,347
1906,0.73,0,359
1907,0.62,0,275
1908,2.95,8.06,237
1913,0.91,0,88
1915,1.8,0,140
1921,4.13,16.96,111
1922,2.12,0,79
1923,1.22,0,195
1929,5.77,7.6,64
1930,1.89,0,51
1937,1.2,4.96,217
1938,0.06,0,66
1940,1.09,0,330
1944,0.76,0,75
1945,0.36,0,197
1949,1.74,0,219
1950,0.77,0,62
1951,3.16,6.95,33
1952,0.42,0,58
1960,1.15,0,227
1966,0.34,0,18
1969,1.13,0,84
1970,0.41,0,239
1982,1.92,0,98
1983,4.99,10.8,170
1984,1.03,4.75,102
1985,1.88,0,94
2019,0.75,0,176
2021,1.15,0,311
2025,0.25,0,75
2026,0.34,0,381
2030,3.95,9.96,223
2032,0.99,0,238
2035,0.19,0,199
2038,0.34,0,122
2043,1.2,0,136
2045,0.72,0,67
2047,3.99,8.21,50
2048,1.59,0,168
2050,2.04,0,51
2052,0.31,0,167
2053,1.56,0,139
2054,0.57,0,149
2056,0.25,0,131
2061,1.34,0,132
2062,0.52,0,317
2066,2.33,0,49
2067,1.18,0,175
2071,1.15,7.53,148
2072,1.46,0,241
2081,0.43,0,202
2090,0.97,0,332
2093,0.76,0,145
2108,0.3,0,443
2109,0.04,0,424
2110,0.21,0,442
2111,0.2,0,445
2113,0.08,0,442
2114,0.14,0,424
2115,0.4,0,435
2116,0.09,0,431
2118,0.3,0,436
2119,0.63,0,418
2120,0.31,0,427
2121,0.37,0,432
2122,1.13,0,444
2124,0.35,0,426
2125,0.25,0,431
2126,0.41,0,432
2127,0.2,0,444
2128,0.93,0,435
2129,0.34,0,434
2130,0.15,0,413
2131,0.35,0,395
2132,0.28,0,390
2134,0.48,0,435
2135,0.1,0,423
2136,0.35,0,386
2138,1.04,0,400
2139,0.24,0,414
2140,0.32,0,409
2141,0.25,0,427
2142,0.12,0,423
2143,0.63,0,416
2144,0.42,0,421
2145,0.18,0,437
2148,0.25,0,433
2149,0.1,0,440
2150,0.32,0,431
2151,0.86,0,412
2152,0.53,0,356
2155,0.45,0,451
2163,0.64,4.47,416
2169,0.3,0,377
2170,0.07,0,417
2171,0.18,0,415
2176,0.44,0,411
2180,0.29,0,442
2184,0.17,0,271
2186,1.77,0,383
2188,0.09,0,300
2189,0.97,0,233
2190,0.46,0,270
2191,0.43,0,234
2199,0.11,0,393
2203,0.1,1.36,448
2210,0.67,0,371
2215,0.39,0,437
2301,0.34,0,207
2302,0.63,0,182
2322,1.2,0,251
2324,1.51,0,103
2330,5.61,0,59
2332,3.02,0,60
2333,0.56,0,110
2338,1.07,0,81
2339,1.65,0,137
2341,1.01,0,90
2343,0.69,0,260
2346,2.61,0,68
2347,4.74,0,64
2351,1.54,0,139
2356,2.57,0,125
2357,0.85,10.18,135
2359,0.68,0,96
2360,5.93,0,38
2364,2.35,0,54
2366,7.8,18.28,11
2367,3.85,9.76,65
2368,1.29,0,303
2370,0.13,0,146
2375,1.22,0,115
2379,1.29,0,119
2382,0.2,0,128
2420,1.13,0,372
2421,1.14,0,404
2445,0.94,0,413
2446,0.1,0,413
2451,0.61,0,377
2452,0.32,0,381
2453,0.66,0,389
2457,1.41,6.9,329
2458,0.36,0,431
2459,0.71,0,415
2460,0.19,0,427
2461,0.1,0,425
2462,0.53,5.11,408
2464,0.42,0,413
2465,0.08,0,402
2466,1.63,3.71,406
2467,0.59,0,404
2468,1.23,2.93,430
2472,0.64,0,424
2474,0.4,0,417
2476,0.73,0,383
2478,0.3,0,419
2481,0.06,0,341
2482,0.32,0,338
2492,0.64,0,401
2493,0.8,0,377
2494,0.07,0,409
2532,0.16,0,39
2534,1.56,6.05,26
2535,8.43,18.69,6
2536,1.84,0,25
2537,0.37,0,51
2538,1.9,0,31
2539,1.43,0,6
2540,2.12,0,19
2542,4.24,12,30
2543,9.47,11.92,14
2553,2.94,12.54,29
2554,1.35,0,3
2556,1.11,0,26
2557,1.17,0,6
2558,1.6,6.85,30
2559,3.84,11.05,29
2561,0.62,11.68,53
2562,1.55,11.16,36
2563,0.73,0,49
2564,7.46,15.14,3
2568,1.07,0,6
2571,1.47,0,41
2575,1,0,6
2576,1.14,0,42
2584,5.97,12.72,3
2601,0.74,0,43
2630,2.63,8.12,43
2631,3.17,12.08,26
2632,1.41,0,46
2633,0.5,0,26
2635,2.47,6.1,42
2637,3.25,4.7,44
2638,1.61,6.28,41
2639,0.93,0,38
2641,3.56,8.12,38
2642,4.25,12.75,15
2643,3.57,7.3,15
2644,2.32,8.88,36
2645,0.96,0,38
2646,0.6,0,37
2647,1.48,5.79,43
2648,2.08,0,44
2649,0.13,0,39
2650,1.74,4.64,26
2651,4.85,10.86,6
2652,6.41,12.67,3
2653,1.48,0,26
2655,2.72,7.73,45
2657,1.02,0,3
2659,2.33,7.85,26
2660,0.64,0,41
2663,2.31,6.46,8
2664,1.38,0,49
2666,6.19,11.33,3
2667,0.19,0,8
