"COUNTYFP","STATEFP","county","areaSqMi","totPopE","alcTotal","alcDens","alcPerCap"
"01001","01","Autauga","   594.440974","   55200","   3"," 0.0050","0.0001"
"01003","01","Baldwin","  1589.786361","  208107","  21"," 0.0132","0.0001"
"01005","01","Barbour","   884.997936","   25782","   3"," 0.0034","0.0001"
"01007","01","Bibb","   622.458487","   22527","   1"," 0.0016","0.0000"
"01009","01","Blount","   644.827765","   57645","   2"," 0.0031","0.0000"
"01011","01","Bullock","   622.802764","   10352","   1"," 0.0016","0.0001"
"01013","01","Butler","   776.834954","   20025","   2"," 0.0026","0.0001"
"01015","01","Calhoun","   605.864719","  115098","   7"," 0.0116","0.0001"
"01017","01","Chambers","   596.558149","   33826","   2"," 0.0034","0.0001"
"01019","01","Cherokee","   553.522518","   25853","  NA","     NA","    NA"
"01021","01","Chilton","   692.848292","   43930","   3"," 0.0043","0.0001"
"01023","01","Choctaw","   913.463257","   13075","   3"," 0.0033","0.0002"
"01025","01","Clarke","  1238.414715","   24387","   3"," 0.0024","0.0001"
"01027","01","Clay","   603.958237","   13378","  NA","     NA","    NA"
"01029","01","Cleburne","   560.101907","   14938","   1"," 0.0018","0.0001"
"01031","01","Coffee","   678.982983","   51288","   3"," 0.0044","0.0001"
"01033","01","Colbert","   592.742209","   54495","   9"," 0.0152","0.0002"
"01035","01","Conecuh","   850.196083","   12514","   1"," 0.0012","0.0001"
"01037","01","Coosa","   650.907651","   10855","  NA","     NA","    NA"
"01039","01","Covington","  1030.551745","   37351","   3"," 0.0029","0.0001"
"01041","01","Crenshaw","   608.862085","   13865","   1"," 0.0016","0.0001"
"01043","01","Cullman","   734.777227","   82313","   6"," 0.0082","0.0001"
"01045","01","Dale","   561.098283","   49255","   1"," 0.0018","0.0000"
"01047","01","Dallas","   978.733436","   40029","   6"," 0.0061","0.0001"
"01049","01","DeKalb","   777.095166","   71200","   3"," 0.0039","0.0000"
"01051","01","Elmore","   618.443666","   81212","   2"," 0.0032","0.0000"
"01053","01","Escambia","   945.218193","   37328","   2"," 0.0021","0.0001"
"01055","01","Etowah","   535.279384","  102939","  10"," 0.0187","0.0001"
"01057","01","Fayette","   627.680807","   16585","  NA","     NA","    NA"
"01059","01","Franklin","   633.915601","   31542","   3"," 0.0047","0.0001"
"01061","01","Geneva","   574.477863","   26491","   1"," 0.0017","0.0000"
"01063","01","Greene","   647.020101","    8426","  NA","     NA","    NA"
"01065","01","Hale","   643.979580","   14887","   1"," 0.0016","0.0001"
"01067","01","Henry","   561.747730","   17124","   2"," 0.0036","0.0001"
"01069","01","Houston","   579.866638","  104352","  10"," 0.0172","0.0001"
"01071","01","Jackson","  1077.982261","   52094","   6"," 0.0056","0.0001"
"01073","01","Jefferson","  1111.376527","  659892","  56"," 0.0504","0.0001"
"01075","01","Lamar","   604.843489","   13933","  NA","     NA","    NA"
"01077","01","Lauderdale","   668.010071","   92585","   9"," 0.0135","0.0001"
"01079","01","Lawrence","   690.681176","   33171","  NA","     NA","    NA"
"01081","01","Lee","   607.547858","  159287","   6"," 0.0099","0.0000"
"01083","01","Limestone","   559.952851","   93052","   2"," 0.0036","0.0000"
"01085","01","Lowndes","   715.907868","   10236","   1"," 0.0014","0.0001"
"01087","01","Macon","   608.824601","   19054","   3"," 0.0049","0.0002"
"01089","01","Madison","   801.579620","  357560","  38"," 0.0474","0.0001"
"01091","01","Marengo","   976.888123","   19538","   3"," 0.0031","0.0002"
"01093","01","Marion","   742.338441","   29965","   3"," 0.0040","0.0001"
"01095","01","Marshall","   565.842417","   95145","   5"," 0.0088","0.0001"
"01097","01","Mobile","  1229.364105","  414659","  40"," 0.0325","0.0001"
"01099","01","Monroe","  1025.663962","   21512","   1"," 0.0010","0.0000"
"01101","01","Montgomery","   785.296717","  226941","  22"," 0.0280","0.0001"
"01103","01","Morgan","   579.387223","  119122","   7"," 0.0121","0.0001"
"01105","01","Perry","   719.652749","    9486","   2"," 0.0028","0.0002"
"01107","01","Pickens","   881.426192","   20298","  NA","     NA","    NA"
"01109","01","Pike","   672.064679","   33403","   4"," 0.0060","0.0001"
"01111","01","Randolph","   580.546693","   22574","   1"," 0.0017","0.0000"
"01113","01","Russell","   641.149658","   58213","   3"," 0.0047","0.0001"
"01115","01","St. Clair","   631.600364","   87306","   2"," 0.0032","0.0000"
"01117","01","Shelby","   785.371736","  211261","  16"," 0.0204","0.0001"
"01119","01","Sumter","   903.821975","   12985","   1"," 0.0011","0.0001"
"01121","01","Talladega","   736.778741","   80565","   3"," 0.0041","0.0000"
"01123","01","Tallapoosa","   716.518475","   40636","   2"," 0.0028","0.0000"
"01125","01","Tuscaloosa","  1320.852975","  206213","  16"," 0.0121","0.0001"
"01127","01","Walker","   790.998486","   64493","   3"," 0.0038","0.0000"
"01129","01","Washington","  1080.200911","   16643","   1"," 0.0009","0.0001"
"01131","01","Wilcox","   888.445978","   10809","   3"," 0.0034","0.0003"
"01133","01","Winston","   612.976417","   23875","   3"," 0.0049","0.0001"
"02013","02","Aleutians East","  6985.040689","    3425","  NA","     NA","    NA"
"02016","02","Aleutians West","  4392.089145","    5750","  NA","     NA","    NA"
"02020","02","Anchorage","  1706.394917","  296112","  54"," 0.0316","0.0002"
"02050","02","Bethel"," 40628.886952","   18040","  NA","     NA","    NA"
"02060","02","Bristol Bay","   481.978380","     890","   1"," 0.0021","0.0011"
"02068","02","Denali"," 12636.902342","    2232","   2"," 0.0002","0.0009"
"02070","02","Dillingham"," 18331.283319","    4975","   1"," 0.0001","0.0002"
"02090","02","Fairbanks North Star","  7329.484307","   99653","  16"," 0.0022","0.0002"
"02100","02","Haines","  2339.580600","    2518","   2"," 0.0009","0.0008"
"02105","02","Hoonah-Angoon","  6556.589383","    2132","   1"," 0.0002","0.0005"
"02110","02","Juneau","  2703.850872","   32330","   8"," 0.0030","0.0002"
"02122","02","Kenai Peninsula"," 16023.237515","   58220","  11"," 0.0007","0.0002"
"02130","02","Ketchikan Gateway","  4856.850874","   13804","   4"," 0.0008","0.0003"
"02150","02","Kodiak Island","  6615.335985","   13649","   1"," 0.0002","0.0001"
"02158","02","Kusilvak"," 17073.832673","    8198","  NA","     NA","    NA"
"02164","02","Lake and Peninsula"," 23897.284359","    1375","   1"," 0.0000","0.0007"
"02170","02","Matanuska-Susitna"," 24713.676278","  103464","  22"," 0.0009","0.0002"
"02180","02","Nome"," 22971.861913","    9925","  NA","     NA","    NA"
"02185","02","North Slope"," 88823.985553","    9797","  NA","     NA","    NA"
"02188","02","Northwest Arctic"," 35648.293201","    7734","  NA","     NA","    NA"
"02195","02","Petersburg","  2900.601461","    3255","   3"," 0.0010","0.0009"
"02198","02","Prince of Wales-Hyder","  5262.747239","    6474","   3"," 0.0006","0.0005"
"02220","02","Sitka","  2870.002014","    8738","   4"," 0.0014","0.0005"
"02230","02","Skagway","   433.930935","    1061","   2"," 0.0046","0.0019"
"02240","02","Southeast Fairbanks"," 24822.659064","    6876","   3"," 0.0001","0.0004"
"02261","02","Valdez-Cordova"," 34221.746962","    9301","   5"," 0.0001","0.0005"
"02275","02","Wrangell","  2555.983403","    2484","  NA","     NA","    NA"
"02282","02","Yakutat","  7623.242991","     689","   1"," 0.0001","0.0015"
"02290","02","Yukon-Koyukuk","145573.224265","    5415","   2"," 0.0000","0.0004"
"04001","04","Apache"," 11197.421131","   71522","   2"," 0.0002","0.0000"
