"","X","GEOID","total_18_39"
"1",1,"00601",4755
"2",2,"00602",10927
"3",3,"00603",13644
"4",4,"00606",1612
"5",5,"00610",7413
"6",6,"00612",16120
"7",7,"00616",3428
"8",8,"00617",6754
"9",9,"00622",1415
"10",10,"00623",11381
"11",11,"00624",6707
"12",12,"00627",9354
"13",13,"00631",443
"14",14,"00637",5998
"15",15,"00638",4351
"16",16,"00641",7260
"17",17,"00646",10284
"18",18,"00647",1346
"19",19,"00650",4388
"20",20,"00652",1044
"21",21,"00653",3162
"22",22,"00656",5116
"23",23,"00659",11361
"24",24,"00660",3868
"25",25,"00662",11198
"26",26,"00664",4397
"27",27,"00667",6121
"28",28,"00669",6955
"29",29,"00670",2361
"30",30,"00674",10759
"31",31,"00676",10738
"32",32,"00677",3670
"33",33,"00678",7550
"34",34,"00680",13884
"35",35,"00682",10883
"36",36,"00683",7965
"37",37,"00685",9958
"38",38,"00687",9607
"39",39,"00688",3702
"40",40,"00690",1343
"41",41,"00692",10526
"42",42,"00693",15545
"43",43,"00694",0
"44",44,"00698",9574
"45",45,"00703",7298
"46",46,"00704",2652
"47",47,"00705",6492
"48",48,"00707",2656
"49",49,"00714",5034
"50",50,"00715",867
"51",51,"00716",7612
"52",52,"00717",4958
"53",53,"00718",7681
"54",54,"00719",8561
"55",55,"00720",6053
"56",56,"00723",4466
"57",57,"00725",22908
"58",58,"00727",16631
"59",59,"00728",12594
"60",60,"00729",15247
"61",61,"00730",8696
"62",62,"00731",3497
"63",63,"00735",3421
"64",64,"00736",13030
"65",65,"00738",8373
"66",66,"00739",10679
"67",67,"00740",411
"68",68,"00741",1571
"69",69,"00745",14688
"70",70,"00751",5349
"71",71,"00754",10855
"72",72,"00757",6475
"73",73,"00765",2112
"74",74,"00766",6752
"75",75,"00767",9309
"76",76,"00769",10868
"77",77,"00771",11110
"78",78,"00772",5773
"79",79,"00773",5274
"80",80,"00775",374
"81",81,"00777",12237
"82",82,"00778",14388
"83",83,"00780",3088
"84",84,"00782",5473
"85",85,"00783",9897
"86",86,"00784",12187
"87",87,"00786",35
"88",88,"00791",13244
"89",89,"00794",9175
"90",90,"00795",13063
"91",91,"00901",2050
"92",92,"00906",86
"93",93,"00907",4000
"94",94,"00909",1657
"95",95,"00911",1960
"96",96,"00912",1666
"97",97,"00913",2497
"98",98,"00915",7857
"99",99,"00917",4861
"100",100,"00918",4843
"101",101,"00920",4541
"102",102,"00921",10012
"103",103,"00923",6803
"104",104,"00924",13573
"105",105,"00925",3137
"106",106,"00926",25493
"107",107,"00927",3942
"108",108,"00934",26
"109",109,"00936",117
"110",110,"00949",22048
"111",111,"00950",0
"112",112,"00951",0
"113",113,"00952",2086
"114",114,"00953",22051
"115",115,"00956",19146
"116",116,"00957",10986
"117",117,"00959",14190
"118",118,"00960",1585
"119",119,"00961",9039
"120",120,"00962",5764
"121",121,"00965",1924
"122",122,"00966",4375
"123",123,"00968",563
"124",124,"00969",12653
"125",125,"00971",7312
"126",126,"00976",16962
"127",127,"00979",4236
"128",128,"00982",3878
"129",129,"00983",10306
"130",130,"00985",8553
"131",131,"00987",16499
"132",132,"01001",4075
"133",133,"01002",16827
"134",134,"01003",11126
"135",135,"01005",1091
"136",136,"01007",3494
"137",137,"01008",234
"138",138,"01009",108
"139",139,"01010",708
"140",140,"01011",408
"141",141,"01012",140
"142",142,"01013",7596
"143",143,"01020",8222
"144",144,"01022",948
"145",145,"01026",100
"146",146,"01027",4984
"147",147,"01028",3728
"148",148,"01029",164
"149",149,"01030",2229
"150",150,"01031",393
"151",151,"01032",78
"152",152,"01033",1471
"153",153,"01034",523
"154",154,"01035",1289
"155",155,"01036",1015
"156",156,"01037",213
"157",157,"01038",547
"158",158,"01039",246
"159",159,"01040",13197
"160",160,"01050",580
"161",161,"01053",343
"162",162,"01054",390
"163",163,"01056",5544
"164",164,"01057",1864
"165",165,"01060",6682
"166",166,"01062",2146
"167",167,"01063",587
"168",168,"01066",0
"169",169,"01068",414
"170",170,"01069",2238
"171",171,"01070",107
"172",172,"01071",342
"173",173,"01072",294
"174",174,"01073",1380
"175",175,"01074",181
"176",176,"01075",6366
"177",177,"01077",2082
"178",178,"01079",124
"179",179,"01080",1097
"180",180,"01081",437
"181",181,"01082",2625
"182",182,"01083",762
"183",183,"01084",23
"184",184,"01085",13561
"185",185,"01086",372
"186",186,"01088",160
"187",187,"01089",8412
"188",188,"01092",464
"189",189,"01093",55
"190",190,"01094",48
"191",191,"01095",3149
"192",192,"01096",660
"193",193,"01097",8
"194",194,"01098",256
"195",195,"01103",968
"196",196,"01104",6914
"197",197,"01105",4303
"198",198,"01106",3178
"199",199,"01107",3982
"200",200,"01108",9040
"201",201,"01109",11688
"202",202,"01118",4379
"203",203,"01119",4587
"204",204,"01128",622
"205",205,"01129",1880
"206",206,"01151",2754
"207",207,"01199",0
"208",208,"01201",11907
"209",209,"01220",2209
"210",210,"01222",226
"211",211,"01223",458
"212",212,"01224",0
"213",213,"01225",714
"214",214,"01226",1446
"215",215,"01229",0
"216",216,"01230",1765
"217",217,"01235",547
"218",218,"01236",189
"219",219,"01237",456
"220",220,"01238",1452
"221",221,"01240",886
"222",222,"01242",143
"223",223,"01243",38
"224",224,"01244",10
"225",225,"01245",140
"226",226,"01247",4300
"227",227,"01253",60
"228",228,"01254",175
"229",229,"01255",186
"230",230,"01256",108
"231",231,"01257",344
"232",232,"01258",106
"233",233,"01259",78
"234",234,"01260",105
"235",235,"01262",218
"236",236,"01264",31
"237",237,"01266",226
"238",238,"01267",3272
"239",239,"01270",151
"240",240,"01301",4904
"241",241,"01330",267
"242",242,"01331",3306
"243",243,"01337",440
"244",244,"01338",22
"245",245,"01339",269
"246",246,"01340",377
"247",247,"01341",271
"248",248,"01342",421
"249",249,"01343",6
"250",250,"01344",324
"251",251,"01346",97
"252",252,"01347",100
"253",253,"01349",433
"254",254,"01350",21
"255",255,"01351",391
"256",256,"01354",512
"257",257,"01355",139
"258",258,"01360",636
"259",259,"01364",1894
"260",260,"01366",285
"261",261,"01367",116
"262",262,"01368",200
"263",263,"01370",866
"264",264,"01373",1011
"265",265,"01375",1623
"266",266,"01376",1374
"267",267,"01378",125
"268",268,"01379",174
"269",269,"01420",13347
"270",270,"01430",1679
"271",271,"01431",710
"272",272,"01432",2426
"273",273,"01434",611
"274",274,"01436",905
"275",275,"01438",252
"276",276,"01440",5808
"277",277,"01450",2151
"278",278,"01451",733
"279",279,"01452",935
"280",280,"01453",11536
"281",281,"01460",2228
"282",282,"01462",2342
"283",283,"01463",2862
"284",284,"01464",2122
"285",285,"01467",103
"286",286,"01468",1039
"287",287,"01469",2153
"288",288,"01473",1682
"289",289,"01474",388
"290",290,"01475",2882
"291",291,"01501",4001
"292",292,"01503",629
"293",293,"01504",2274
"294",294,"01505",1048
"295",295,"01506",870
"296",296,"01507",3286
"297",297,"01510",4514
"298",298,"01515",599
"299",299,"01516",1847
"300",300,"01518",899
"301",301,"01519",1515
"302",302,"01520",3621
"303",303,"01521",555
"304",304,"01522",731
"305",305,"01523",2333
"306",306,"01524",2057
"307",307,"01525",164
"308",308,"01527",3484
"309",309,"01529",746
"310",310,"01531",233
"311",311,"01532",3204
"312",312,"01534",1543
"313",313,"01535",1337
"314",314,"01536",2183
"315",315,"01537",840
"316",316,"01540",3087
"317",317,"01541",594
"318",318,"01542",581
"319",319,"01543",2129
"320",320,"01545",8614
"321",321,"01550",4784
"322",322,"01560",1070
"323",323,"01561",19
"324",324,"01562",3362
"325",325,"01564",1600
"326",326,"01566",1169
"327",327,"01568",1738
"328",328,"01569",3685
"329",329,"01570",4474
"330",330,"01571",3656
"331",331,"01581",4649
"332",332,"01583",2902
"333",333,"01585",1119
"334",334,"01588",2740
"335",335,"01590",1768
"336",336,"01602",7984
"337",337,"01603",6282
"338",338,"01604",13252
"339",339,"01605",9978
"340",340,"01606",5602
"341",341,"01607",2906
"342",342,"01608",1567
"343",343,"01609",9651
"344",344,"01610",11809
"345",345,"01611",730
"346",346,"01612",1506
"347",347,"01701",7705
"348",348,"01702",14641
"349",349,"01718",202
"350",350,"01719",1456
"351",351,"01720",4364
"352",352,"01721",4324
"353",353,"01730",2925
"354",354,"01731",825
"355",355,"01740",903
"356",356,"01741",792
"357",357,"01742",3357
"358",358,"01745",166
"359",359,"01746",3059
"360",360,"01747",1178
"361",361,"01748",3450
"362",362,"01749",4799
"363",363,"01752",11933
"364",364,"01754",2565
"365",365,"01756",1185
"366",366,"01757",7879
"367",367,"01760",9114
"368",368,"01770",612
"369",369,"01772",1787
"370",370,"01773",509
"371",371,"01775",1461
"372",372,"01776",2670
"373",373,"01778",2602
"374",374,"01801",12017
"375",375,"01803",7366
"376",376,"01810",7770
"377",377,"01821",9717
"378",378,"01824",6344
"379",379,"01826",8916
"380",380,"01827",622
"381",381,"01830",8075
"382",382,"01832",7085
"383",383,"01833",1989
"384",384,"01834",1639
"385",385,"01835",3883
"386",386,"01840",1692
"387",387,"01841",16712
"388",388,"01843",9258
"389",389,"01844",14536
"390",390,"01845",8088
"391",391,"01850",6335
"392",392,"01851",10633
"393",393,"01852",11518
"394",394,"01854",12925
"395",395,"01860",1168
"396",396,"01862",3112
"397",397,"01863",2045
"398",398,"01864",3579
"399",399,"01867",5699
"400",400,"01876",7578
"401",401,"01879",3466
"402",402,"01880",6434
"403",403,"01886",4701
"404",404,"01887",6386
"405",405,"01890",4100
"406",406,"01901",574
"407",407,"01902",17377
"408",408,"01904",5246
"409",409,"01905",8641
"410",410,"01906",6964
"411",411,"01907",3131
"412",412,"01908",695
"413",413,"01913",4149
"414",414,"01915",13013
"415",415,"01921",1267
"416",416,"01922",666
"417",417,"01923",6457
"418",418,"01929",658
"419",419,"01930",6880
"420",420,"01937",82
"421",421,"01938",2769
"422",422,"01940",3016
"423",423,"01944",690
"424",424,"01945",2909
"425",425,"01949",2766
"426",426,"01950",3156
"427",427,"01951",515
"428",428,"01952",2208
"429",429,"01960",13820
"430",430,"01966",1184
"431",431,"01969",1371
"432",432,"01970",16172
"433",433,"01982",1877
"434",434,"01983",979
"435",435,"01984",2190
"436",436,"01985",864
"437",437,"02019",4505
"438",438,"02021",5792
"439",439,"02025",1193
"440",440,"02026",6984
"441",441,"02030",992
"442",442,"02032",970
"443",443,"02035",4513
"444",444,"02038",8012
"445",445,"02043",3732
"446",446,"02045",1956
"447",447,"02047",0
"448",448,"02048",6267
"449",449,"02050",5857
"450",450,"02052",2226
"451",451,"02053",3006
"452",452,"02054",1787
"453",453,"02056",2592
"454",454,"02061",2084
"455",455,"02062",8551
"456",456,"02066",2944
"457",457,"02067",3275
"458",458,"02071",637
"459",459,"02072",7359
"460",460,"02081",4081
"461",461,"02090",2715
"462",462,"02093",2622
"463",463,"02108",1814
"464",464,"02109",2137
"465",465,"02110",496
"466",466,"02111",3775
"467",467,"02113",5169
"468",468,"02114",7656
"469",469,"02115",21766
"470",470,"02116",10990
"471",471,"02118",12609
"472",472,"02119",10027
"473",473,"02120",9601
"474",474,"02121",10132
"475",475,"02122",9806
"476",476,"02124",19170
"477",477,"02125",15207
"478",478,"02126",9359
"479",479,"02127",19793
"480",480,"02128",19122
"481",481,"02129",7621
"482",482,"02130",17664
"483",483,"02131",11031
"484",484,"02132",7092
"485",485,"02134",14565
"486",486,"02135",26800
"487",487,"02136",10200
"488",488,"02138",22346
"489",489,"02139",22312
"490",490,"02140",9599
"491",491,"02141",7833
"492",492,"02142",2241
"493",493,"02143",15581
"494",494,"02144",15364
"495",495,"02145",12096
"496",496,"02148",23484
"497",497,"02149",15166
"498",498,"02150",14766
"499",499,"02151",16453
"500",500,"02152",4713
"501",501,"02155",25736
"502",502,"02163",2255
"503",503,"02169",20324
"504",504,"02170",6816
"505",505,"02171",6463
"506",506,"02176",8379
"507",507,"02180",5846
"508",508,"02184",9347
"509",509,"02186",7452
"510",510,"02188",4947
"511",511,"02189",4527
"512",512,"02190",4308
"513",513,"02191",2039
"514",514,"02199",453
"515",515,"02203",0
"516",516,"02210",1711
"517",517,"02215",22129
"518",518,"02301",19688
"519",519,"02302",9966
"520",520,"02322",1347
"521",521,"02324",10526
"522",522,"02330",2590
"523",523,"02332",2444
"524",524,"02333",3755
"525",525,"02338",2037
"526",526,"02339",3126
"527",527,"02341",2815
"528",528,"02343",2771
"529",529,"02346",6307
"530",530,"02347",2485
"531",531,"02351",4938
"532",532,"02356",3241
"533",533,"02357",1018
"534",534,"02359",4516
"535",535,"02360",13595
"536",536,"02364",2969
"537",537,"02366",65
"538",538,"02367",744
"539",539,"02368",10029
"540",540,"02370",5034
"541",541,"02375",2455
"542",542,"02379",1775
"543",543,"02382",4331
"544",544,"02420",2251
"545",545,"02421",2763
"546",546,"02445",7332
"547",547,"02446",14054
"548",548,"02451",6852
"549",549,"02452",7526
"550",550,"02453",13502
"551",551,"02457",1690
"552",552,"02458",3257
"553",553,"02459",4591
"554",554,"02460",2401
"555",555,"02461",1486
"556",556,"02462",271
"557",557,"02464",843
"558",558,"02465",2299
"559",559,"02466",3082
"560",560,"02467",10146
"561",561,"02468",857
"562",562,"02472",13155
"563",563,"02474",8033
"564",564,"02476",3915
"565",565,"02478",5937
"566",566,"02481",4112
"567",567,"02482",2222
"568",568,"02492",3726
"569",569,"02493",2182
"570",570,"02494",2027
"571",571,"02532",2818
"572",572,"02534",273
"573",573,"02535",279
"574",574,"02536",4291
"575",575,"02537",1381
"576",576,"02538",1202
"577",577,"02539",1118
"578",578,"02540",1251
"579",579,"02542",506
"580",580,"02543",137
"581",581,"02553",0
"582",582,"02554",3168
"583",583,"02556",527
"584",584,"02557",1015
"585",585,"02558",212
"586",586,"02559",757
"587",587,"02561",110
"588",588,"02562",753
"589",589,"02563",1893
"590",590,"02564",42
"591",591,"02568",1125
"592",592,"02571",2510
"593",593,"02575",335
"594",594,"02576",1049
"595",595,"02584",0
"596",596,"02601",4599
"597",597,"02630",415
"598",598,"02631",1367
"599",599,"02632",2000
"600",600,"02633",827
"601",601,"02635",678
"602",602,"02637",15
"603",603,"02638",437
"604",604,"02639",722
"605",605,"02641",10
"606",606,"02642",872
"607",607,"02643",0
"608",608,"02644",1164
"609",609,"02645",1870
"610",610,"02646",222
"611",611,"02647",0
"612",612,"02648",1428
"613",613,"02649",2986
"614",614,"02650",75
"615",615,"02651",0
"616",616,"02652",47
"617",617,"02653",719
"618",618,"02655",574
"619",619,"02657",442
"620",620,"02659",126
"621",621,"02660",1152
"622",622,"02663",0
"623",623,"02664",1933
"624",624,"02666",42
"625",625,"02667",625
"626",626,"02668",368
"627",627,"02669",10
"628",628,"02670",187
"629",629,"02671",161
"630",630,"02672",58
"631",631,"02673",2346
"632",632,"02675",1072
"633",633,"02702",1024
"634",634,"02703",11804
"635",635,"02713",7
"636",636,"02715",889
"637",637,"02717",1107
"638",638,"02718",1767
"639",639,"02719",3740
"640",640,"02720",9434
"641",641,"02721",7465
"642",642,"02723",4283
"643",643,"02724",5656
"644",644,"02725",553
"645",645,"02726",3594
"646",646,"02738",728
"647",647,"02739",1272
"648",648,"02740",13177
"649",649,"02743",2598
"650",650,"02744",3817
"651",651,"02745",6740
"652",652,"02746",5254
"653",653,"02747",8957
"654",654,"02748",2328
"655",655,"02760",7149
"656",656,"02762",2136
"657",657,"02763",573
"658",658,"02764",1219
"659",659,"02766",6033
"660",660,"02767",3674
"661",661,"02769",2953
"662",662,"02770",938
"663",663,"02771",3186
"664",664,"02777",4022
"665",665,"02779",1570
"666",666,"02780",14328
"667",667,"02790",3288
"668",668,"02791",21
"669",669,"02802",237
"670",670,"02804",522
"671",671,"02806",2679
"672",672,"02807",69
"673",673,"02808",720
"674",674,"02809",7808
"675",675,"02812",127
"676",676,"02813",1828
"677",677,"02814",1771
"678",678,"02815",9
"679",679,"02816",8569
"680",680,"02817",1202
"681",681,"02818",3234
"682",682,"02822",1790
"683",683,"02825",1096
"684",684,"02826",21
"685",685,"02827",442
"686",686,"02828",1585
"687",687,"02830",1508
"688",688,"02831",802
"689",689,"02832",1057
"690",690,"02833",279
"691",691,"02835",797
"692",692,"02836",37
"693",693,"02837",482
"694",694,"02838",982
"695",695,"02839",431
"696",696,"02840",8831
"697",697,"02841",1572
"698",698,"02842",4212
"699",699,"02852",4838
"700",700,"02857",2023
"701",701,"02858",303
"702",702,"02859",1926
"703",703,"02860",15590
"704",704,"02861",7725
"705",705,"02863",6912
"706",706,"02864",8551
"707",707,"02865",4151
"708",708,"02871",3340
"709",709,"02872",119
"710",710,"02873",40
"711",711,"02874",1223
"712",712,"02875",116
"713",713,"02876",113
"714",714,"02878",3472
"715",715,"02879",4785
"716",716,"02881",6063
"717",717,"02882",4739
"718",718,"02885",2521
"719",719,"02886",7394
"720",720,"02888",5820
"721",721,"02889",7194
"722",722,"02891",5245
"723",723,"02892",1234
"724",724,"02893",9477
"725",725,"02894",179
"726",726,"02895",13158
"727",727,"02896",2459
"728",728,"02898",470
"729",729,"02903",6026
"730",730,"02904",8751
"731",731,"02905",9112
"732",732,"02906",13989
"733",733,"02907",11482
"734",734,"02908",15090
"735",735,"02909",15238
