COUNTYFP,totUnits,occP,vacantP,mobileP,lngTermP,rentalP,unitDens
01001,23315,90.56,9.44,18.35,23.2,25.11,39.22
01003,111945,70.23,29.77,11.68,19.84,26.38,70.42
01005,11937,76.95,23.05,29.19,34.44,38.6,13.49
01007,9161,74.66,25.34,28.54,36.47,24.93,14.72
01009,24222,85.05,14.95,25.22,29.72,21.37,37.56
01011,4526,79.74,20.26,33.38,42.88,24.47,7.27
01013,10026,66.91,33.09,26.18,34.98,30.05,12.91
01015,53682,83.89,16.11,14.72,28.52,30.53,88.6
01017,16981,79.59,20.41,14.0,33.0,32.24,28.46
01019,16531,64.16,35.84,29.19,29.16,21.04,29.87
01021,19586,85.53,14.47,32.33,26.94,25.15,28.27
01023,7344,72.85,27.15,31.59,39.6,20.32,8.04
01025,12741,73.45,26.55,26.53,40.42,32.53,10.29
01027,6802,76.98,23.02,20.94,31.65,27.64,11.26
01029,6806,84.13,15.87,30.3,27.76,24.35,12.15
01031,23088,85.71,14.29,13.6,22.17,35.21,34.0
01033,26466,82.37,17.63,9.28,30.25,27.29,44.65
01035,7143,64.03,35.97,28.74,41.25,23.39,8.4
01037,6558,62.56,37.44,30.73,43.16,18.01,10.08
01039,18907,79.38,20.62,21.58,30.22,25.97,18.35
01041,6790,74.01,25.99,27.3,31.95,26.19,11.15
01043,37652,81.62,18.38,22.88,29.26,25.42,51.24
01045,23065,80.95,19.05,18.21,23.71,39.8,41.11
01047,20336,80.33,19.67,20.46,33.09,40.21,20.78
01049,31462,83.06,16.94,23.86,30.25,28.81,40.49
01051,34004,85.7,14.3,15.07,23.49,26.29,54.98
01053,16595,80.92,19.08,17.52,33.45,31.21,17.56
01055,47705,81.28,18.72,10.96,30.12,28.1,89.12
01057,8470,82.02,17.98,22.27,34.74,22.1,13.49
01059,14152,79.21,20.79,17.38,28.21,29.44,22.32
01061,12768,82.07,17.93,28.42,27.84,29.19,22.23
01063,5075,58.23,41.77,38.5,53.58,31.27,7.84
01065,7777,72.75,27.25,35.86,35.71,28.53,12.08
01067,9096,73.32,26.68,25.92,31.55,17.2,16.19
01069,47187,83.19,16.81,13.72,25.04,34.42,81.38
