"","NAME","FIPS","year","totUnits","occP","vacantP"
"1","Autauga County, Alabama","01001",2010,22135,91.35,8.65
"2","Baldwin County, Alabama","01003",2010,104061,70.32,29.68
"3","Barbour County, Alabama","01005",2010,11829,83.02,16.98
"4","Bibb County, Alabama","01007",2010,8981,88.55,11.45
"5","Blount County, Alabama","01009",2010,23887,90.33,9.67
"6","Bullock County, Alabama","01011",2010,4493,83.35,16.65
"7","Butler County, Alabama","01013",2010,9964,85.22,14.78
"8","Calhoun County, Alabama","01015",2010,53289,88.82,11.18
"9","Chambers County, Alabama","01017",2010,17004,81.94,18.06
"10","Cherokee County, Alabama","01019",2010,16267,65.32,34.68
"11","Chilton County, Alabama","01021",2010,19278,85.89,14.11
"12","Choctaw County, Alabama","01023",2010,7269,80.7,19.3
"13","Clarke County, Alabama","01025",2010,12638,81.79,18.21
"14","Clay County, Alabama","01027",2010,6776,83.68,16.32
"15","Cleburne County, Alabama","01029",2010,6718,87.69,12.31
"16","Coffee County, Alabama","01031",2010,22330,88.89,11.11
"17","Colbert County, Alabama","01033",2010,25758,88.41,11.59
"18","Conecuh County, Alabama","01035",2010,7093,79.3,20.7
"19","Coosa County, Alabama","01037",2010,6478,74,26
"20","Covington County, Alabama","01039",2010,18829,82.48,17.52
"21","Crenshaw County, Alabama","01041",2010,6735,83.92,16.08
"22","Cullman County, Alabama","01043",2010,37054,85.99,14.01
"23","Dale County, Alabama","01045",2010,22677,88.48,11.52
"24","Dallas County, Alabama","01047",2010,20208,84.44,15.56
"25","DeKalb County, Alabama","01049",2010,31109,86.28,13.72
"26","Elmore County, Alabama","01051",2010,32657,86.66,13.34
"27","Escambia County, Alabama","01053",2010,16486,85.87,14.13
"28","Etowah County, Alabama","01055",2010,47454,88.58,11.42
"29","Fayette County, Alabama","01057",2010,8437,84.15,15.85
"30","Franklin County, Alabama","01059",2010,14022,87.62,12.38
"31","Geneva County, Alabama","01061",2010,12687,86.07,13.93
"32","Greene County, Alabama","01063",2010,5007,75.17,24.83
"33","Hale County, Alabama","01065",2010,7655,81.95,18.05
"34","Henry County, Alabama","01067",2010,8891,78.66,21.34
"35","Houston County, Alabama","01069",2010,45319,90.4,9.6
"36","Jackson County, Alabama","01071",2010,24786,86.79,13.21
"37","Jefferson County, Alabama","01073",2010,300552,87.69,12.31
"38","Lamar County, Alabama","01075",2010,7354,82.99,17.01
"39","Lauderdale County, Alabama","01077",2010,43791,88.33,11.67
"40","Lawrence County, Alabama","01079",2010,15229,89.66,10.34
"41","Lee County, Alabama","01081",2010,62391,89.25,10.75
"42","Limestone County, Alabama","01083",2010,34977,89.9,10.1
"43","Lowndes County, Alabama","01085",2010,5140,84.67,15.33
"44","Macon County, Alabama","01087",2010,10259,82.84,17.16
"45","Madison County, Alabama","01089",2010,146447,91.98,8.02
"46","Marengo County, Alabama","01091",2010,10237,83.37,16.63
"47","Marion County, Alabama","01093",2010,14737,85.85,14.15
"48","Marshall County, Alabama","01095",2010,40342,88.77,11.23
"49","Mobile County, Alabama","01097",2010,178196,88.91,11.09
"50","Monroe County, Alabama","01099",2010,11333,81.3,18.7
"51","Montgomery County, Alabama","01101",2010,101641,88.53,11.47
"52","Morgan County, Alabama","01103",2010,51193,91.87,8.13
