STATEFP,TtlMedExpC,TtlMedExpN,Year
01,"$5,916,189,723",5916189723,2019
02,"$2,113,813,188",2113813188,2019
04,"$13,178,700,072",13178700072,2019
05,"$6,899,029,518",6899029518,2019
06,"$88,735,876,561",88735876561,2019
08,"$9,299,627,439",9299627439,2019
09,"$8,598,198,181",8598198181,2019
10,"$2,254,530,291",2254530291,2019
11,"$2,901,113,778",2901113778,2019
12,"$24,504,283,362",24504283362,2019
13,"$10,908,940,349",10908940349,2019
15,"$2,223,706,647",2223706647,2019
16,"$2,162,996,139",2162996139,2019
17,"$18,589,281,649",18589281649,2019
18,"$12,497,966,677",12497966677,2019
19,"$5,268,433,098",5268433098,2019
20,"$3,620,593,018",3620593018,2019
21,"$10,246,350,395",10246350395,2019
22,"$11,832,706,272",11832706272,2019
23,"$2,941,220,236",2941220236,2019
24,"$11,808,141,383",11808141383,2019
25,"$17,622,935,900",17622935900,2019
26,"$18,357,881,940",18357881940,2019
27,"$12,767,857,927",12767857927,2019
28,"$5,526,832,167",5526832167,2019
29,"$10,252,142,000",10252142000,2019
30,"$1,888,589,216",1888589216,2019
31,"$2,178,227,037",2178227037,2019
32,"$3,995,621,251",3995621251,2019
33,"$1,998,974,283",1998974283,2019
34,"$16,092,750,284",16092750284,2019
35,"$5,278,429,102",5278429102,2019
36,"$60,281,679,030",60281679030,2019
37,"$13,780,306,363",13780306363,2019
38,"$1,174,487,740",1174487740,2019
39,"$23,650,438,546",23650438546,2019
40,"$5,119,072,454",5119072454,2019
41,"$9,483,314,126",9483314126,2019
42,"$32,241,387,916",32241387916,2019
44,"$2,599,424,865",2599424865,2019
45,"$6,512,470,426",6512470426,2019
46,"$906,411,270",906411270,2019
47,"$10,160,181,851",10160181851,2019
48,"$40,796,277,797",40796277797,2019
49,"$2,758,078,549",2758078549,2019
50,"$1,639,381,130",1639381130,2019
51,"$11,356,482,821",11356482821,2019
53,"$14,959,703,300",14959703300,2019
54,"$3,950,044,130",3950044130,2019
55,"$9,224,879,953",9224879953,2019
56,"$593,682,253",593682253,2019
