GEOID,state,county_name,fordq_rate
1071950300,AL,Jackson County,13
1071950400,AL,Jackson County,9.4
1071950500,AL,Jackson County,9
1071950600,AL,Jackson County,11.3
1071950700,AL,Jackson County,8.3
1071950800,AL,Jackson County,8.3
1071950900,AL,Jackson County,6.7
1071951000,AL,Jackson County,10.8
1071951100,AL,Jackson County,8.6
1073000100,AL,Jefferson County,16
1073000300,AL,Jefferson County,16
1073000400,AL,Jefferson County,17.8
1073000500,AL,Jefferson County,19.6
1073000700,AL,Jefferson County,20.2
1073000800,AL,Jefferson County,19.3
1073001100,AL,Jefferson County,18.4
1073001200,AL,Jefferson County,20.3
1073001400,AL,Jefferson County,18.7
1073001500,AL,Jefferson County,18.5
1073001600,AL,Jefferson County,19
1073001902,AL,Jefferson County,17.7
1073002000,AL,Jefferson County,17.6
1073002100,AL,Jefferson County,15.4
1073002200,AL,Jefferson County,17
1073002303,AL,Jefferson County,15
1073002305,AL,Jefferson County,6.4
1073002306,AL,Jefferson County,4.4
1073002400,AL,Jefferson County,9.2
1073002700,AL,Jefferson County,4.3
1073002900,AL,Jefferson County,17.5
1073003001,AL,Jefferson County,19
1073003002,AL,Jefferson County,17.5
1073003100,AL,Jefferson County,19.4
1073003200,AL,Jefferson County,19.2
1073003300,AL,Jefferson County,15.1
1073003400,AL,Jefferson County,18.2
1073003500,AL,Jefferson County,18
1073003600,AL,Jefferson County,17.6
1073003700,AL,Jefferson County,19.3
1073003802,AL,Jefferson County,18.9
1073003803,AL,Jefferson County,18.9
1073003900,AL,Jefferson County,17.5
1073004000,AL,Jefferson County,18.6
1073004200,AL,Jefferson County,19.3
1073004500,AL,Jefferson County,3.8
1073004701,AL,Jefferson County,4.1
1073004702,AL,Jefferson County,2.6
1073004800,AL,Jefferson County,2.5
1073004900,AL,Jefferson County,6.3
1073005000,AL,Jefferson County,6.1
1073005101,AL,Jefferson County,19.9
1073005102,AL,Jefferson County,13.9
1073005200,AL,Jefferson County,17.9
1073005302,AL,Jefferson County,12.5
1073005500,AL,Jefferson County,18.3
1073005600,AL,Jefferson County,3.6
1073005701,AL,Jefferson County,17.2
1073005702,AL,Jefferson County,19.4
1073005800,AL,Jefferson County,5.1
1073005903,AL,Jefferson County,13.4
1073005905,AL,Jefferson County,15.8
1073005906,AL,Jefferson County,15.6
1073005907,AL,Jefferson County,14.4
1073005908,AL,Jefferson County,14.5
1073010001,AL,Jefferson County,13
1073010002,AL,Jefferson County,11
1073010100,AL,Jefferson County,21.8
1073010200,AL,Jefferson County,17.5
1073010301,AL,Jefferson County,16.6
1073010302,AL,Jefferson County,20.4
1073010401,AL,Jefferson County,18.4
1073010402,AL,Jefferson County,15.1
1073010500,AL,Jefferson County,17.7
1073010602,AL,Jefferson County,16.7
1073010603,AL,Jefferson County,15.6
1073010701,AL,Jefferson County,2.2
1073010702,AL,Jefferson County,3.6
1073010703,AL,Jefferson County,2
1073010704,AL,Jefferson County,4.1
1073010705,AL,Jefferson County,2.2
1073010706,AL,Jefferson County,4.5
1073010801,AL,Jefferson County,1.4
1073010802,AL,Jefferson County,1.7
1073010803,AL,Jefferson County,9.2
1073010804,AL,Jefferson County,3
1073010805,AL,Jefferson County,4.1
1073010900,AL,Jefferson County,15.1
1073011000,AL,Jefferson County,9.2
1073011103,AL,Jefferson County,7.9
1073011104,AL,Jefferson County,10.2
1073011106,AL,Jefferson County,4.6
1073011107,AL,Jefferson County,5
1073011205,AL,Jefferson County,8.8
1073011206,AL,Jefferson County,7.7
1073011207,AL,Jefferson County,13.1
1073011208,AL,Jefferson County,9
1073011209,AL,Jefferson County,16.2
1073011210,AL,Jefferson County,10.7
1073011300,AL,Jefferson County,8.2
1073011400,AL,Jefferson County,9.5
1073011500,AL,Jefferson County,10.9
1073011600,AL,Jefferson County,6.2
1073011703,AL,Jefferson County,5.7
1073011704,AL,Jefferson County,6.1
1073011705,AL,Jefferson County,7.5
1073011706,AL,Jefferson County,9.8
1073011802,AL,Jefferson County,12.9
1073011803,AL,Jefferson County,16.3
1073011804,AL,Jefferson County,15.8
1073011901,AL,Jefferson County,12.1
1073011902,AL,Jefferson County,17.5
1073011903,AL,Jefferson County,16.1
1073012001,AL,Jefferson County,13.8
1073012002,AL,Jefferson County,9.1
1073012103,AL,Jefferson County,14.5
1073012104,AL,Jefferson County,12.6
1073012200,AL,Jefferson County,11.1
1073012302,AL,Jefferson County,10
1073012303,AL,Jefferson County,13.3
1073012401,AL,Jefferson County,14
1073012402,AL,Jefferson County,14.3
1073012403,AL,Jefferson County,14.7
1073012500,AL,Jefferson County,15.1
1073012602,AL,Jefferson County,10
1073012701,AL,Jefferson County,9
1073012702,AL,Jefferson County,3
1073012801,AL,Jefferson County,4.1
1073012901,AL,Jefferson County,3.2
1073012903,AL,Jefferson County,2.9
1073012905,AL,Jefferson County,2.4
1073012906,AL,Jefferson County,3.7
1073012907,AL,Jefferson County,5
1073012908,AL,Jefferson County,6.7
1073012909,AL,Jefferson County,3.4
1073013002,AL,Jefferson County,18.7
1073013100,AL,Jefferson County,18.8
1073013200,AL,Jefferson County,17.7
1073013300,AL,Jefferson County,20.8
1073013400,AL,Jefferson County,15.9
1073013601,AL,Jefferson County,17.7
1073013801,AL,Jefferson County,20.1
1073013901,AL,Jefferson County,12.8
1073013902,AL,Jefferson County,11.2
1073014000,AL,Jefferson County,9.5
1073014102,AL,Jefferson County,10.4
1073014104,AL,Jefferson County,10.1
1073014105,AL,Jefferson County,9.9
1073014203,AL,Jefferson County,6.6
1073014204,AL,Jefferson County,5.7
1073014301,AL,Jefferson County,8
1073014302,AL,Jefferson County,5.5
1073014403,AL,Jefferson County,3.8
1073014404,AL,Jefferson County,2.9
1073014405,AL,Jefferson County,4.9
1073014406,AL,Jefferson County,3.6
1073014407,AL,Jefferson County,4.2
1075030000,AL,Lamar County,12.9
1075030100,AL,Lamar County,9.7
1075030200,AL,Lamar County,14.5
1077010100,AL,Lauderdale County,7.4
1077010200,AL,Lauderdale County,8.9
1077010300,AL,Lauderdale County,12.2
1077010400,AL,Lauderdale County,6.5
1077010600,AL,Lauderdale County,9.4
1077010700,AL,Lauderdale County,11.9
1077010800,AL,Lauderdale County,10.6
1077010900,AL,Lauderdale County,6.7
1077011000,AL,Lauderdale County,9.9
1077011100,AL,Lauderdale County,5.9
1077011200,AL,Lauderdale County,7.7
1077011300,AL,Lauderdale County,10.1
1077011400,AL,Lauderdale County,8.5
1077011501,AL,Lauderdale County,4.8
1077011502,AL,Lauderdale County,7.4
1077011601,AL,Lauderdale County,6.3
1077011602,AL,Lauderdale County,8.4
1077011700,AL,Lauderdale County,8.6
1077011800,AL,Lauderdale County,8.5
1079979100,AL,Lawrence County,12.1
1079979200,AL,Lawrence County,11.7
1079979300,AL,Lawrence County,11.4
1079979400,AL,Lawrence County,11
1079979500,AL,Lawrence County,10.6
1079979600,AL,Lawrence County,10.5
1079979700,AL,Lawrence County,11.4
1079979800,AL,Lawrence County,10.9
1079979900,AL,Lawrence County,14.5
1081040200,AL,Lee County,3.6
1081040300,AL,Lee County,2.5
1081040400,AL,Lee County,3.5
1081040500,AL,Lee County,3.1
1081040601,AL,Lee County,8.7
1081040602,AL,Lee County,5.2
1081040700,AL,Lee County,2.9
1081040800,AL,Lee County,5
1081040900,AL,Lee County,3.6
1081041000,AL,Lee County,6.3
1081041100,AL,Lee County,5.3
1081041200,AL,Lee County,5.1
1081041300,AL,Lee County,5.8
1081041400,AL,Lee County,12.6
1081041600,AL,Lee County,7.6
1081041700,AL,Lee County,8.6
1081041800,AL,Lee County,8.3
1081041900,AL,Lee County,6.4
1081042001,AL,Lee County,6.5
1081042002,AL,Lee County,5.2
1081042100,AL,Lee County,7.3
1083020100,AL,Limestone County,6.5
1083020200,AL,Limestone County,8.1
1083020300,AL,Limestone County,7.8
1083020401,AL,Limestone County,6.3
1083020402,AL,Limestone County,5.8
1083020500,AL,Limestone County,6.3
1083020600,AL,Limestone County,6.4
1083020700,AL,Limestone County,6.9
1083020801,AL,Limestone County,4.7
1083020802,AL,Limestone County,4.9
1083020900,AL,Limestone County,5.1
1083021000,AL,Limestone County,9.5
1083021100,AL,Limestone County,6.4
1083021200,AL,Limestone County,3.8
1085980800,AL,Lowndes County,13.1
1085981000,AL,Lowndes County,15.4
1085981100,AL,Lowndes County,21.1
1085981200,AL,Lowndes County,20.1
1087981400,AL,Macon County,12
1087981500,AL,Macon County,9.9
1087981600,AL,Macon County,12.1
1087981700,AL,Macon County,7.3
1087981800,AL,Macon County,17.1
1087981900,AL,Macon County,15.2
1087982000,AL,Macon County,13
1087982100,AL,Macon County,16.5
1087982200,AL,Macon County,9.5
1087982300,AL,Macon County,14.8
1089000100,AL,Madison County,2.4
1089000201,AL,Madison County,12.7
1089000202,AL,Madison County,12.7
1089000301,AL,Madison County,12.2
1089000302,AL,Madison County,13
1089000401,AL,Madison County,13.9
1089000402,AL,Madison County,11
1089000501,AL,Madison County,11.9
1089000502,AL,Madison County,12.4
1089000503,AL,Madison County,12.5
1089000601,AL,Madison County,10.5
1089000602,AL,Madison County,10.9
1089000701,AL,Madison County,11.9
1089000702,AL,Madison County,10.2
1089000800,AL,Madison County,8.3
1089000901,AL,Madison County,3.9
1089000902,AL,Madison County,4.3
1089001000,AL,Madison County,3.9
1089001100,AL,Madison County,5.8
1089001200,AL,Madison County,10.3
1089001300,AL,Madison County,9.3
1089001400,AL,Madison County,3.9
1089001500,AL,Madison County,6.4
1089001600,AL,Madison County,1.6
1089001700,AL,Madison County,3
1089001801,AL,Madison County,3.3
1089001901,AL,Madison County,2.5
1089001902,AL,Madison County,1.9
1089001903,AL,Madison County,2.2
1089002000,AL,Madison County,3.7
1089002100,AL,Madison County,7
1089002200,AL,Madison County,6.7
1089002300,AL,Madison County,8.2
1089002400,AL,Madison County,8.2
1089002501,AL,Madison County,7.6
1089002502,AL,Madison County,9.2
1089002600,AL,Madison County,2.5
1089002701,AL,Madison County,3.1
1089002721,AL,Madison County,2.7
1089002722,AL,Madison County,3.7
1089002801,AL,Madison County,4
1089002802,AL,Madison County,4.7
1089002911,AL,Madison County,3.4
1089002912,AL,Madison County,3.8
1089002921,AL,Madison County,3.7
1089002922,AL,Madison County,3.9
1089010100,AL,Madison County,4.2
1089010200,AL,Madison County,4.3
1089010301,AL,Madison County,6.8
1089010302,AL,Madison County,5.7
1089010401,AL,Madison County,6.9
1089010402,AL,Madison County,5.6
1089010501,AL,Madison County,4.2
1089010502,AL,Madison County,4.8
1089010611,AL,Madison County,3.1
1089010612,AL,Madison County,4
1089010621,AL,Madison County,3.8
1089010622,AL,Madison County,5
1089010701,AL,Madison County,4.9
1089010702,AL,Madison County,5.5
1089010800,AL,Madison County,4
1089010901,AL,Madison County,2
1089010902,AL,Madison County,5.8
1089011011,AL,Madison County,2.8
1089011012,AL,Madison County,2.4
1089011013,AL,Madison County,3.2
1089011014,AL,Madison County,2.7
1089011021,AL,Madison County,3.8
1089011022,AL,Madison County,5
1089011100,AL,Madison County,0.7
1089011200,AL,Madison County,3.1
1089011300,AL,Madison County,5.4
1089011400,AL,Madison County,7.1
1091982900,AL,Marengo County,14.3
1091983000,AL,Marengo County,13.5
1091983100,AL,Marengo County,14.5
1091983200,AL,Marengo County,15
1091983300,AL,Marengo County,16.5
1091983400,AL,Marengo County,10.6
1093984000,AL,Marion County,17.5
1093984100,AL,Marion County,15.9
1093984200,AL,Marion County,13.1
1093984300,AL,Marion County,10.5
1093984400,AL,Marion County,11.6
1093984500,AL,Marion County,12.4
1093984600,AL,Marion County,10.4
1093984700,AL,Marion County,11.3
1095030100,AL,Marshall County,11.7
1095030201,AL,Marshall County,6.9
1095030202,AL,Marshall County,6.1
1095030300,AL,Marshall County,7.8
1095030400,AL,Marshall County,7.9
1095030500,AL,Marshall County,8.2
1095030600,AL,Marshall County,6.4
1095030700,AL,Marshall County,8.1
1095030801,AL,Marshall County,8
1095030802,AL,Marshall County,8.2
1095030901,AL,Marshall County,7.4
1095030902,AL,Marshall County,6.6
1095031000,AL,Marshall County,9.8
1095031100,AL,Marshall County,9
1095031200,AL,Marshall County,6.9
1097000200,AL,Mobile County,6.7
1097000401,AL,Mobile County,13.9
1097000402,AL,Mobile County,0
1097000500,AL,Mobile County,18.6
1097000600,AL,Mobile County,18.1
1097000701,AL,Mobile County,19.3
1097000702,AL,Mobile County,15.5
1097000800,AL,Mobile County,16.9
1097000901,AL,Mobile County,8.2
1097000902,AL,Mobile County,7.3
1097000903,AL,Mobile County,13.1
1097001001,AL,Mobile County,10.6
1097001002,AL,Mobile County,8.9
1097001100,AL,Mobile County,17.5
1097001200,AL,Mobile County,19.4
1097001302,AL,Mobile County,20.8
1097001400,AL,Mobile County,18.7
1097001501,AL,Mobile County,19.8
1097001502,AL,Mobile County,23.2
1097001600,AL,Mobile County,20.1
1097001700,AL,Mobile County,13.6
1097001800,AL,Mobile County,15.7
1097001901,AL,Mobile County,13.6
1097001902,AL,Mobile County,14.1
1097002000,AL,Mobile County,10.7
1097002100,AL,Mobile County,17.2
1097002200,AL,Mobile County,17
1097002301,AL,Mobile County,18.1
1097002302,AL,Mobile County,19.7
1097002400,AL,Mobile County,18.1
1097002501,AL,Mobile County,6.1
1097002502,AL,Mobile County,6.5
1097002600,AL,Mobile County,17.6
1097002700,AL,Mobile County,18.1
1097002800,AL,Mobile County,10.9
1097002900,AL,Mobile County,10.1
1097003000,AL,Mobile County,6.4
1097003100,AL,Mobile County,7.1
1097003202,AL,Mobile County,11.2
1097003203,AL,Mobile County,8.7
1097003204,AL,Mobile County,0
1097003205,AL,Mobile County,15.9
1097003301,AL,Mobile County,6.1
1097003302,AL,Mobile County,5
1097003402,AL,Mobile County,15.8
1097003404,AL,Mobile County,15
1097003405,AL,Mobile County,14.3
1097003406,AL,Mobile County,12.3
1097003407,AL,Mobile County,10.8
1097003408,AL,Mobile County,14.5
1097003501,AL,Mobile County,6.5
1097003502,AL,Mobile County,4.2
1097003602,AL,Mobile County,15.6
1097003605,AL,Mobile County,8.1
1097003606,AL,Mobile County,6.8
1097003607,AL,Mobile County,7.3
1097003608,AL,Mobile County,11.3
1097003703,AL,Mobile County,5.6
1097003704,AL,Mobile County,6.8
1097003705,AL,Mobile County,6.3
1097003706,AL,Mobile County,8.8
1097003707,AL,Mobile County,9
1097003708,AL,Mobile County,8
1097003709,AL,Mobile County,8.4
1097003710,AL,Mobile County,9.7
1097003800,AL,Mobile County,12.3
1097003901,AL,Mobile County,21.1
1097003902,AL,Mobile County,15.9
1097004000,AL,Mobile County,16.8
1097004100,AL,Mobile County,18.7
1097004200,AL,Mobile County,23.7
1097004300,AL,Mobile County,24.2
1097004400,AL,Mobile County,16.8
1097004500,AL,Mobile County,20.8
1097004600,AL,Mobile County,24
1097004700,AL,Mobile County,21.9
1097004800,AL,Mobile County,20.8
1097004900,AL,Mobile County,19.5
1097005000,AL,Mobile County,15.7
1097005100,AL,Mobile County,18
1097005200,AL,Mobile County,13.3
1097005300,AL,Mobile County,11.5
1097005400,AL,Mobile County,9.7
1097005500,AL,Mobile County,12.4
1097005600,AL,Mobile County,9
