STATEFP,state.abb,state.name,State Death Cases_2014,State Death Rate_2014,Male Death Cases_2014,Male Death Rate_2014,Female Death Cases_2014,Female Death Rate_2014,American Indian/Alaska Native Death Cases_2014,American Indian/Alaska Native Death Rate_2014,Asian or Pacific Islander Death Cases_2014,Asian or Pacific Islander Death Rate_2014,Black Death Cases_2014,Black Death Rate_2014,Hispanic Death Cases_2014,Hispanic Death Rate_2014,White Death Cases_2014,White Death Rate_2014,Age Less than 50 Death Cases_2014,Age Less than 50 Death Rate_2014,Age 50-74 Death Cases_2014,Age 50-74 Death Rate_2014,Age 75 Plus Death Cases_2014,Age 75 Plus Death Rate_2014,State Death Cases_2015,State Death Rate_2015,Male Death Cases_2015,Male Death Rate_2015,Female Death Cases_2015,Female Death Rate_2015,American Indian/Alaska Native Death Cases_2015,American Indian/Alaska Native Death Rate_2015,Asian or Pacific Islander Death Cases_2015,Asian or Pacific Islander Death Rate_2015,Black Death Cases_2015,Black Death Rate_2015,Hispanic Death Cases_2015,Hispanic Death Rate_2015,White Death Cases_2015,White Death Rate_2015,Age Less than 50 Death Cases_2015,Age Less than 50 Death Rate_2015,Age 50-74 Death Cases_2015,Age 50-74 Death Rate_2015,Age 75 Plus Death Cases_2015,Age 75 Plus Death Rate_2015,State Death Cases_2016,State Death Rate_2016,Male Death Cases_2016,Male Death Rate_2016,Female Death Cases_2016,Female Death Rate_2016,American Indian/Alaska Native Death Cases_2016,American Indian/Alaska Native Death Rate_2016,Asian or Pacific Islander Death Cases_2016,Asian or Pacific Islander Death Rate_2016,Black Death Cases_2016,Black Death Rate_2016,Hispanic Death Cases_2016,Hispanic Death Rate_2016,White Death Cases_2016,White Death Rate_2016,Age Less than 50 Death Cases_2016,Age Less than 50 Death Rate_2016,Age 50-74 Death Cases_2016,Age 50-74 Death Rate_2016,Age 75 Plus Death Cases_2016,Age 75 Plus Death Rate_2016,State Death Cases_2017,State Death Rate_2017,Male Death Cases_2017,Male Death Rate_2017,Female Death Cases_2017,Female Death Rate_2017,American Indian/Alaska Native Death Cases_2017,American Indian/Alaska Native Death Rate_2017,Asian or Pacific Islander Death Cases_2017,Asian or Pacific Islander Death Rate_2017,Black Death Cases_2017,Black Death Rate_2017,Hispanic Death Cases_2017,Hispanic Death Rate_2017,White Death Cases_2017,White Death Rate_2017,Age Less than 50 Death Cases_2017,Age Less than 50 Death Rate_2017,Age 50-74 Death Cases_2017,Age 50-74 Death Rate_2017,Age 75 Plus Death Cases_2017,Age 75 Plus Death Rate_2017
01,AL,Alabama,246,5,165,7,81,3,-1,-1,-1,-1,66,5,-1,-1,179,6,13,1,214,15,-1,-1,187,4,136,6,51,2,-1,-1,-1,-1,50,4,-1,-1,134,4,17,1,148,10,-1,-1,166,3,120,5,46,2,-1,-1,-1,-1,45,3,-1,-1,116,4,-1,-1,135,9,-1,-1,188,4,142,6,46,2,-1,-1,-1,-1,59,5,-1,-1,125,4,11,1,149,10,11,5
02,AK,Alaska,60,8,41,11,19,5,-1,-1,-1,-1,-1,-1,-1,-1,54,11,-1,-1,35,18,-1,-1,41,6,34,9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,28,6,-1,-1,14,7,-1,-1,50,7,33,9,17,5,14,3,-1,-1,-1,-1,-1,-1,33,7,-1,-1,33,17,-1,-1,38,5,24,6,14,4,-1,-1,-1,-1,-1,-1,-1,-1,28,6,-1,-1,10,5,-1,-1
04,AZ,Arizona,553,8,411,12,142,4,25,9,-1,-1,24,8,138,7,349,9,52,1,450,24,32,10,567,8,411,12,156,5,30,10,-1,-1,26,8,135,6,358,9,57,1,459,24,31,9,500,7,355,10,145,4,15,1,-1,-1,29,9,93,4,327,8,33,1,420,22,15,4,480,7,344,10,136,4,19,1,-1,-1,28,8,132,6,281,7,32,1,407,21,25,7
05,AR,Arkansas,160,5,109,8,51,3,-1,-1,-1,-1,23,5,-1,-1,133,6,-1,-1,133,16,-1,-1,183,6,134,9,49,3,-1,-1,-1,-1,29,6,-1,-1,145,7,-1,-1,145,17,-1,-1,184,6,133,9,51,3,-1,-1,-1,-1,32,7,-1,-1,147,7,-1,-1,160,19,-1,-1,169,6,121,8,48,3,-1,-1,-1,-1,24,5,-1,-1,139,6,13,1,143,17,-1,-1
06,CA,California,3409,9,2417,13,992,5,51,24,193,3,397,16,997,7,1750,11,274,1,2800,28,319,22,3245,8,2281,12,964,5,57,27,179,3,370,15,959,6,1660,11,233,1,2645,26,352,23,2917,7,2033,10,884,5,52,25,159,3,367,15,868,6,1449,10,193,1,2406,23,308,20,2630,7,1838,9,792,4,54,26,137,2,330,14,780,5,1305,9,152,1,2154,20,311,20
08,CO,Colorado,352,7,228,9,124,5,-1,-1,-1,-1,25,10,84,7,230,6,23,1,298,21,20,11,362,7,240,9,122,5,-1,-1,-1,-1,36,15,92,8,219,6,16,1,304,20,10,5,385,7,288,10,97,4,-1,-1,-1,-1,36,14,99,8,243,6,20,1,327,22,20,10,386,7,251,9,135,5,-1,-1,-1,-1,47,18,91,8,228,6,31,1,317,21,13,6
09,CT,Connecticut,156,4,116,7,40,2,-1,-1,-1,-1,23,6,38,7,94,4,13,1,133,12,-1,-1,153,4,119,7,34,2,-1,-1,-1,-1,19,1,27,5,102,4,-1,-1,121,11,-1,-1,123,3,91,5,32,2,-1,-1,-1,-1,24,6,27,5,71,3,-1,-1,99,9,-1,-1,130,4,92,5,38,2,-1,-1,-1,-1,24,6,31,5,73,3,-1,-1,103,9,-1,-1
10,DE,Delaware,50,5,44,10,-1,-1,-1,-1,-1,-1,20,10,-1,-1,28,5,-1,-1,31,11,-1,-1,45,5,36,8,-1,-1,-1,-1,-1,-1,13,2,-1,-1,30,5,-1,-1,29,10,-1,-1,47,5,33,7,14,3,-1,-1,-1,-1,17,3,-1,-1,29,5,-1,-1,36,12,-1,-1,49,5,34,7,15,3,-1,-1,-1,-1,17,3,-1,-1,32,5,-1,-1,23,8,-1,-1
11,DC,District of Columbia,92,14,63,20,29,8,-1,-1,-1,-1,80,25,-1,-1,-1,-1,-1,-1,72,48,-1,-1,101,15,74,23,27,8,-1,-1,-1,-1,88,27,-1,-1,11,4,-1,-1,94,62,-1,-1,95,14,67,21,28,8,-1,-1,-1,-1,89,28,-1,-1,-1,-1,-1,-1,71,46,-1,-1,83,12,65,20,18,5,-1,-1,-1,-1,76,24,-1,-1,-1,-1,-1,-1,59,38,-1,-1
12,FL,Florida,1266,6,897,9,369,4,-1,-1,-1,-1,159,5,141,3,945,8,86,1,1072,18,88,7,1270,6,897,9,373,4,-1,-1,12,1,162,5,131,3,945,8,105,1,1074,17,81,7,1222,6,859,9,363,3,-1,-1,-1,-1,173,5,143,3,898,8,76,1,1030,16,103,8,1222,6,870,9,352,3,-1,-1,13,1,171,5,144,3,880,8,99,1,1004,15,110,8
