STATEFP,Year,AnyNaldt,NalPrStdt,NalPresdt,AnyNalfr,NalPrStfr,NalPresfr
01,2017,2015-07-01,2015-07-01,,1.0,1.0,0.0
02,2017,2016-04-01,2016-04-01,,1.0,1.0,0.0
04,2017,2016-09-01,2016-09-01,,1.0,1.0,0.0
05,2017,2015-08-01,2015-08-01,,1.0,1.0,0.0
06,2017,2008-01-01,2014-01-01,,1.0,1.0,0.0
08,2017,2013-06-01,2015-05-01,,1.0,1.0,0.0
09,2017,2003-10-01,2017-10-01,2015-07-01,1.0,0.25,1.0
10,2017,2014-09-01,2014-09-01,,1.0,1.0,0.0
11,2017,2013-04-01,2017-03-01,2017-03-01,1.0,0.83,0.83
12,2017,2015-07-01,2016-07-01,,1.0,1.0,0.0
13,2017,2014-05-01,2014-05-01,,1.0,1.0,0.0
15,2017,2016-07-01,2016-07-01,,1.0,1.0,0.0
16,2017,2015-07-01,,2015-07-01,1.0,0.0,1.0
17,2017,2010-01-01,2010-01-01,,1.0,1.0,0.0
18,2017,2015-05-01,2015-05-01,,1.0,1.0,0.0
19,2017,2016-06-01,2016-06-01,,1.0,1.0,0.0
20,2017,2017-07-01,2017-07-01,,0.5,0.5,0.0
21,2017,2013-07-01,2013-07-01,,1.0,1.0,0.0
22,2017,2015-09-01,2015-09-01,,1.0,1.0,0.0
23,2017,2014-05-01,2015-11-01,,1.0,1.0,0.0
24,2017,2013-10-01,2015-10-01,,1.0,1.0,0.0
25,2017,2012-09-01,2014-07-01,,1.0,1.0,0.0
26,2017,2014-11-01,2017-04-01,,1.0,0.75,0.0
27,2017,2014-06-01,2014-06-01,,1.0,1.0,0.0
28,2017,2015-07-01,2015-07-01,,1.0,1.0,0.0
29,2017,2016-09-01,2016-09-01,,1.0,1.0,0.0
30,2017,2017-05-01,2017-05-01,,0.67,0.67,0.0
31,2017,2015-06-01,,,1.0,0.0,0.0
32,2017,2015-10-01,2015-10-01,,1.0,1.0,0.0
33,2017,2015-07-01,2015-07-01,,1.0,1.0,0.0
34,2017,2013-07-01,2013-07-01,,1.0,1.0,0.0
35,2017,2001-05-01,2016-04-01,2014-04-01,1.0,1.0,1.0
36,2017,2006-04-01,2014-07-01,,1.0,1.0,0.0
37,2017,2013-05-01,2013-05-01,,1.0,1.0,0.0
38,2017,2015-08-01,2015-08-01,2016-04-01,1.0,1.0,1.0
39,2017,2014-04-01,2015-08-01,,1.0,1.0,0.0
40,2017,2013-11-01,,2014-11-01,1.0,0.0,1.0
41,2017,2013-07-01,2013-07-01,2016-04-01,1.0,1.0,1.0
42,2017,2014-12-01,2014-12-01,,1.0,1.0,0.0
44,2017,2012-07-01,2014-04-01,,1.0,1.0,0.0
45,2017,2015-07-01,2016-07-01,,1.0,1.0,0.0
46,2017,2016-07-01,2016-07-01,,1.0,1.0,0.0
47,2017,2014-07-01,2014-07-01,,1.0,1.0,0.0
48,2017,2015-09-01,2015-09-01,,1.0,1.0,0.0
49,2017,2014-06-01,2016-06-01,,1.0,1.0,0.0
50,2017,2013-07-01,2013-07-01,,1.0,1.0,0.0
51,2017,2013-07-01,2015-05-01,,1.0,1.0,0.0
53,2017,2010-07-01,2015-08-01,,1.0,1.0,0.0
54,2017,2015-06-01,2016-07-01,,1.0,1.0,0.0
55,2017,2014-05-01,,,1.0,0.0,0.0
56,2017,2017-07-01,2017-07-01,2017-07-01,0.5,0.5,0.5
