"","COUNTYFP","YFips","Year","State","CountyName","TtlPrPpr","FmlPrPpr","MlPrPpr","AapiPrPpr","BlckPrPpr","LtnxPrPpr","NtvPrPpr","WhtPrPpr","TtlPrAPpr","FmlPrAPpr","MlPrAPpr","AapiPrAPpr","BlckPrAPpr","LtnxPrAPpr","NtvPrAPpr","WhtPrAPpr"
"1","01001",201601001,2016,"AL","Autauga County",502.84,81.34,935.78,NA,1182.23,NA,NA,339.78,236.31,86.77,389.91,NA,489.2,NA,NA,179.02
"2","01003",201601003,2016,"AL","Baldwin County",618.44,78.14,1186.51,0,2281.6,0,0,458.76,353.5,105.19,614.58,0,1240.33,0,0,269.15
"3","01005",201601005,2016,"AL","Barbour County",902.36,NA,NA,NA,NA,NA,NA,NA,240.63,NA,NA,NA,NA,NA,NA,NA
"4","01007",201601007,2016,"AL","Bibb County",341.14,NA,NA,NA,NA,NA,NA,NA,59.04,NA,NA,NA,NA,NA,NA,NA
"5","01009",201601009,2016,"AL","Blount County",288.89,60.91,514.05,NA,1206.9,NA,NA,301.24,145.82,49.83,240.62,NA,NA,NA,NA,158.39
"6","01011",201601011,2016,"AL","Bullock County",590.35,0,1018.38,NA,790.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","01013",201601013,2016,"AL","Butler County",1203.18,238.52,2326.79,0,2084.42,0,0,476.95,585.55,208.71,1024.48,0,1024.84,0,0,222.58
"8","01015",201601015,2016,"AL","Calhoun County",1005.94,150.99,1904.61,0,2198.73,0,0,714.85,564.34,150.99,998.82,0,906.07,0,0,500.39
"9","01017",201601017,2016,"AL","Chambers County",928.2,208.41,1683.95,0,1294.21,0,0,714.47,426.97,190.29,675.48,0,412.81,0,0,467.81
"10","01019",201601019,2016,"AL","Cherokee County",683.34,239.6,1122.05,0,1441.68,0,0,661.36,476.46,226.99,723.1,0,1310.62,0,0,445.4
"11","01021",201601021,2016,"AL","Chilton County",613.95,127.67,1100.93,NA,1446.84,NA,NA,564.45,276.81,106.39,447.47,NA,605.65,NA,NA,258.16
"12","01023",201601023,2016,"AL","Choctaw County",699.39,119.16,1338.23,NA,1056.84,NA,NA,408.26,112.4,0,236.16,0,114.25,0,0,113.4
"13","01025",201601025,2016,"AL","Clarke County",881.51,110.93,1736.16,0,1427.4,0,0,410.36,220.38,NA,NA,NA,NA,NA,NA,NA
"14","01027",201601027,2016,"AL","Clay County",922.09,93.2,1775.86,NA,3035.02,NA,NA,555.96,567.44,163.09,983.92,NA,1556.42,NA,NA,395.03
"15","01029",201601029,2016,"AL","Cleburne County",711.36,172.86,1247.31,NA,2187.5,NA,NA,667.74,485.02,151.25,817.2,0,2187.5,0,0,437.49
"16","01031",201601031,2016,"AL","Coffee County",610.05,42.66,1178.48,NA,2003.61,NA,NA,328.37,204.37,54.85,354.16,NA,525.54,NA,NA,136.47
"17","01033",201601033,2016,"AL","Colbert County",744.34,96.63,1422.53,NA,1570.05,NA,NA,596.41,311.11,73.9,559.49,NA,517.6,NA,NA,278.08
"18","01035",201601035,2016,"AL","Conecuh County",591.33,101.81,1113.83,0,912.75,0,0,299.16,197.11,NA,NA,NA,NA,NA,NA,NA
"19","01037",201601037,2016,"AL","Coosa County",1101.26,147.58,1997.78,0,1516.46,0,0,937.08,457.67,177.1,721.42,0,303.29,0,0,557.79
"20","01039",201601039,2016,"AL","Covington County",1658.4,281.76,3090.04,0,3691.92,0,0,1380.86,970.66,315.92,1651.57,NA,1941.44,NA,NA,838.93
"21","01041",201601041,2016,"AL","Crenshaw County",528.8,NA,NA,NA,NA,NA,NA,NA,137.95,NA,NA,NA,NA,NA,NA,NA
"22","01043",201601043,2016,"AL","Cullman County",651.95,150.87,1144.44,0,1659.75,0,0,674.94,408.43,174.08,638.76,0,691.56,0,0,428.01
"23","01045",201601045,2016,"AL","Dale County",583.88,50.39,1113.82,NA,1467.17,NA,NA,378.11,251.13,69.29,431.76,0,581.06,0,0,180.05
"24","01047",201601047,2016,"AL","Dallas County",781.96,51.05,1645.13,NA,991.89,NA,NA,242.57,134.28,NA,NA,NA,NA,NA,NA,NA
"25","01049",201601049,2016,"AL","DeKalb County",386.37,84.97,683.6,NA,1801.8,NA,NA,424.57,224.27,71.55,374.88,NA,900.9,NA,NA,249.91
"26","01051",201601051,2016,"AL","Elmore County",459.98,42.68,903.56,NA,1077.72,NA,NA,282.43,190.59,42.68,347.81,0,416.93,0,0,128.61
"27","01053",201601053,2016,"AL","Escambia County",1062.91,252.73,1748.09,NA,1501.54,NA,NA,895.19,525.25,180.52,816.79,NA,756.68,NA,NA,437.02
"28","01055",201601055,2016,"AL","Etowah County",1043.97,253.13,1865.54,NA,2328.51,NA,NA,828.64,587.24,282.91,903.38,NA,908.03,NA,NA,551.14
"29","01057",201601057,2016,"AL","Fayette County",701.34,214.68,1186.31,0,1733.65,0,0,569.67,379.89,136.61,622.33,0,551.62,0,0,364.59
"30","01059",201601059,2016,"AL","Franklin County",613.86,143.65,1059.18,NA,1815.98,NA,NA,674.24,568.95,318.08,806.53,NA,1452.78,NA,NA,635.72
"31","01061",201601061,2016,"AL","Geneva County",655.34,132.18,1189.02,NA,1423.49,NA,NA,594.94,412.62,156.21,674.18,NA,711.74,NA,NA,394.24
"32","01063",201601063,2016,"AL","Greene County",750.87,0,1555.64,0,802.27,0,0,578.03,211.78,0,438.77,NA,212.36,NA,NA,NA
