"","NAME","FIPS","year","totPopE","whiteP","blackP","hispanicP","und18P","age35_49P","age50_64P","ovr65P","VetPercent","noHSP","disbP","povP","UnempP","totUnits","occP","vacantP"
"1","Autauga County, Alabama","01001",2000,43671,79.74,17.01,1.4,28.61,24.49,15.57,10.19,11.97,21.28,36.93,10.92,4.88,17662,90.61,9.39
"2","Baldwin County, Alabama","01003",2000,140415,86.08,10.22,1.76,24.44,22.89,17.62,15.46,13.41,17.98,36.21,10.15,4.28,74285,74.49,25.51
"3","Barbour County, Alabama","01005",2000,29038,50.93,46.04,1.65,25.43,22.35,15.61,13.34,9.57,35.35,44.33,26.8,5.66,12461,83.53,16.47
"4","Bibb County, Alabama","01007",2000,20826,76.2,22.01,1.01,25.38,22.04,15.91,11.59,7.7,36.81,45.64,20.61,6.24,8345,88.93,11.07
"5","Blount County, Alabama","01009",2000,51024,92.11,1.17,5.33,25.38,22.19,17.13,12.85,9.18,29.55,43.51,11.74,4.85,21158,91.05,8.95
"6","Bullock County, Alabama","01011",2000,11714,23.6,72.44,2.75,26.11,22.47,14.3,13.17,8.85,39.52,42.56,33.48,8.56,4727,84.32,15.68
"7","Butler County, Alabama","01013",2000,21399,58.08,40.52,0.67,26.89,21.44,15.81,16.38,9.79,32.24,53.14,24.62,10.63,9957,84.34,15.66
"8","Calhoun County, Alabama","01015",2000,112249,78.04,18.46,1.56,23.57,22.4,16.64,14.14,12.45,26.1,44.92,16.11,6.59,51322,88.28,11.72
"9","Chambers County, Alabama","01017",2000,36583,60.44,37.92,0.77,24.65,20.91,16.61,16.2,10.13,35.83,47.41,17.04,6.52,16256,89.33,10.67
"10","Cherokee County, Alabama","01019",2000,23988,92.4,5.53,0.85,22.18,21.44,19.71,15.92,10.04,36.48,45.58,15.56,3.87,14025,69.3,30.7
"11","Chilton County, Alabama","01021",2000,39593,85.61,10.43,2.91,25.67,22,16.52,12.87,9.31,33.81,44.05,15.7,4.3,17651,86.61,13.39
"12","Choctaw County, Alabama","01023",2000,15922,54.79,43.87,0.67,26.05,21.18,18.28,14.65,7.61,35.05,54,24.51,8.77,7839,81.17,18.83
"13","Clarke County, Alabama","01025",2000,27867,55.69,42.77,0.65,28.03,21.35,15.96,13.51,8.08,29.18,44.51,22.59,8.93,12631,83.75,16.25
"14","Clay County, Alabama","01027",2000,14254,81.49,15.57,1.77,23.83,21.26,17.6,16.55,9.83,34.01,46.42,17.11,5.47,6612,87.19,12.81
"15","Cleburne County, Alabama","01029",2000,14123,93.71,3.69,1.4,24.32,22.15,18.03,13.69,8.53,37.09,45.57,13.95,5.31,6189,90.32,9.68
"16","Coffee County, Alabama","01031",2000,43615,75.6,18.23,2.71,24.78,22.18,17.03,14.15,13.53,26.85,40.63,14.7,5.69,19837,87.82,12.18
"17","Colbert County, Alabama","01033",2000,54984,80.88,16.54,1.12,23.78,22.14,17.82,15.45,10.32,26.67,45.33,13.96,5.16,24980,89.92,10.08
"18","Conecuh County, Alabama","01035",2000,14089,55.08,43.23,0.72,25.89,21.14,17.21,15.78,10.08,32.33,50.82,26.59,9.81,7265,79.72,20.28
"19","Coosa County, Alabama","01037",2000,12202,63.45,33.99,1.29,23.69,22.83,16.96,14.43,10.11,34.29,55.53,14.93,7.08,6142,76.23,23.77
"20","Covington County, Alabama","01039",2000,37631,85.69,12.27,0.78,23.54,21.35,17.5,17.91,11.07,31.57,51.73,18.45,7.62,18578,84.19,15.81
"21","Crenshaw County, Alabama","01041",2000,13665,73.49,24.65,0.64,24.68,21.35,17.04,17.11,9.08,39.92,53.96,22.11,5.37,6644,83.94,16.06
"22","Cullman County, Alabama","01043",2000,77483,95.43,0.94,2.18,24.25,21.94,17.06,14.64,10.17,29.59,41.81,13,4.13,35233,87.15,12.85
"23","Dale County, Alabama","01045",2000,49129,72.81,20.16,3.34,26.56,21.85,15.25,11.82,14.77,22.22,38.29,15.09,7.65,21779,86.68,13.32
"24","Dallas County, Alabama","01047",2000,46365,35.41,62.98,0.63,28.58,21.38,15.12,13.86,8.01,29.66,47.86,31.05,11.16,20450,87.24,12.76
"25","DeKalb County, Alabama","01049",2000,64452,90.67,1.65,5.55,24.67,21.68,16.54,13.78,8.25,36.19,46.3,15.39,5.13,28051,89.53,10.47
"26","Elmore County, Alabama","01051",2000,65874,76.47,20.5,1.22,25.69,24.32,15.42,10.73,12.01,22.42,32.45,10.24,4.97,25733,88.36,11.64
"27","Escambia County, Alabama","01053",2000,38440,63.93,30.69,0.99,24.12,22.5,16.61,13.62,9.97,31.48,45.21,20.87,7,16544,86.42,13.58
"28","Etowah County, Alabama","01055",2000,103459,82.08,14.61,1.7,23.83,21.47,16.98,16.01,10.76,25.94,45.86,15.7,5.96,45959,90.55,9.45
"29","Fayette County, Alabama","01057",2000,18495,86.48,11.89,0.82,23.92,21.44,18.05,16.09,9.02,33.91,47.51,17.32,7.67,8472,88.44,11.56
"30","Franklin County, Alabama","01059",2000,31223,87.33,4.19,7.42,24.49,21.05,16.64,14.85,7.61,37.89,50.12,18.89,5.58,13749,89.16,10.84
"31","Geneva County, Alabama","01061",2000,25764,86.09,10.58,1.76,24,21.53,18.31,16.31,10.85,34.38,51.18,19.62,7.97,12115,86.48,13.52
"32","Greene County, Alabama","01063",2000,9974,19.03,79.85,0.58,29.19,21.99,14.5,14.74,6.85,35.17,50.23,34.28,13.11,5117,76.82,23.18
"33","Hale County, Alabama","01065",2000,17185,39.59,58.62,0.91,29.6,21.4,14.37,13.48,6.66,34.77,50.01,26.88,7.99,7756,82.71,17.29
"34","Henry County, Alabama","01067",2000,16310,65.28,32.17,1.53,24.06,21.07,17.92,16.36,11.34,33.32,49.71,19.06,6.31,8037,81.19,18.81
"35","Houston County, Alabama","01069",2000,88787,72.43,24.44,1.26,25.89,22.83,16.18,13.7,10.73,23.47,37.69,15,5.23,39571,90.56,9.44
"36","Jackson County, Alabama","01071",2000,53926,91.24,3.71,1.13,24.17,22.22,18.18,13.37,9.13,32.95,42.61,13.67,5.13,24168,89.44,10.56
"37","Jefferson County, Alabama","01073",2000,662047,57.35,39.22,1.55,24.81,23.19,14.73,13.64,9.57,19.11,38.12,14.77,6.31,288162,91.36,8.64
"38","Lamar County, Alabama","01075",2000,15904,86.11,11.94,1.3,23.58,21.36,17.59,15.9,9.73,34.94,53.43,16.09,7.1,7517,86.04,13.96
"39","Lauderdale County, Alabama","01077",2000,87966,87.81,9.8,1.02,23.04,22.02,16.78,15.05,9.83,23.63,38.51,14.43,5.6,40424,89.27,10.73
"40","Lawrence County, Alabama","01079",2000,34803,77.29,13.25,1.05,25.69,22.7,16.87,12.05,6.78,34.38,48.71,15.25,6.23,15009,90.2,9.8
"41","Lee County, Alabama","01081",2000,115092,73.24,22.55,1.43,23.29,19.49,11.94,8.11,8.48,18.59,29.84,21.81,5.76,50329,90.81,9.19
