Name1,Name2,Name3,Address1,Address2,Address3,City,State,ZIP_Code,Contact,Note,Keys,ID,Longitude,Latitude,Match Score
Shelby County Treatment Center,,,750 Highway 31 South,,,Alabaster,AL,35007,(205)216-0200 Intake: (205)216-0202 Hotlines: (888)950-4325 (888)950HEAL,Methadone and Buprenorphine Clients Only,SA/TX/MM/DM/BU/OP/PH/CO/HV/GL/SE/PW/WN/MN/DU/CJ/SF/SI/PI/AH/SP/,4041AL35007,-86.78738528247351,33.21345712673533,100.0
Northwest Alabama Treatment Center,,,4204 Edmonton Drive,,,Bessemer,AL,35022,(205)425-1200,Methadone Clients Only,SA/TX/DT/MM/DM/OP/PW/SF/,8772AL35022,-86.93995821612879,33.368655188646365,100.0
Birmingham Metro Treatment Center,,,151 Industrial Drive,,,Birmingham,AL,35211,(205)941-1799,Methadone and Buprenorphine Clients Only,SA/TX/DT/MM/DM/BU/OP/SF/,3700AL35211,-86.85061106777306,33.44878773365579,100.0
Tri County Treatment Center,,,1101 East Park Drive,,,Birmingham,AL,35235,(205)836-3345,Methadone and Buprenorphine Clients Only,SA/TX/DT/MM/DM/BU/OP/SF/,6133AL35235,-86.68089638775254,33.58759385235036,100.0
Cullman County Treatment Center,,,1912 Commerce Street NW,,,Cullman,AL,35056,(256)739-5595,Methadone Clients Only,SA/TX/MM/DM/OP/PW/WN/MN/SF/AH/,8656AL35056,-86.87574698347733,34.203834348523365,92.94
Gadsden Treatment Center,,,1107 West Meighan Boulevard,,,Gadsden,AL,35901,(256)549-0807 Hotline: (256)549-0807,Methadone Clients Only,SA/TX/MM/OP/CO/HV/PW/WN/MN/SF/PI/AH/,7491AL35901,-86.01800955180912,34.02036605590047,100.0
Gulf Coast Treatment Center,,,12271 Interchange Road,,,Grand Bay,AL,36541,(251)865-0123,Methadone Clients Only,SA/TX/MM/OP/PW/SF/AH/SP/,6549AL36541,-88.33302599765966,30.500168097438287,98.04
Marion County Treatment Center,,,1879 Military Street South,,,Hamilton,AL,35570,(205)921-3799,Methadone and Buprenorphine Clients Only,SA/TX/MM/BU/OP/CO/HV/GL/PW/WN/MN/CJ/SF/PI/AH/,5447AL35570,-87.98942506591645,34.11666921240657,100.0
Huntsville Metro Treatment Center,,,2227 Drake Avenue,Suite 19,,Huntsville,AL,35805,(256)881-1311,Methadone and Buprenorphine Clients Only,SA/TX/DT/MM/DM/BU/OP/SF/SP/,0408AL35805,-86.60357727045357,34.699692947184474,99.55
Huntsville Recovery Inc,,,4040 Independence Avenue,,,Huntsville,AL,35816,(256)721-1940,Methadone Clients Only,SA/TX/MM/OP/SF/,5931AL35816,-86.62985537509907,34.73753560555071,97.61
Walker Recovery Center Inc,,,2195 North Airport Road,,,Jasper,AL,35504,(205)221-1799 Intake: (205)221-1796,Methadone and Buprenorphine Clients Only,SA/TX/DT/MM/DM/BU/OP/PW/WN/MN/SF/PI/,5511AL35504,-87.2675299762368,33.873530970424305,100.0
Metro Treatment of Alabama LP,Sumter County Treatment Center,,106 Hospital Road,Suite 101,,Livingston,AL,35470,(205)652-4919,Methadone and Buprenorphine Clients Only,SA/TX/DT/MM/DM/BU/OP/SF/,2902AL35470,-88.1828794690595,32.60011634361372,98.04
AltaPointe Health Systems Inc,AltaPointe Medication Assisted Trt,,4211 Government Boulevard,,,Mobile,AL,36693,(251)666-2569 Hotline: (251)473-4423,Methadone Clients Only,SA/TX/MM/OP/SF/MD/PI/SS/AH/,3152AL36693,-88.14878992184461,30.628666822159875,100.0
Mobile Metro Treatment Center,,,1924 Dauphin Island Parkway,Suite C,,Mobile,AL,36605,(251)476-5733,Methadone and Buprenorphine Clients Only,SA/TX/DT/MM/DM/BU/OP/SF/,3401AL36605,-88.089004820398,30.63037535171698,100.0
Montgomery Metro Treatment Center,,,4303 Norman Bridge Road,,,Montgomery,AL,36105,(334)288-5363,Methadone and Buprenorphine Clients Only,SA/TX/DT/MM/DM/BU/OP/SF/SP/,6849AL36105,-86.29911972503125,32.32229104373711,100.0
Shoals Treatment Center,,,3430 North Jackson Highway,,,Muscle Shoals,AL,35660,(256)383-6646 Hotline: (256)383-6646,Methadone Clients Only,SA/TX/MM/OP/CO/HV/PW/WN/MN/SF/PI/SP/,4063AL35660,-87.67615217141622,34.766566746293805,100.0
Calhoun Treatment Center Inc,,,118 East Choccolocco Street,,,Oxford,AL,36203,(256)831-4601,Methadone and Buprenorphine Clients Only,SA/TX/DT/MM/DM/BU/OP/CO/PW/WN/MN/SF/PI/MI/AH/,8190AL36203,-85.83361019652041,33.61507245507789,100.0
Tuscaloosa Treatment Center,,,1001 Mimosa Park Road,,,Tuscaloosa,AL,35405,(205)752-5857 Intake: (205)752-5851,Methadone Clients Only,SA/TX/MM/OP/SF/,5701AL35405,-87.55181937830143,33.15494892799984,100.0
Narcotic Drug Treatment Center Inc,Center for Drug Problems,,520 East 4th Avenue,Suite 102,,Anchorage,AK,99501,(907)276-6430,Methadone Clients Only,SA/TX/DT/MM/DM/OP/SE/PW/MN/CJ/SF/MD/SI/PI/MI/SS/PA/AH/,5954AK99501,-149.87406602589138,61.21851252448672,100.0
IAA Project Special Delivery,,,710 3rd Avenue,,,Fairbanks,AK,99701,(907)452-4222 Intake: (907)452-4222x114,Methadone Clients Only,SA/TX/MM/DM/OP/HV/SF/MD/PI/MI/SS/,1447AK99701,-147.72514051186158,64.84289779087666,100.0
Community Medical Services LLC,Bullhead Drug Abuse Program,,809 Hancock Road,Suite 1,,Bullhead City,AZ,86442,(928)763-7111,Methadone and Buprenorphine Clients Only,SA/TX/DT/MM/DM/BU/OP/SF/MD/MC/,7875AZ86442,-114.62157533253617,35.1080044941549,100.0
BAART Behavioral Health Services Inc,,,908-B West Chandler Boulevard,Suite 4,,Chandler,AZ,85225,(480)899-0200 Hotline: (800)520-5455,Methadone and Buprenorphine Clients Only,SA/TX/DT/MM/DM/BU/OP/PH/CO/HV/GL/SE/PW/WN/MN/CJ/SF/MD/MC/PI/AR/SS/AH/,1544AZ85225,-111.85768785507305,33.30697615784918,98.75
Community Medical Services/Flagstaff,,,2559 East 7th Avenue,,,Flagstaff ,AZ,86004,(928)714-0010,Methadone and Buprenorphine Clients Only,SA/TX/MM/DM/BU/OP/SF/MD/MC/SI/,7340AZ86004,-111.61072106878498,35.211550916195165,100.0
Community Medical Services Inc,Glendale,,5002 West Glendale Avenue,Suite 101,,Glendale,AZ,85301,(623)915-2106,Methadone Clients Only,SA/TX/MM/OP/SF/MD/SI/AH/SP/,3628AZ85301,-112.16665897153628,33.5384775342134,100.0
Th underbird Treatment Center,,,13820 North 51st Avenue,Suite 300,,Glendale,AZ,85306,(602)938-2301 Intake: (602)938-2300,Methadone Clients Only,SA/TX/MM/DM/OP/PW/MN/SF/SP/F30/,6197AZ85306,-112.16849754199787,33.61155498941035,100.0
New Hope Behavioral Health Center Inc,,,215 South Power Road,Suite 114,,Mesa,AZ,85206,(480)981-1022 Intake: (520)297-3329,Methadone Clients Only,SA/TX/DT/MM/DM/OP/AD/SE/PW/WN/SF/MD/MC/PI/MI/SP/F17/F19/F92/,0611AZ85206,-111.68199402824136,33.41130801169729,100.0
Addiction Resources Inc,,,4337 West Indian School Road,Suite 107,,Phoenix,AZ,85031,(602)233-9401,Methadone Clients Only,SA/TX/MM/OP/PW/SF/SP/,0527AZ85031,-112.15314097337105,33.49493254138844,100.0
Alpha Medical Service,,,3825 North 24th Street,,,Phoenix,AZ,85016,(602)955-7997,Methadone Clients Only,SA/TX/MM/DM/OP/SF/MD/MC/AH/,3567AZ85016,-112.03018046544399,33.49137978790857,100.0
Center for Behavioral Hlth Phoenix Inc,,,1501 East Washington Street,,,Phoenix,AZ,85034,(602)253-6553,Methadone and Buprenorphine Clients Only,MH-SA/TX/DT/MM/DM/BU/OP/PW/WN/MN/SF/AH/,8079AZ85034,-112.0496715754502,33.44819354053965,100.0
Community Medical Services Inc,Larkspur Medical Services,,2255 West Northern Avenue,Suite A-100,,Phoenix,AZ,85021,(602)248-8886 Intake: (602)866-9378,Methadone Clients Only,SA/TX/MM/OP/SF/SI/AH/,5564AZ85021,-112.1078220345582,33.553092555866044,100.0
Intensive Treatment Systems LLC,,,19401 North Cave Creek Road,Suite 18,,Phoenix,AZ,85024,(602)996-0099 Intake: (602)248-0550,Methadone Clients Only,SA/TX/DT/MM/DM/OP/SF/MD/AH/,6122AZ85024,-112.03073735909092,33.662711001775534,100.0
Intensive Treatment Systems LLC,,,651 West Coolidge Street,,,Phoenix,AZ,85013,(602)248-0550,Methadone Clients Only,MH-SA/TX/DT/MM/DM/OP/CO/PW/WN/DU/SF/MD/AH/,5171AZ85013,-112.08192413304093,33.50476757320793,100.0
Intensive Treatment Systems LLC,,,7102 West Th omas Road,Suite 107,,Phoenix,AZ,85033,(623)247-1234 Intake: (602)248-0550,Methadone Clients Only,SA/TX/DT/MM/DM/OP/PW/SF/MD/,3765AZ85033,-112.21236599246616,33.480383233856635,100.0
Southwest Behavioral Health Servs Inc,Methadone Maintenance,,1424 South 7th Avenue,Building C,,Phoenix,AZ,85007,(602)258-3600x224 Intake: (602)258-3600,Methadone and Buprenorphine Clients Only,SA/TX/MM/BU/OP/DU/CJ/SF/SI/,7322AZ85007,-112.08253156956421,33.434280461368274,100.0
Valle Del Sol Inc,Behavioral Health Program,,1209 South 1st Avenue,,,Phoenix,AZ,85003,(602)258-6797x194 Intake: (602)523-9312,Methadone and Buprenorphine Clients Only,MH-SA/TX/MM/BU/OP/SE/WN/MN/SF/MD/MC/SI/PI/MI/AH/SP/,2153AZ85003,-112.07508123110743,33.43560467634146,100.0
Community Medical Services,,,3050 North Navajo Drive,,,Prescott Valley,AZ,86314,(928)775-7088,Methadone and Buprenorphine Clients Only,MH-SA/TX/DT/MM/DM/BU/OP/SF/SI/,5984AZ86314,-112.31767454758196,34.58696921569624,100.0
Center for Behavioral Health,Phoenix Inc,,2123 East Southern Avenue,,,Tempe,AZ,85282,(480)897-7044,Methadone and Buprenorphine Clients Only,SA/TX/DT/MM/DM/BU/OP/PW/SF/MC/SI/SP/,5628AZ85282,-111.8954739775022,33.39296254021708,100.0
