Name1,Name2,Address1,Address2,Address3,City,State,ZIP_Code,Contact,Keys,ID
ALEXANDER CITY WORK RELEASE CENTER,,P.O. BOX 705,,,ALEXANDER CITY,AL,35010.0,(205)234-7533,Drug,8219AL35010
CALHOUN-CLEDURNE MENTAL HEALTH CENTER,SUBSTANCE ABUSE PROGRAM,331 EAST EIGHTH AVENUE,,,ANNISTON,AL,36202.0,(205)236-3403,Alcoholism/Drug,3278AL36202
BOARD OF CORRECTIONS DRUG ABUSE,PROGRAM FOR ALABAMA INMATES,313 NORTH MAIN,P.O. BOX 266,,ATMORE,AL,36504.0,(205)368-1675,Drug,8940AL36504
BESSEMER OUTPATIENT TREATMENT CENTER,,1830 THIRD AVENUE,SUITE 308,,BESSEMER,AL,35020.0,(205)426-8020,Drug,4983AL35020
ALETHEIA HOUSE INC,,3600 EIGHTH AVENUE SOUTH,SUITE W-110,,BIRMINGHAM,AL,35222.0,(205)324-6502,Drug,2965AL35222
BIRMINGHAM WORK RELEASE CENTER,,1216 NORTH 25TH STREET,,,BIRMINGHAM,AL,35234.0,(205)934-6220,Drug,4502AL35234
EASTSIDE MENTAL HEALTH CENTER,DRUG ABUSE PROGRAM,7612 FIRST AVENUE NORTH,,,BIRMINGHAM,AL,35206.0,(205)836-7283,Drug,1359AL35206
ENGLE DAY TREATMENT CENTER,,1700 SEVENTH AVENUE SOUTH,,,BIRMINGHAM,AL,35294.0,(205)934-3476,Drug,0810AL35294
JEFFERSON COUNTY SENIOR CITIZENS PROG,YWCA DRUG PROGRAM,309 23RD STREET NORTH,,,BIRMINGHAM,AL,35203.0,(205)251-2992,Drug,3423AL35203
SMOLIAN PSYCHIATRIC OUTPATIENT CLINIC,,1700 SEVENTH AVENUE SOUTH,,,BIRMINGHAM,AL,35294.0,(205)934-2717,Drug,8003AL35294
TASC DRUG ABUSE TREATMENT CLINIC,,2127 SEVENTH AVENUE NORTH,,,BIRMINGHAM,AL,35203.0,(205)354-2747,Drug,0459AL35203
UNIVERSITY HOSPITAL INPATIENT UNIT,,UNIVERSITY STATION,619 19TH STREET SOUTH,,BIRMINGHAM,AL,35294.0,(205)934-5114,Drug,9294AL35294
UNIVERSITY OF ALABAMA IN BIRMINGHAM,METHADONE CLINIC,3015 SEVENTH AVENUE SOUTH,,,BIRMINGHAM,AL,35233.0,(205)934-5060,Drug,9242AL35233
WESTERN MENTAL HEALTH CENTER,DRUG ABUSE TREATMENT PROGRAM,1701 AVENUE D ENSLEY,,,BIRMINGHAM,AL,35233.0,(205)788-7770,Drug,7611AL35233
\CHEANA MENTAL HEALTH CENTER,CHILDERSBURG WORK RELEASE CENTER,P.O. DRAWER F,,,CHILDERSBURG,AL,35150.0,(205)245-2201EXT.266,Drug,9694AL35150
NORTH CENTRAL ALABAMA,SUBSTANCE ABUSE TREATMENT PROGRAM,HIGHWAY 31 SOUTH,,,DECATUR,AL,35601.0,(205)355-6091,Alcoholism/Drug,4316AL35601
WIREGRASS MENTAL HEALTH CENTER,CROSSROADS DRUG ABUSE TREATMENT PROG,104 PREVATT,,,DOTHAN,AL,36302.0,(205)794-0731EXT.259,Drug,3288AL36302
EUFAULA ADOLESCENT ADJUSTMENT CENTER,DRUG TREATMENT PROGRAM,P.O. BOX 270,,,EUFAULA,AL,36027.0,(205)687-5741EXT.229,Drug,5506AL36027
BALDWIN COUNTY MENTAL HEALTH CENTER,RAP-PORT,318 1/2 MAGNOLIA AVENUE,,,FAIRHOPE,AL,36532.0,(205)937-2010,Drug,5843AL36532
NORTHWEST ALABAMA MENTAL HEALTH CENTER,SUBSTANCE ABUSE PROGRAM,TEMPLE AVENUE,P.O. BOX 264,,FAYETTE,AL,35555.0,(205)932-3216,Alcoholism/Drug,8034AL35555
RIVERBEND CENTER FOR MENTAL HEALTH,CATALYST DRUG ABUSE PROGRAM,635 WEST COLLEGE STREET,P.O. BOX 941,,FLORENCE,AL,35630.0,(205)764-3431,Drug,6282AL35630
THE BRIDGE,DRUG ALERT CENTER,101 HOKE,,,GADSDEN,AL,35903.0,(205)546-6324,Drug,5869AL35903
HAMILTON WORK RELEASE CENTER,,ROUTE 1,BOX 16,,HAMILTON,AL,35570.0,(205)921-3832,Drug,4155AL35570
HUNTSVILLE MADISON COUNTY,MENTAL HEALTH CENTER,660 GALLATIN STREET,,,HUNTSVILLE,AL,35801.0,(205)533-1970,Alcoholism/Drug,1652AL35801
NORTHWEST ALABAMA MENTAL HEALTH CENTER,SUBSTANCE ABUSE PROGRAM,13 HIGHWAY 78 WEST,,,JASPER,AL,35501.0,(205)387-0541EXT.8,Alcoholism/Drug,9208AL35501
MOBILE MENTAL HEALTH CENTER INC,GATEWAY DRUG TREATMENT CENTER,507 STANTON ROAD,,,MOBILE,AL,36617.0,(205)473-4423EXT.72,Drug,6406AL36617
PRICHARD WORK RELEASE,,P.O. BOX 66711,,,MOBILE,AL,36606.0,(205)452-0098,Drug,8739AL36606
SOUTHWEST ALABAMA MENTAL HEALTH CENTER,ALCOHOLISM AND DRUG TREATMENT,,,,MONROEVILLE,AL,36460.0,(205)743-4837,Alcoholism/Drug,9132AL36460
DESMOND PLACE,OUTPATIENT UNIT,838 SOUTH COURT STREET,,,MONTGOMERY,AL,36101.0,(205)264-4555,Drug,6143AL36101
DESMOND PLACE,MONTGOMERY WORK RELEASE CENTER,P.O. BOX 75,,,MOUNT MEIGS,AL,36057.0,(205)832-5930,Drug,3616AL36057
SEARCY STATE HOSPITAL,ALCOHOL ANO DRUG ABUSE CENTER,,,,MOUNT VERNON,AL,36560.0,(205)829-2841,Alcoholism/Drug,1768AL36560
KARMA DRUG ABUSE AND PREVENTION CENTER,,1101 FITZPATRICK AVENUE,,,OPELIKA,AL,36801.0,(205)749-3346,Drug,4945AL36801
CAHABA CENTER,,910 JEFFERSON DAVIS AVENUE,,,SELMA,AL,36701.0,(205)875-7878,Alcoholism/Drug,4094AL36701
CHEAHA MENTAL HEALTH CENTER,THE CHRYSALIS DRUG ABUSE PROGRAM,P.O. BOX 1248,,,SYLACAUGA,AL,35150.0,(205)245-2201EXT.227,Drug,3057AL35150
EAST CENTRAL ALABAMA MH CENTER,DRUG ABUSE TREATMENT AND PREV CENTER,1305 SOUTH BRUNDIDGE STREET,,,TROY,AL,36081.0,(205)566-6022,Alcoholism/Drug,9176AL36081
BRYCE HOSPITAL,SUBSTANCE ABUSE UNIT,STATION 3,BUILDING 3SW,,TUSCALOOSA,AL,35401.0,(205)752-7411EXT.335,Alcoholism/Drug,4543AL35401
INDIAN RIVERS MENTAL HEALTH CENTER,ALCOHOL AND DRUG ABUSE PROGRAM,1915 SIXTH STREET,,,TUSCALOOSA,AL,35401.0,(205)345-1600,Alcoholism/Drug,6330AL35401
LITTLE ISRAEL INC,DRUG ABUSE AND ALCOHOLISM REHAB,ROUTE 2,,,TUSCUMBIA,AL,35674.0,(205)381-0930,Alcoholism/Drug,9519AL35674
ALTERNATIVES INC,,P.O. BOX 341,,,WETUMPKA,AL,36092.0,(205)567-7083,Drug,0158AL36092
WETUMPKA/TUTWILER WORK RELEASE,,105 ROCKFORD ROAD,,,WETUMPKA,AL,36092.0,(205)567-5169,Drug,2179AL36092
KILA INC,FAIRBANKS DRUG TREATMENT CENTER,3098 AIRPORT WAY,,,FAIRBANKS,AK,99701.0,(907)456-5715,Drug,5250AK99701
VALDEZ COUNSELING CENTER,,1200 MEALS AVENUE,,,VALDEZ,AK,99686.0,(907)835-2838,Alcoholism/Drug,4445AK99686
TRI-CITY MENTAL HEALTH CENTER,(TCMHCl APACHE JUNCTION OFFICE,11015 APACHE TRAIL,,,APACHE JUNCTION,AZ,85220.0,(602)986-1637EXT.415,Alcoholism/Drug,7044AZ85220
