Name1,Name2,Address1,Address2,Address3,City,State,ZIP_Code,Contact,Keys,ID,Longitude,Latitude,Match Score
ALEXANDER CITY WORK RELEASE CENTER,,P.O. BOX 705,,,ALEXANDER CITY,AL,35010.0,(205)234-7533,Drug,8052AL35010,-85.94697009999999,32.94387830000005,98.0
CALHOUN-CLEDURNE MENTAL HEALTH CENTER,SUBSTANCE ABUSE PROGRAM,331 EAST EIGHTH AVENUE,,,ANNISTON,AL,36202.0,(205)236-3403,Alcoholism/Drug,9574AL36202,-85.82320389609005,33.65447733255786,92.1
BOARD OF CORRECTIONS DRUG ABUSE,PROGRAM FOR ALABAMA INMATES,313 NORTH MAIN,P.O. BOX 266,,ATMORE,AL,36504.0,(205)368-1675,Drug,4147AL36504,-87.49384208931309,31.02807967971455,96.39
BESSEMER OUTPATIENT TREATMENT CENTER,,1830 THIRD AVENUE,SUITE 308,,BESSEMER,AL,35020.0,(205)426-8020,Drug,3860AL35020,-86.95420001968832,33.40187362245112,99.55
ALETHEIA HOUSE INC,,3600 EIGHTH AVENUE SOUTH,SUITE W-110,,BIRMINGHAM,AL,35222.0,(205)324-6502,Drug,0940AL35222,-86.77660204785722,33.51525090332864,100.0
BIRMINGHAM WORK RELEASE CENTER,,1216 NORTH 25TH STREET,,,BIRMINGHAM,AL,35234.0,(205)934-6220,Drug,2988AL35234,-86.80781524945421,33.53099496733904,99.89
EASTSIDE MENTAL HEALTH CENTER,DRUG ABUSE PROGRAM,7612 FIRST AVENUE NORTH,,,BIRMINGHAM,AL,35206.0,(205)836-7283,Drug,4549AL35206,-86.72956079557987,33.560802817140186,100.0
ENGLE DAY TREATMENT CENTER,,1700 SEVENTH AVENUE SOUTH,,,BIRMINGHAM,AL,35294.0,(205)934-3476,Drug,7986AL35294,-86.80379373942938,33.50404389919923,99.52
JEFFERSON COUNTY SENIOR CITIZENS PROG,YWCA DRUG PROGRAM,309 23RD STREET NORTH,,,BIRMINGHAM,AL,35203.0,(205)251-2992,Drug,6445AL35203,-86.80278722088653,33.518375851494625,100.0
SMOLIAN PSYCHIATRIC OUTPATIENT CLINIC,,1700 SEVENTH AVENUE SOUTH,,,BIRMINGHAM,AL,35294.0,(205)934-2717,Drug,7986AL35294,-86.80379373942938,33.50404389919923,99.52
TASC DRUG ABUSE TREATMENT CLINIC,,2127 SEVENTH AVENUE NORTH,,,BIRMINGHAM,AL,35203.0,(205)354-2747,Drug,9413AL35203,-86.80790330179104,33.521227116768365,100.0
UNIVERSITY HOSPITAL INPATIENT UNIT,,UNIVERSITY STATION,619 19TH STREET SOUTH,,BIRMINGHAM,AL,35294.0,(205)934-5114,Drug,9148AL35294,-86.79395949335618,33.507154992390824,89.98
UNIVERSITY OF ALABAMA IN BIRMINGHAM,METHADONE CLINIC,3015 SEVENTH AVENUE SOUTH,,,BIRMINGHAM,AL,35233.0,(205)934-5060,Drug,4319AL35233,-86.78563183625263,33.512554730491125,100.0
WESTERN MENTAL HEALTH CENTER,DRUG ABUSE TREATMENT PROGRAM,1701 AVENUE D ENSLEY,,,BIRMINGHAM,AL,35233.0,(205)788-7770,Drug,0622AL35233,-86.89663064987236,33.5153641847499,97.75
\CHEANA MENTAL HEALTH CENTER,CHILDERSBURG WORK RELEASE CENTER,P.O. DRAWER F,,,CHILDERSBURG,AL,35150.0,(205)245-2201EXT.266,Drug,9055AL35150,-86.33149366322267,33.23783883133104,87.14
NORTH CENTRAL ALABAMA,SUBSTANCE ABUSE TREATMENT PROGRAM,HIGHWAY 31 SOUTH,,,DECATUR,AL,35601.0,(205)355-6091,Alcoholism/Drug,3030AL35601,-86.9733521206789,34.56428700697557,100.0
WIREGRASS MENTAL HEALTH CENTER,CROSSROADS DRUG ABUSE TREATMENT PROG,104 PREVATT,,,DOTHAN,AL,36302.0,(205)794-0731EXT.259,Drug,5262AL36302,-85.37289210076162,31.19621774586184,90.11
EUFAULA ADOLESCENT ADJUSTMENT CENTER,DRUG TREATMENT PROGRAM,P.O. BOX 270,,,EUFAULA,AL,36027.0,(205)687-5741EXT.229,Drug,9873AL36027,-85.14400039999998,31.890744000000037,98.0
BALDWIN COUNTY MENTAL HEALTH CENTER,RAP-PORT,318 1/2 MAGNOLIA AVENUE,,,FAIRHOPE,AL,36532.0,(205)937-2010,Drug,4975AL36532,-87.90439347037146,30.524349756456854,100.0
NORTHWEST ALABAMA MENTAL HEALTH CENTER,SUBSTANCE ABUSE PROGRAM,TEMPLE AVENUE,P.O. BOX 264,,FAYETTE,AL,35555.0,(205)932-3216,Alcoholism/Drug,0378AL35555,-87.82450964688255,33.70648785113781,99.4
RIVERBEND CENTER FOR MENTAL HEALTH,CATALYST DRUG ABUSE PROGRAM,635 WEST COLLEGE STREET,P.O. BOX 941,,FLORENCE,AL,35630.0,(205)764-3431,Drug,3136AL35630,-87.68471101656769,34.79534349627563,100.0
THE BRIDGE,DRUG ALERT CENTER,101 HOKE,,,GADSDEN,AL,35903.0,(205)546-6324,Drug,6467AL35903,-85.98263859096106,34.002112533898114,98.82
HAMILTON WORK RELEASE CENTER,,ROUTE 1,BOX 16,,HAMILTON,AL,35570.0,(205)921-3832,Drug,2868AL35570,-87.9814538706869,34.16934986431702,100.0
HUNTSVILLE MADISON COUNTY,MENTAL HEALTH CENTER,660 GALLATIN STREET,,,HUNTSVILLE,AL,35801.0,(205)533-1970,Alcoholism/Drug,6560AL35801,-86.58389013125804,34.72501459257208,99.55
NORTHWEST ALABAMA MENTAL HEALTH CENTER,SUBSTANCE ABUSE PROGRAM,13 HIGHWAY 78 WEST,,,JASPER,AL,35501.0,(205)387-0541EXT.8,Alcoholism/Drug,9724AL35501,-87.27715766431079,33.84916360141109,100.0
MOBILE MENTAL HEALTH CENTER INC,GATEWAY DRUG TREATMENT CENTER,507 STANTON ROAD,,,MOBILE,AL,36617.0,(205)473-4423EXT.72,Drug,7644AL36617,-88.09535436569371,30.704331117190804,100.0
PRICHARD WORK RELEASE,,P.O. BOX 66711,,,MOBILE,AL,36606.0,(205)452-0098,Drug,0451AL36606,-88.08706999999998,30.675125000000037,98.0
SOUTHWEST ALABAMA MENTAL HEALTH CENTER,ALCOHOLISM AND DRUG TREATMENT,,,,MONROEVILLE,AL,36460.0,(205)743-4837,Alcoholism/Drug,6549AL36460,-87.32548109999998,31.522165500000032,100.0
DESMOND PLACE,OUTPATIENT UNIT,838 SOUTH COURT STREET,,,MONTGOMERY,AL,36101.0,(205)264-4555,Drug,2751AL36101,-86.30872203330921,32.365355921148016,99.52
DESMOND PLACE,MONTGOMERY WORK RELEASE CENTER,P.O. BOX 75,,,MOUNT MEIGS,AL,36057.0,(205)832-5930,Drug,9039AL36057,-86.09340999999996,32.365450000000074,98.0
SEARCY STATE HOSPITAL,ALCOHOL ANO DRUG ABUSE CENTER,,,,MOUNT VERNON,AL,36560.0,(205)829-2841,Alcoholism/Drug,6549AL36560,-88.00910999999996,31.092025000000035,100.0
KARMA DRUG ABUSE AND PREVENTION CENTER,,1101 FITZPATRICK AVENUE,,,OPELIKA,AL,36801.0,(205)749-3346,Drug,3706AL36801,-85.39093523537315,32.64778280753997,100.0
CAHABA CENTER,,910 JEFFERSON DAVIS AVENUE,,,SELMA,AL,36701.0,(205)875-7878,Alcoholism/Drug,5274AL36701,-87.02907999999996,32.41915000000006,85.0
CHEAHA MENTAL HEALTH CENTER,THE CHRYSALIS DRUG ABUSE PROGRAM,P.O. BOX 1248,,,SYLACAUGA,AL,35150.0,(205)245-2201EXT.227,Drug,8493AL35150,-86.25222999999994,33.17241000000007,98.0
EAST CENTRAL ALABAMA MH CENTER,DRUG ABUSE TREATMENT AND PREV CENTER,1305 SOUTH BRUNDIDGE STREET,,,TROY,AL,36081.0,(205)566-6022,Alcoholism/Drug,0137AL36081,-85.96463049108391,31.789000836102737,100.0
BRYCE HOSPITAL,SUBSTANCE ABUSE UNIT,STATION 3,BUILDING 3SW,,TUSCALOOSA,AL,35401.0,(205)752-7411EXT.335,Alcoholism/Drug,4189AL35401,-87.56345999999996,33.205340000000035,87.2
INDIAN RIVERS MENTAL HEALTH CENTER,ALCOHOL AND DRUG ABUSE PROGRAM,1915 SIXTH STREET,,,TUSCALOOSA,AL,35401.0,(205)345-1600,Alcoholism/Drug,3395AL35401,-87.5617859640912,33.21058351696026,100.0
LITTLE ISRAEL INC,DRUG ABUSE AND ALCOHOLISM REHAB,ROUTE 2,,,TUSCUMBIA,AL,35674.0,(205)381-0930,Alcoholism/Drug,2680AL35674,-87.75997500381874,34.709821234520355,99.39
ALTERNATIVES INC,,P.O. BOX 341,,,WETUMPKA,AL,36092.0,(205)567-7083,Drug,0258AL36092,-86.21069499999999,32.539810000000045,98.0
WETUMPKA/TUTWILER WORK RELEASE,,105 ROCKFORD ROAD,,,WETUMPKA,AL,36092.0,(205)567-5169,Drug,1447AL36092,-86.21069499999999,32.539810000000045,85.0
KILA INC,FAIRBANKS DRUG TREATMENT CENTER,3098 AIRPORT WAY,,,FAIRBANKS,AK,99701.0,(907)456-5715,Drug,8363AK99701,-147.79199599651247,64.83700749223917,99.51
VALDEZ COUNSELING CENTER,,1200 MEALS AVENUE,,,VALDEZ,AK,99686.0,(907)835-2838,Alcoholism/Drug,6708AK99686,-146.35008216372844,61.13182964073595,95.0
TRI-CITY MENTAL HEALTH CENTER,(TCMHCl APACHE JUNCTION OFFICE,11015 APACHE TRAIL,,,APACHE JUNCTION,AZ,85220.0,(602)986-1637EXT.415,Alcoholism/Drug,9632AZ85220,-111.59372998941394,33.41506247567708,98.15
COCHISE BEHAVIORAL HEALTH SERVICES INC,OUTPATIENT AND RESIDENTIAL,208 SOUTH HUACHUCA STREET,,,BENSON,AZ,85602.0,,Alcoholism/Drug,2836AZ85602,-110.29635014447302,31.967023820560414,100.0
