"","NAME","FIPS","year","totUnits","occP","vacantP"
"1","Autauga County, Alabama","01001",2000,17662,90.61,9.39
"2","Baldwin County, Alabama","01003",2000,74285,74.49,25.51
"3","Barbour County, Alabama","01005",2000,12461,83.53,16.47
"4","Bibb County, Alabama","01007",2000,8345,88.93,11.07
"5","Blount County, Alabama","01009",2000,21158,91.05,8.95
"6","Bullock County, Alabama","01011",2000,4727,84.32,15.68
"7","Butler County, Alabama","01013",2000,9957,84.34,15.66
"8","Calhoun County, Alabama","01015",2000,51322,88.28,11.72
"9","Chambers County, Alabama","01017",2000,16256,89.33,10.67
"10","Cherokee County, Alabama","01019",2000,14025,69.3,30.7
"11","Chilton County, Alabama","01021",2000,17651,86.61,13.39
"12","Choctaw County, Alabama","01023",2000,7839,81.17,18.83
"13","Clarke County, Alabama","01025",2000,12631,83.75,16.25
"14","Clay County, Alabama","01027",2000,6612,87.19,12.81
"15","Cleburne County, Alabama","01029",2000,6189,90.32,9.68
"16","Coffee County, Alabama","01031",2000,19837,87.82,12.18
"17","Colbert County, Alabama","01033",2000,24980,89.92,10.08
"18","Conecuh County, Alabama","01035",2000,7265,79.72,20.28
"19","Coosa County, Alabama","01037",2000,6142,76.23,23.77
"20","Covington County, Alabama","01039",2000,18578,84.19,15.81
"21","Crenshaw County, Alabama","01041",2000,6644,83.94,16.06
"22","Cullman County, Alabama","01043",2000,35233,87.15,12.85
"23","Dale County, Alabama","01045",2000,21779,86.68,13.32
"24","Dallas County, Alabama","01047",2000,20450,87.24,12.76
"25","DeKalb County, Alabama","01049",2000,28051,89.53,10.47
"26","Elmore County, Alabama","01051",2000,25733,88.36,11.64
"27","Escambia County, Alabama","01053",2000,16544,86.42,13.58
"28","Etowah County, Alabama","01055",2000,45959,90.55,9.45
"29","Fayette County, Alabama","01057",2000,8472,88.44,11.56
"30","Franklin County, Alabama","01059",2000,13749,89.16,10.84
"31","Geneva County, Alabama","01061",2000,12115,86.48,13.52
"32","Greene County, Alabama","01063",2000,5117,76.82,23.18
"33","Hale County, Alabama","01065",2000,7756,82.71,17.29
"34","Henry County, Alabama","01067",2000,8037,81.19,18.81
"35","Houston County, Alabama","01069",2000,39571,90.56,9.44
"36","Jackson County, Alabama","01071",2000,24168,89.44,10.56
"37","Jefferson County, Alabama","01073",2000,288162,91.36,8.64
"38","Lamar County, Alabama","01075",2000,7517,86.04,13.96
"39","Lauderdale County, Alabama","01077",2000,40424,89.27,10.73
"40","Lawrence County, Alabama","01079",2000,15009,90.2,9.8
"41","Lee County, Alabama","01081",2000,50329,90.81,9.19
"42","Limestone County, Alabama","01083",2000,26897,91.79,8.21
"43","Lowndes County, Alabama","01085",2000,5801,84.62,15.38
