Name1,Name2,Name3,Address1,Address2,Address3,City,State,ZIP_Code,Contact,Keys,zip1,zip2,ID,Longitude,Latitude,Match Score
Lighthouse of Tallapoosa County Inc,,,36 Franklin Street,,,Alexander City,AL,35010,(205)234-4894,TX/RR/HH,35010,,6152AL35010,-85.95092163698332,32.94535931336939,100.0
Anniston Fellowship House Inc,,,I 06 East 22nd Street,,,Anniston,AL,36201,(256)236-7229,TX/RR/HH/CJ,36201,,1681AL36201,-85.82973877454384,33.67288207219151,99.69
Calhoun/Cleburne Mental Health Center,New Directions,,331 East 8th Street,,,Anniston,AL,36202,(256)236-3403 Hotlines: (256)236-3403 (256)236-8003,TX/PV/OS/OR/IO/AD/DD/SS/CM,36202,,0906AL36202,-85.82320389609005,33.65447733255786,99.52
Aleoholism Recovery Services Inc,,,2701 Jefferson Avenue SW,,,Birmingham,AL,35211,(205)923-6552,TX/PV/OS/DT/OR/IO/RD/RR/HV/SS/OH/MD,35211,,5319AL35211,-86.8776602236915,33.47431863354241,100.0
Aletheia House,,,201 Finley Avenue West,,,Birmingham,AL,35204,(205)324-6502,TX/OS/OR/IO/SS/MD,35204,,0542AL35204,-86.83880519462637,33.5364827663802,100.0
Birmingham Health Care for,The Homeless,,712 25th Street North,,,Birmingham,AL,35203,(205)439-7216,TX/PV/OS/OR/IO/SS/FG,35203,,5440AL35203,-86.80299525633802,33.52380065509877,100.0
Bradford Health Services,Birmingham Regional Office Jefferson,,631 Beacon Parkway West,Suite 211,,Birmingham,AL,35209,(800)293-7191,TX/OS/OR/IO/AD/DD/SS,35209,,0352AL35209,-86.82185049486422,33.47609107078793,100.0
Department of Veterans Affairs,Medical Center,,1717 I Ith Avenue South,,,Birmingham,AL,35205,(205)939-2135,TX/OS/OR/DD/GH/FG,35205,,7963AL35205,-86.80000999999999,33.49727000000007,85.0
Fellowship House Inc,,,1625 12th Avenue South,,,Birmingham,AL,35205,(205)933-2430,TX/PV/OS/RR/DD/HH/FG,35205,,1605AL35205,-86.80074528176368,33.49721556226586,100.0
Hill Crest Behavioral Health Services,Chemical Dependency Track,,6869 5th Avenue South,,,Birmingham,AL,35212,(205)833-9000 Hotlines: (205)833-9000 (800)292-8553,TX/PV/OS/DT/OR/IO/ID/IR/AD/DD/SS/PH/TC/CM/SG/SC,35212,,9326AL35212,-86.73057500586397,33.54924115517593,100.0
Jefferson County Economic Opportunity,Alcoholism Outreach/ Aftercare Program,,3040 Ensley Avenue,,,Birmingham,AL,35208,(205)787-3040 Hotline: (205)787-3040,TX/PV/OS/IO/AD/DD/SS,35208,,8788AL35208,-86.8793666953591,33.498718647052826,100.0
Oakmont Center,,,1915 Avenue H Ensley,,,Birmingham,AL,35218,(205)787-7100,TX/PV/OS/IO/AD/SS,35218,,3220AL35218,-86.89414189518152,33.510925799380466,98.24
Saint Anncs Home Inc,,,2772 Hanover Circle,,,Birmingham,AL,35205,(205)933-2402,TX/OS/RR/DD/HV/PW/SS/TC,35205,,3900AL35205,-86.78654742743194,33.504850176863734,99.55
Tri County Treatment Center,,,500 Gene Recd Road,Suite 220,,Birmingham,AL,35215,(205)836-3345,ML/PV/OS/DT/OD/RD/RR/SS/OH,35215,,0506AL35215,-86.68791339999996,33.62246290000007,85.0
Univ of Alabama in Birmingham Hospital,Center for Psychiatric Medicine,,1713 6th Avenue South,,,Birmingham,AL,35294-0018,(205)934-9699 Hotline: (205)934-7008,TX/PV/OS/DT/OD/OR/IO/ID/RD/RR/AD/PH/MC/FG/PI,35294,18.0,0640AL35294,-86.80453989505979,33.50508138437197,99.52
University of Alabama,Substance Abuse Program,,401 Beacon Parkway West,,,Birmingham,AL,35209,,TX/ML/PV/OS/OR/IO/AD/HV/PW/SS/CM/CJ/MC/MD/PI,35209,,2643AL35209,-86.82401847412059,33.474769999028396,100.0
Chilton Shelby Mental Health Center,Substance Abuse Division,,1822 17th Street,Highway 25,,Calera,AL,35040,(205)668-2700,TX/PV/OS/IO/AD/SS/CM/MD/PI,35040,,7885AL35040,-86.75910748970544,33.10040203579868,100.0
Lifeline Services Inc,Cherokee County Location,,423 East Main Street,,,Centre,AL,35960,(888)329-0440,TX/OR/IO/SS,35960,,8214AL35960,-85.67579845191473,34.151175298409264,100.0
Ventress Correctional Facility,Substance Abuse Services,,State Road 239,,,Clayton,AL,36016,Hotline: (334)775-3331,TX/PV/RR/DD/SS/TC/CJ/FG,36016,,2228AL36016,-85.55036808301072,31.900865710430388,100.0
Mental Health Ctr of North Central AL,Quest Rec Ctr Subst Abuse Treatment,,1312 Somerville Road,,,Decatur,AL,35601,(256)353-9116 Hotline: (256)355-6091,TX/PV/OS/OR/IO/DD/PW/SS/MD/PI,35601,,9773AL35601,-86.972757252073,34.58702530245297,99.55
West Alabama Mental Health Center,Substance Abuse Program,,1215 Walnut Avenue South,,,Demopolis,AL,36732,(334)289-2410 Hotlmes: (334)289-2410,TX/PV/OS/OR/IO/CM/MD,36732,,9263AL36732,-87.83852899120225,32.503330174601736,99.89
Spectra Care,,,831 John D Odom Road,,,Dothan,AL,36303,(334)794-3771 Hotline: (334)794-0700,TX/RR/SS/OH,36303,,0433AL36303,-85.46066747301337,31.250740537071014,100.0
Baldwin County Mental Health Center,,,372 South Greeno Road,,,Fairhope,AL,36532-1905,(334)990-8961 Hotlines: (800)738-2871 (800)558-8295,TX/PV/OS/OR/IO/SS/CM/MC,36532,1905.0,9108AL36532,-87.88619470218504,30.51438598451874,99.89
Riverbend Center for Mental Health,Substance Abuse Services,,635 West College Street,,,Florence,AL,35630,(256)764-3431 Hotline: (256)764-3431,TX/PV/OR/AD/DD/HV/PW/SS/PH/TC/CM/MD/PI,35630,,3136AL35630,-87.68471101656769,34.79534349627563,100.0
Cherokee/Etowah/DeKalb,Mental Health Center Subst Abuse Servs,,90 I Goodyear Avenue,,,Gadsden,AL,35903,(256)492-7800 Hotline: (256)492-7800,TX/PV/OS/OR/IO/DD/CM/MD,35903,,7434AL35903,-85.9597107010267,34.0052057616998,96.61
