ID,ADDRESS,CITY,STATE,ZIP,Longitude,Latitude,Match Score
0,3763 EVANS AVENUE,FORT MYERS,FL,33901,-81.85974143532067,26.60731730359016,100
1,1870 Colonial Blvd,Ft. Myers,FL,33907,-81.87455653300256,26.59669571397664,100
2,10915 Bonita Beach Road Suite 1122,Bonita Springs,FL,34135,-81.77221802145812,26.33049900006992,99.55
3,12550 NEW BRITTANY BLVD STE 201,FORT MYERS,FL,33907,-81.88114202668943,26.55996898028998,100
4,6313 Corporate Court 130,Fort Myers,FL,33919,-81.88759458339203,26.55874488715024,100
5,14131 Metropolis Ave Suite 103,naples,FL,34119,-81.72745499999996,26.22162000000003,85
6,535 Pine Island Road,North Fort Myers,FL,33903,-81.89781455210581,26.68191590403083,100
7,5445 Park Central Court,Naples,FL,34109,-81.76673474803877,26.213741938683086,100
8,6075 BATHEY LN BLDG C,NAPLES,FL,34116,-81.72896999946282,26.174617519683586,100
9,"720 North Goodlette Road, Suite 500",Naples,FL,34102,-81.78986209528054,26.157887450492968,99.89
10,"1101 Tamiami Trail South, Suite 108",Venice,FL,34285,-82.4348099820478,27.08337998347514,100
11,3000 NW 101ST LN STE 101,CORAL SPRINGS,FL,33065,-80.26165504532509,26.267894061137337,100
12,"7880 North University Drive, Suite 303",Tamarac,FL,33321,-80.25254173124033,26.220516242036897,100
13,"9970 Central Park Boulevard, Suite 207",Boca Raton,FL,33428,-80.20223299050808,26.355777017937868,99.55
14,4300 N University Dr 207,Sunrise,FL,33351,-80.25170347186085,26.17801831112649,99.02
15,2960 N STATE ROAD 7,MARGATE,FL,33063,-80.20054697068434,26.263961985830207,100
16,3593 SW Corporate Pkwy,Palm City,FL,34990,-80.30158704160786,27.16792698352036,100
17,"7251 West Palmetto Park Road, Suite 204",Boca Raton,FL,33433,-80.15771603219105,26.350944012566913,100
18,21301 S. Powerline Rd. 311,Boca Raton,FL,33433,-80.15348996042903,26.360518995840337,95.57
19,14000 SOUTH MILITARY TRAIL,DELRAY BEACH,FL,33484,-80.12139900593152,26.46909301470457,100
20,1420 SW Saint Lucie W Blvd. Suite 106,Port St. Lucie,FL,34986,-80.3910060228738,27.314437999070833,100
21,2499 GLADES RD. STE 110,BOCA RATON,FL,33431,-80.1371320058299,26.370045992718104,100
22,2901 W. Cypress Creek Blvd Suite 123,Ft. Lauderdale,FL,33309,-80.18558988356291,26.202573920486337,98
23,"4121 NW 5th Street, Suite 206",Plantation,FL,33317,-80.20309201353129,26.128363861909204,100
24,3153 Canada Ct.,Lake Worth,FL,33461,-80.09176101539832,26.605404008461818,100
25,"580 Village Boulevard, Suite 210",West Palm Beach,FL,33409,-80.09764796127456,26.714459986758627,100
26,"4101 North Hosptial Drive, Suite 211",Plantation,FL,33317,-80.20355029041113,26.126497474558057,97.29
27,3085 WEST 80TH ST,HIALEAH,FL,33018,-80.346194021565,25.896353002589365,100
28,1131 SE Indian St.,Stuart,FL,34997,-80.2383886651316,27.16165555974578,100
29,"1501 Presidential Way, 5",West Palm Beach,FL,33401,-80.08509497162191,26.72751601633034,100
30,616 SE Central Pkwy,Stuart,FL,34994,-80.24548654455947,27.180212967647247,100
31,150 SW 12th Ave. 480,Pompano Beach,FL,33069,-80.13964548713493,26.22917654282851,100
32,1300 Hibiscus Dr.,Pembroke Pines,FL,33025,-80.2529516594925,25.99812078398043,100
33,450 W Hillsboro Blvd,Deerfield Beach,FL,33441,-80.10939318691817,26.318350940159576,100
34,7357 WILSON RD,WEST PALM BEACH,FL,33413,-80.16336811714032,26.677151339444155,100
35,150 E. Sample Rd. Suite 320,Pompano Beach,FL,33064,-80.12067950336294,26.274972537660428,100
36,1700 Old Okeechobee Road,West Palm Beach,FL,33409,-80.07428132416564,26.700805716336202,100
37,2801 SE Martin Square Corporate Pkwy,Stuart,FL,34994,-80.23134250204605,27.170846316577244,100
38,1685 NW FEDERAL HWY,JENSEN BEACH,FL,34957,-80.26442654443163,27.224956656445325,97.16
39,3652 Seacreat Blvd.,Boynton Beach,FL,33435,-80.0710279587987,26.491730984529354,96.92
40,971 S DIXIE HWY,POMPANO BEACH,FL,33060,-80.13144966221024,26.217476872828556,99.55
41,236 SE 23rd Ave,Boynton Beach,FL,33435,-80.06409998054806,26.50725250901057,100
42,403 SE 1ST ST,DELRAY BEACH,FL,33483,-80.06882301534937,26.459992991974573,100
43,1130 Elizabeth Avenue,West Palm Beach,FL,33401,-80.06356362256383,26.70038048489968,100
44,1680 SE Lyngate Drive Suite 204,Port St. Lucie,FL,34952,-80.2992221714459,27.286355689766864,100
45,7940 N. Federal Hwy.,Boca Raton,FL,33487,-80.07397243756509,26.421172668422166,100
46,3330 N. Federal Hwy.,Boynton Beach,FL,33435,-80.0604499969913,26.499172019073356,100
47,4800 N Federal Hwy Suite E 102,Boca Raton,FL,33431,-80.0764815602807,26.393149619173798,100
48,4837 N Dixie Hwy,Ft. Lauderdale,FL,33334,-80.13468979589342,26.1864756721406,99.9
49,"4837 N. Dixie Hwy, Suite A",Ft. Lauderdale,FL,33334,-80.13468979589342,26.1864756721406,99.9
50,660 South Dixie Highway,Lantana,FL,33462,-80.05265901798973,26.579193000951406,100
51,810 Andrews Avenue,Delray Beach,FL,33483,-80.05877420308948,26.474966842902344,100
52,3773 N. Federal Hwy,Pompano Beach,FL,33060,-80.09727018889855,26.27738468175633,99.52
53,"210 Jupiter Lakes Blvd. Bldg 3000, Ste 102",Jupiter,FL,33458,-80.09698344399081,26.92113211235077,100
54,"2962 SW 26th Terrace, Suite 203",Fort Lauderdale,FL,33312,-80.1762993820831,26.085570443461446,100
55,314 10th Street,West Palm Beach,FL,33401,-80.05245299080967,26.72219401072813,100
56,1700 N. Dixie Hwy,West Palm Beach,FL,33407,-80.05303871820352,26.728566813621928,100
57,"11900 Southeast Federal HW, Suite 212",Hobe Sound,FL,33455,-80.13762997469755,27.059470017933975,100
58,741 US 1,North Palm Beach,FL,33408,-80.05884821529457,26.819901269311,100
59,2550 S.E. Walton Road,Port Saint Lucie,FL,34952,-80.27111697954643,27.29876249902798,100
60,1475 NE JENSEN BEACH BLVD,JENSEN BEACH,FL,34957,-80.23280522796921,27.244094469232618,100
61,3293 Fruitville Rd Unit 108,Sarasota,FL,34237,-82.5031250074986,27.338206017081717,100
62,208 SE 8th St.,Ft. Lauderdale,FL,33316,-80.14112003154175,26.112122552521537,100
63,"2650 Bahia Vista Street, Suite 207",Sarasota,FL,34239,-82.5166160159356,27.322445985545613,100
64,2626 Lake Drive,Rivera Beach,FL,33404,-80.03862704152178,26.784291005127272,98.7
65,13321 US Highway 1,Juno Beach,FL,33408,-80.05586702379206,26.870242979782745,99.9
66,3670 NE Indian River Dr.,Jensen Beach,FL,34957,-80.22747224207377,27.24945205601375,100
67,325 SW 28th St.,Fort Lauderdale,FL,33315,-80.14550794210301,26.0890071562822,100
68,1219 S. East Avenue,Sarasota,FL,34239,-82.52746102517818,27.321466979254723,100
69,1700 S. Tamiami Trail,Sarasota,FL,34239,-82.53178298591253,27.318259979280768,100
70,"915 Middle River Drive, Suite 114",Ft. Lauderdale,FL,33304,-80.11757443358613,26.136114677280947,100
71,4001 N OCEAN DR STE 304,FORT LAUDERDALE,FL,33308,-80.09786203508166,26.1825390049175,100
72,2632 Hollywood Blvd. Suite 305,Hollywood,FL,33020,-80.16033671803794,26.010746660647307,100
73,16565 NE 4th Ave.,Miami,FL,33162,-80.19182199621193,25.9273230032657,100
74,5040 NW 7th St,Miami,FL,33126,-80.27682312777118,25.778477585771228,100
75,1545 Northeast 123rd Street,North Miami,FL,33161,-80.16757423997275,25.889448912762834,100
76,1469 NW 36th St.,MIAMI,FL,33142,-80.2212120500492,25.809664887287543,100
77,800 Northwest 28th Street,Miami,FL,33127,-80.2096669842534,25.802169999015604,100
78,100 NE 38TH ST STE 5,MIAMI,FL,33137,-80.19269295977088,25.811819245951142,100
79,13370 sw 131 st,Coral Gables,FL,33134,-80.30007482347625,25.6494051530771,88.23
80,400 W 41st St. Ste 402A,Miami Beach,FL,33140,-80.1276645234164,25.81375735752359,100
81,22790 Southwest 112th Avenue,Miami,FL,33170,-80.37214162776829,25.555687814744037,100
82,348 West Highland Drive,Lakeland,FL,33803,-81.96012540043209,27.985728484922202,99.52
83,12012 Boyette Road,Riverview,FL,33569,-82.29602796132491,27.853597508675254,100
84,1801 Crystal Lake Dr.,Lakeland,FL,33801,-81.92831501139764,28.025865117677917,100
85,510 Vonderburg Drive Suite 301,Brandon,FL,33511,-82.28925597029237,27.930608004299273,100
86,1835 GILMORE AVE,LAKELAND,FL,33805,-81.95052800790897,28.07053201742029,100
87,205 W MORGAN ST,BRANDON,FL,33510,-82.28780942144236,27.93996912331315,100
88,"1663 Georgia Street Northeast, Suite 500",Palm Bay,FL,32907,-80.62359830393623,27.99883028399154,100
89,2011 North Wheeler Street,Plant City,FL,33563,-82.12584749894496,28.033196003191733,100
90,"5205 Babcock Street Northeast, Suite 3",Palm Bay,FL,32905,-80.62199702515346,28.020214069644087,100
91,1910 ORIENT RD,TAMPA,FL,33619,-82.37356098479292,27.961812991631135,100
92,"3012 N US Highway 301, Ste 1000",Tampa,FL,33619,-82.36103397904012,27.972623006427952,100
93,3177 4th Street North,St. Petersburg,FL,33704,-82.6377460000281,27.800986020733134,100
94,3115 Innovation Drive,St. Cloud,FL,34769,-81.30614698925342,28.228852002988035,100
95,4422 East Columbus Drive,Tampa,FL,33605,-82.40865199007497,27.96679749990229,100
96,1304 S. Desoto Ave. Suite 304,Tampa,FL,33606,-82.48286301385744,27.928921984475537,100
97,"1001 S. MacDill Ave., Suite 400",Tampa,FL,33629,-82.49387599643966,27.933558015121875,100
98,2522 West Kennedy Boulevard,Tampa,FL,33609,-82.48620001714966,27.94452598688403,100
99,7217 Gulf Blvd Suite 2,St. Pete Beach,FL,33706,-82.75027799548128,27.740758987022915,100
100,300 76th Ave St,St Pete Beach,FL,33706,-82.74973685981226,27.744072059981534,99.33
101,3800 5th Street,Saint Cloud,FL,34769,-81.31140596294375,28.25366499286781,100
102,3601 West Azeele,Tampa,FL,33609,-82.50177200068802,27.941447984399943,98.84
103,100 South Harbor City Blvd.,Melbourne,FL,32901,-80.61652459894783,28.106369397080137,100
104,7001 Central Ave,St. Petersburg,FL,33710,-82.73544001520399,27.77088752843951,100
105,2214 East Henry Ave,Tampa,FL,33610,-82.43293981181127,27.99969927780328,100
106,4004 N. Riverside Drive,Tampa,FL,33603,-82.47315215993365,27.98203638660824,100
107,2727 W. Dr. Martin Luther King Jr. Blvd Suite 640,Tampa,FL,33607,-82.48751245554887,27.981343664220386,100
108,151 107th Ave 13,Treasure Island,FL,33706,-82.76772568131221,27.76963652939047,100
109,825 East Oak Street,Kissimmee,FL,34744,-81.39619603818106,28.300497493846787,100
110,206 PARK PLACE BLVD,KISSIMMEE,FL,34741,-81.4066500316405,28.312304997030793,100
111,2311 North Orange Blossom Trail,Kissimmee,FL,34744,-81.40336801363313,28.31236299980077,100
112,825 West Linebaugh Avenue,Tampa,FL,33612,-82.4674030125455,28.040370996128942,100
113,4300 Duhme Road,Madeira Beach,FL,33708,-82.79270400423216,27.811309005045942,100
114,14522 University Point Place,Tampa,FL,33613,-82.41562799663079,28.080096020400575,100
115,14437 University Cove Place,Tampa,FL,33613,-82.42484398299122,28.077333009837815,100
116,5919 Webb Road,Tampa,FL,33615,-82.57510258936077,28.000761306845014,100
117,508 West Fletcher Ave,Tampa,FL,33612,-82.46419601257155,28.069292543488114,100
118,6227 Sheldon Rd,Tampa,FL,33615,-82.58283296720256,28.006485015156898,100
119,"6150 150th Avenue North, Suite 1",Clearwater,FL,33760,-82.7201205784083,27.90871631722359,100
120,"6150 150th Avenue North, Suite 2",Clearwater,FL,33760,-82.7201205784083,27.90871631722359,100
121,"9555 Seminole Blvd, Suite 100",Seminole,FL,33772,-82.78696248437593,27.859388020755432,100
122,10500 Ulmerton Rd. STE 360,Largo,FL,33771,-82.78436996172385,27.890755994194535,100
123,"1811 South Orlando Avenue, Suite A",Cocoa Beach,FL,32931,-80.60890398947937,28.28775000213075,100
124,818 Chestnut St,Clearwater,FL,33775,-82.79452321249737,27.960922079142648,98.33
125,8615 Commodity Circle STE 12,Orlando,FL,32819,-81.43321001968961,28.44486898670199,100
126,1650 SANDLAKE RD STE 112A,ORLANDO,FL,32809,-81.39926498820971,28.449774998449612,100
127,2345 Sand Lake Road,Orlando,FL,32809,-81.41419131374647,28.45059462285172,100
128,2430 Estancia Blvd Ste 104,Clearwater,FL,33761,-82.73673074447397,28.029697480625412,100
129,28465 US 19 N,Clearwater,FL,33761,-82.7368200117428,28.030761982328613,100
130,803 North Fiske Boulevard,Cocoa,FL,32922,-80.74263750610072,28.366441991350825,100
131,"6900 Turkey Lake Road, Suite 1-2",Orlando,FL,32819,-81.47533000515557,28.461638995661232,100
132,6000 Lake Ellanor Drive,Orlando,FL,32809,-81.40255798651025,28.469502017120604,98.34
133,101 E MILLER ST,ORLANDO,FL,32806,-81.37581242312483,28.523929737752297,100
134,3575 Old Keystone Rd.,Tarpon Springs,FL,34688,-82.6679240365829,28.152783004638167,100
135,100 W COLUMBIA ST,ORLANDO,FL,32806,-81.38078104768915,28.52784090141194,98.87
136,601 South Semoran Blvd,Orlando,FL,32807,-81.31009302163035,28.535849013615334,100
137,1400 E Robinson St.,Orlando,FL,32801,-81.36209099616953,28.545651984655137,100
138,"1033 North Pine Hills Road, Suite 300",Orlando,FL,32808,-81.44941098124227,28.560283015743025,100
139,1800 MERCY DR,ORLANDO,FL,32808,-81.43501296706266,28.56760800283756,100
140,1850 N Alafaya Trail Suite A,Orlando,FL,32826-4745,-81.20837996770086,28.57002500843724,100
141,"6388 Silver Star Road, Suite 1-D",Orlando,FL,32818,-81.46905799464744,28.57742300190843,100
142,"2000 North Alafaya Trail, Suite 200",Orlando,FL,32826,-81.20824099574622,28.572593014022615,100
143,120 Benmore Drive,Winter Park,FL,32792,-81.32705732310514,28.595839551927455,100
144,"1801 Lee Road, Suite 225",Winter Park,FL,32789,-81.37379054044085,28.606037478244932,100
145,5319 Grand Blvd,New Port Richey,FL,34652,-82.72307000249768,28.236750982812026,100
146,8002 KING HELIE BOULEVARD,NEW PORT RICHEY,FL,34653,-82.67780462404603,28.27443941415957,100
147,406 Lake Howell Road,Maitland,FL,32751,-81.32456999333789,28.626406005875396,100
148,"2450 Maitland Center Parkway, Suite 202",Lake Mary,FL,32751,-81.3936277392291,28.634212617126188,99.67
149,"1111 12th St, Suite 212",key west,FL,33040,-81.76811298437795,24.564183016570368,100
150,237 FERNWOOD BLVD,FERN PARK,FL,32730,-81.33954099441857,28.654825016229793,100
151,"499 North State Road 434, Suite 1073",Altamonte Springs,FL,32714,-81.41826801999392,28.66861898855707,100
152,"17222 Hospital Boulevard, Suite 226",Brooksville,FL,34601,-82.44522248508633,28.53864098365355,100
153,8213 Cessna Dr,Spring Hill,FL,34606,-82.58498359591934,28.48426418308371,100
154,4106 W. Lake Mary Blvd.,Lake Mary,FL,32746,-81.35025901782804,28.757004984075678,100
155,766 Sun Drive,Lake Mary,FL,32746,-81.35225701208797,28.757442980426106,99.55
156,5105 N Mccoll Rd,Mcallen,TX,78504,-98.20505255159725,26.247198837642152,100
157,520 Everhart Road,Corpus Christi,TX,78411,-97.37386318732705,27.73144028043911,100
158,3131 W HOLCOMBE BLVD,Houston,TX,77025,-95.4259419978717,29.704862991210476,100
159,900 Lovett Blvd,Houston,TX,77006,-95.38994700433219,29.743547486021974,100
160,5586 WESLAYAN,Houston,TX,77005,-95.4413763505601,29.72172126161014,98.82
161,2225 Louisiana,Houston,TX,77002,-95.37486410484402,29.749207449960092,98.82
162,"6565 West Loop South, Suite 525",Bellaire,TX,77401,-95.45957932961187,29.70972334978827,100
163,5130 BELLAIRE BLVD,Bellaire,TX,77401,-95.46975102064654,29.706278988023413,100
164,4800 WEST BELLFORT,Houston,TX,77035,-95.4609269720786,29.671540986593598,98.84
